ES2005d, length = 1731.18 s, percent_of_speech = 0.79, percent_of_noises = 0.57
noise: Computer_480_2, start: 2.2283 s end: 13.1941 s, duration: 10.9657 s, snr: 14.39
noise: Knock_7_0, start: 30.5234 s end: 35.8681 s, duration: 5.3447 s, snr: 7.64
noise: Gunshot_106_4, start: 46.5901 s end: 49.7430 s, duration: 3.1529 s, snr: 3.67
noise: Computer_663_4, start: 50.4225 s end: 53.9684 s, duration: 3.5459 s, snr: 0.14
noise: Computer_885_0, start: 51.4932 s end: 56.3059 s, duration: 4.8128 s, snr: 5.20
noise: Scissors_35_2, start: 55.7849 s end: 68.2310 s, duration: 12.4461 s, snr: 2.87
noise: Drawer_110_1, start: 73.3468 s end: 86.3962 s, duration: 13.0495 s, snr: -0.51
noise: Signalization_125_0, start: 92.4673 s end: 103.0127 s, duration: 10.5454 s, snr: 10.48
noise: Knock_102_1, start: 95.5724 s end: 101.1554 s, duration: 5.5830 s, snr: 0.53
noise: Knock_461_0, start: 100.3486 s end: 105.6581 s, duration: 5.3095 s, snr: 7.59
noise: Telephone_279_1, start: 116.1239 s end: 134.6588 s, duration: 18.5349 s, snr: 5.51
noise: Knock_1727_1, start: 118.1099 s end: 121.5179 s, duration: 3.4080 s, snr: 4.71
noise: Gunshot_110_0, start: 124.1869 s end: 127.6723 s, duration: 3.4854 s, snr: 8.02
noise: Street_160_0, start: 159.7237 s end: 175.2636 s, duration: 15.5399 s, snr: 7.28
noise: Street_13_0, start: 162.6649 s end: 166.1974 s, duration: 3.5325 s, snr: 4.98
noise: Drawer_137_4, start: 181.4724 s end: 185.1519 s, duration: 3.6795 s, snr: 5.26
noise: Squeak_22_0, start: 199.0704 s end: 208.3611 s, duration: 9.2906 s, snr: 3.05
noise: Telephone_47_1, start: 208.9367 s end: 212.0015 s, duration: 3.0648 s, snr: 4.95
noise: Door_808_0, start: 220.8603 s end: 225.7928 s, duration: 4.9325 s, snr: 9.73
noise: Door_994_3, start: 236.9446 s end: 240.5058 s, duration: 3.5613 s, snr: 10.48
noise: Squeak_165_3, start: 241.1414 s end: 246.8339 s, duration: 5.6925 s, snr: 1.72
noise: Computer_0_0, start: 254.5627 s end: 284.7296 s, duration: 30.1669 s, snr: 7.23
noise: Telephone_515_0, start: 321.4853 s end: 324.7021 s, duration: 3.2167 s, snr: 3.07
noise: Drawer_35_4, start: 328.1938 s end: 336.8611 s, duration: 8.6673 s, snr: 3.77
noise: Scissors_35_0, start: 344.0882 s end: 356.5344 s, duration: 12.4463 s, snr: 1.77
noise: Telephone_190_3, start: 352.0138 s end: 359.5828 s, duration: 7.5690 s, snr: 8.73
noise: Telephone_751_1, start: 383.7933 s end: 414.3257 s, duration: 30.5324 s, snr: 1.65
noise: Door_941_2, start: 399.6092 s end: 403.3480 s, duration: 3.7388 s, snr: 3.58
noise: Drawer_36_3, start: 403.5224 s end: 416.2099 s, duration: 12.6875 s, snr: -1.00
noise: Door_260_4, start: 412.2391 s end: 416.1408 s, duration: 3.9017 s, snr: 8.66
noise: Squeak_99_2, start: 421.6156 s end: 433.9239 s, duration: 12.3084 s, snr: 2.84
noise: Computer_1057_1, start: 445.6744 s end: 456.0403 s, duration: 10.3659 s, snr: 7.51
