TS3012c, length = 2376.47 s, percent_of_speech = 0.88, percent_of_noises = 0.42
noise: Street_165_4, start: 30.6686 s end: 46.2139 s, duration: 15.5454 s, snr: 5.32
noise: Computer_284_1, start: 39.2311 s end: 44.7345 s, duration: 5.5034 s, snr: -1.00
noise: Drawer_44_4, start: 65.6398 s end: 74.4073 s, duration: 8.7675 s, snr: 4.06
noise: Knock_1151_3, start: 110.0663 s end: 113.4362 s, duration: 3.3699 s, snr: 5.08
noise: Knock_1790_2, start: 136.8738 s end: 139.9701 s, duration: 3.0964 s, snr: 2.50
noise: Computer_335_1, start: 138.0363 s end: 141.0609 s, duration: 3.0246 s, snr: 9.05
noise: Signalization_89_3, start: 141.4115 s end: 146.9416 s, duration: 5.5301 s, snr: 10.28
noise: Door_117_2, start: 146.2211 s end: 150.7919 s, duration: 4.5708 s, snr: 4.39
noise: Street_107_0, start: 148.6676 s end: 154.2001 s, duration: 5.5325 s, snr: 5.00
noise: Writing_57_3, start: 178.0776 s end: 202.0635 s, duration: 23.9859 s, snr: 1.43
noise: Squeak_291_3, start: 210.8686 s end: 215.4819 s, duration: 4.6132 s, snr: 9.58
noise: Squeak_55_0, start: 234.6787 s end: 264.2711 s, duration: 29.5924 s, snr: 4.89
noise: Telephone_533_0, start: 240.5023 s end: 245.6135 s, duration: 5.1112 s, snr: 4.39
noise: Computer_1161_0, start: 259.6791 s end: 263.7099 s, duration: 4.0309 s, snr: 6.16
noise: Squeak_217_2, start: 279.5078 s end: 284.0398 s, duration: 4.5320 s, snr: 9.05
noise: Squeak_266_1, start: 284.9963 s end: 310.3426 s, duration: 25.3462 s, snr: 2.53
noise: Telephone_442_2, start: 327.4371 s end: 355.8644 s, duration: 28.4274 s, snr: 9.87
noise: Telephone_48_4, start: 339.2962 s end: 342.3737 s, duration: 3.0775 s, snr: 8.03
noise: Scissors_6_2, start: 351.9136 s end: 371.7801 s, duration: 19.8665 s, snr: 7.57
noise: Babble_191_1, start: 397.7888 s end: 428.3342 s, duration: 30.5454 s, snr: 11.47
noise: Writing_60_2, start: 433.7377 s end: 461.6641 s, duration: 27.9264 s, snr: 6.40
noise: Door_1037_2, start: 459.9481 s end: 463.9106 s, duration: 3.9625 s, snr: 2.80
noise: Door_153_0, start: 515.1123 s end: 518.5954 s, duration: 3.4831 s, snr: 4.50
noise: Computer_12_4, start: 519.4027 s end: 539.5888 s, duration: 20.1860 s, snr: 2.39
noise: Signalization_76_2, start: 552.8932 s end: 556.4386 s, duration: 3.5454 s, snr: 6.84
noise: Door_68_2, start: 559.9339 s end: 563.9303 s, duration: 3.9964 s, snr: 9.56
noise: Writing_73_3, start: 566.0027 s end: 571.6693 s, duration: 5.6665 s, snr: 8.81
noise: Computer_1120_3, start: 573.0462 s end: 580.4628 s, duration: 7.4165 s, snr: 4.06
noise: Drawer_67_4, start: 606.9294 s end: 613.6376 s, duration: 6.7081 s, snr: 5.50
noise: Door_1142_0, start: 632.9624 s end: 637.6797 s, duration: 4.7173 s, snr: 5.79
noise: Drawer_117_1, start: 637.5924 s end: 640.7691 s, duration: 3.1768 s, snr: -1.00
noise: Telephone_29_4, start: 647.7892 s end: 650.8613 s, duration: 3.0721 s, snr: 5.14
noise: Drawer_117_0, start: 652.7145 s end: 655.8918 s, duration: 3.1772 s, snr: 4.43
noise: Writing_266_2, start: 663.7517 s end: 668.8037 s, duration: 5.0520 s, snr: 3.35
noise: Door_2354_3, start: 677.7733 s end: 680.9646 s, duration: 3.1913 s, snr: 2.37
noise: Writing_16_3, start: 695.7396 s end: 699.8714 s, duration: 4.1317 s, snr: 0.35
noise: Door_1533_2, start: 698.3620 s end: 701.9950 s, duration: 3.6330 s, snr: 6.05
noise: Computer_1159_3, start: 699.1849 s end: 702.8856 s, duration: 3.7006 s, snr: 4.92
noise: Telephone_765_3, start: 721.6342 s end: 726.3623 s, duration: 4.7280 s, snr: 3.13
noise: Computer_1093_1, start: 730.6077 s end: 738.9651 s, duration: 8.3574 s, snr: 1.78
noise: Drawer_75_0, start: 739.4631 s end: 750.3091 s, duration: 10.8460 s, snr: 2.88
noise: Squeak_24_0, start: 750.5987 s end: 761.4099 s, duration: 10.8111 s, snr: 4.42
noise: Squeak_34_1, start: 775.4239 s end: 779.4776 s, duration: 4.0538 s, snr: 3.48
noise: Babble_48_2, start: 782.2444 s end: 787.7750 s, duration: 5.5306 s, snr: 13.24
noise: Squeak_65_1, start: 784.4840 s end: 800.4705 s, duration: 15.9865 s, snr: 3.50
noise: Telephone_93_3, start: 807.0094 s end: 811.6641 s, duration: 4.6546 s, snr: 3.65
noise: Computer_157_4, start: 817.3457 s end: 822.6286 s, duration: 5.2829 s, snr: 6.48
noise: Scissors_88_4, start: 839.9044 s end: 855.6707 s, duration: 15.7664 s, snr: 7.86
noise: Door_1725_2, start: 875.8381 s end: 879.4969 s, duration: 3.6589 s, snr: 4.57
noise: Telephone_431_1, start: 883.7461 s end: 933.0046 s, duration: 49.2585 s, snr: 5.85
noise: Computer_609_0, start: 910.0976 s end: 913.1967 s, duration: 3.0991 s, snr: 11.01
noise: Knock_70_0, start: 938.3469 s end: 941.6393 s, duration: 3.2924 s, snr: 7.41
noise: Writing_254_2, start: 948.6844 s end: 967.2303 s, duration: 18.5459 s, snr: 4.77
noise: Street_17_4, start: 994.5526 s end: 998.0828 s, duration: 3.5301 s, snr: 3.39
noise: Signalization_88_4, start: 1000.5466 s end: 1006.0781 s, duration: 5.5315 s, snr: 5.90
