EN2001d, length = 3546.38 s, percent_of_speech = 0.82, percent_of_noises = 0.42
noise: Knock_383_0, start: 18.6026 s end: 22.6729 s, duration: 4.0703 s, snr: 7.93
noise: Babble_115_0, start: 21.4215 s end: 26.9665 s, duration: 5.5450 s, snr: 16.30
noise: Street_29_0, start: 93.3741 s end: 96.9194 s, duration: 3.5454 s, snr: 4.35
noise: Tool_4068_0, start: 138.1553 s end: 142.6818 s, duration: 4.5265 s, snr: 4.05
noise: Babble_32_3, start: 153.9899 s end: 159.5352 s, duration: 5.5454 s, snr: 15.55
noise: Signalization_118_1, start: 182.2268 s end: 192.7722 s, duration: 10.5454 s, snr: 5.08
noise: Signalization_57_0, start: 204.9775 s end: 209.3922 s, duration: 4.4147 s, snr: 5.88
noise: Drawer_43_0, start: 209.6396 s end: 213.7769 s, duration: 4.1372 s, snr: 5.35
noise: Signalization_145_3, start: 220.8744 s end: 236.4198 s, duration: 15.5454 s, snr: 0.84
noise: Writing_218_0, start: 278.9728 s end: 297.1187 s, duration: 18.1460 s, snr: 3.42
noise: Scissors_88_3, start: 282.9653 s end: 298.7336 s, duration: 15.7684 s, snr: 10.78
noise: Telephone_422_2, start: 317.5024 s end: 368.3458 s, duration: 50.8434 s, snr: 9.74
noise: Telephone_107_1, start: 328.1843 s end: 332.5271 s, duration: 4.3428 s, snr: 7.39
noise: Knock_1890_0, start: 355.0661 s end: 359.9067 s, duration: 4.8406 s, snr: 3.78
noise: Telephone_320_4, start: 365.7726 s end: 373.3421 s, duration: 7.5695 s, snr: 2.93
noise: Babble_16_3, start: 389.2744 s end: 394.7044 s, duration: 5.4300 s, snr: 18.70
noise: Gunshot_18_1, start: 407.8483 s end: 428.5884 s, duration: 20.7401 s, snr: 5.30
noise: Computer_540_0, start: 431.4651 s end: 436.4659 s, duration: 5.0007 s, snr: -1.00
noise: Street_7_0, start: 446.5136 s end: 477.0459 s, duration: 30.5323 s, snr: 4.25
noise: Writing_183_3, start: 469.1589 s end: 472.3852 s, duration: 3.2262 s, snr: 4.55
noise: Telephone_329_0, start: 512.3311 s end: 539.9227 s, duration: 27.5916 s, snr: 6.07
noise: Gunshot_20_0, start: 539.0848 s end: 543.3364 s, duration: 4.2516 s, snr: 6.60
noise: Squeak_68_4, start: 540.7489 s end: 553.4419 s, duration: 12.6930 s, snr: 6.85
noise: Knock_1016_2, start: 542.1426 s end: 546.8969 s, duration: 4.7544 s, snr: -0.20
noise: Scissors_94_2, start: 556.1697 s end: 559.1962 s, duration: 3.0265 s, snr: 2.59
noise: Drawer_149_1, start: 560.8202 s end: 570.4480 s, duration: 9.6277 s, snr: 6.89
noise: Gunshot_73_4, start: 566.1796 s end: 570.8386 s, duration: 4.6590 s, snr: 9.37
noise: Door_5004_4, start: 568.1539 s end: 572.9489 s, duration: 4.7950 s, snr: 3.54
noise: Telephone_357_1, start: 611.9787 s end: 615.6690 s, duration: 3.6902 s, snr: 7.02
noise: Babble_194_0, start: 624.3199 s end: 628.9117 s, duration: 4.5919 s, snr: 15.22
noise: Tool_3700_0, start: 627.1534 s end: 631.6853 s, duration: 4.5319 s, snr: 4.77
noise: Computer_577_2, start: 650.2853 s end: 655.2893 s, duration: 5.0040 s, snr: 6.58
noise: Telephone_38_4, start: 673.8036 s end: 678.0958 s, duration: 4.2922 s, snr: 12.67
noise: Writing_22_4, start: 698.5605 s end: 705.4666 s, duration: 6.9061 s, snr: 4.87
noise: Telephone_42_4, start: 712.2301 s end: 722.8280 s, duration: 10.5979 s, snr: 7.10
noise: Telephone_349_3, start: 727.2827 s end: 730.9842 s, duration: 3.7015 s, snr: 5.08
noise: Door_1762_2, start: 732.6356 s end: 736.2579 s, duration: 3.6223 s, snr: 1.36
noise: Knock_650_4, start: 733.8428 s end: 737.8342 s, duration: 3.9915 s, snr: 3.73
noise: Telephone_821_4, start: 735.3920 s end: 746.4260 s, duration: 11.0340 s, snr: 7.88
noise: Computer_1060_0, start: 750.9791 s end: 760.2679 s, duration: 9.2888 s, snr: 9.76
noise: Computer_848_4, start: 751.6289 s end: 756.8091 s, duration: 5.1803 s, snr: 9.08
noise: Knock_705_3, start: 755.3812 s end: 760.6801 s, duration: 5.2989 s, snr: 3.78
