IN1008, length = 3415.79 s, percent_of_speech = 0.92, percent_of_noises = 0.42
noise: Scissors_57_3, start: 45.1582 s end: 62.7643 s, duration: 17.6061 s, snr: 7.59
noise: Knock_319_3, start: 69.9324 s end: 74.6972 s, duration: 4.7647 s, snr: 6.84
noise: Knock_844_4, start: 84.5715 s end: 87.6404 s, duration: 3.0689 s, snr: 5.25
noise: Babble_53_2, start: 98.1556 s end: 103.6949 s, duration: 5.5394 s, snr: 14.29
noise: Door_4981_3, start: 110.1871 s end: 115.2029 s, duration: 5.0158 s, snr: 9.76
noise: Writing_93_3, start: 116.1471 s end: 144.7931 s, duration: 28.6460 s, snr: 6.57
noise: Signalization_54_0, start: 194.5564 s end: 198.0889 s, duration: 3.5325 s, snr: 7.14
noise: Squeak_29_0, start: 211.2667 s end: 216.4432 s, duration: 5.1765 s, snr: 0.50
noise: Knock_1808_4, start: 241.0775 s end: 245.1941 s, duration: 4.1166 s, snr: 6.03
noise: Telephone_745_2, start: 242.3874 s end: 272.9198 s, duration: 30.5324 s, snr: 10.48
noise: Street_166_4, start: 261.2130 s end: 276.7455 s, duration: 15.5325 s, snr: 7.61
noise: Scissors_46_1, start: 294.7226 s end: 304.5687 s, duration: 9.8461 s, snr: 5.72
noise: Knock_973_0, start: 361.1703 s end: 366.9995 s, duration: 5.8293 s, snr: 6.67
noise: Door_752_0, start: 368.4528 s end: 373.2648 s, duration: 4.8120 s, snr: 3.29
noise: Writing_99_2, start: 370.1723 s end: 375.4248 s, duration: 5.2525 s, snr: 3.36
noise: Writing_133_4, start: 388.7950 s end: 412.8010 s, duration: 24.0060 s, snr: 5.56
noise: Computer_381_2, start: 414.5106 s end: 442.5686 s, duration: 28.0580 s, snr: 7.53
noise: Door_4417_1, start: 415.7286 s end: 419.9673 s, duration: 4.2387 s, snr: 2.57
noise: Squeak_18_0, start: 419.0001 s end: 422.1310 s, duration: 3.1309 s, snr: 6.64
noise: Scissors_43_3, start: 493.3748 s end: 497.9416 s, duration: 4.5669 s, snr: 4.82
noise: Computer_766_0, start: 506.0444 s end: 510.9164 s, duration: 4.8720 s, snr: 9.93
noise: Computer_522_3, start: 540.8876 s end: 548.7385 s, duration: 7.8509 s, snr: 6.82
noise: Door_1977_3, start: 605.5264 s end: 609.6548 s, duration: 4.1284 s, snr: 7.02
noise: Door_1078_2, start: 606.6509 s end: 609.7842 s, duration: 3.1332 s, snr: 13.08
noise: Telephone_395_4, start: 609.7134 s end: 621.5702 s, duration: 11.8567 s, snr: -1.00
noise: Scissors_73_3, start: 625.8596 s end: 631.3861 s, duration: 5.5265 s, snr: 6.28
noise: Computer_66_2, start: 634.9596 s end: 647.4856 s, duration: 12.5260 s, snr: 6.87
noise: Telephone_717_3, start: 658.3483 s end: 662.2643 s, duration: 3.9160 s, snr: 3.49
noise: Telephone_400_3, start: 667.3472 s end: 679.2064 s, duration: 11.8592 s, snr: 2.03
noise: Street_78_2, start: 692.7297 s end: 698.2622 s, duration: 5.5325 s, snr: 3.22
noise: Scissors_13_3, start: 693.8478 s end: 697.1077 s, duration: 3.2599 s, snr: 5.41
noise: Signalization_72_2, start: 736.9383 s end: 740.4707 s, duration: 3.5325 s, snr: 6.97
noise: Telephone_135_1, start: 774.8709 s end: 779.2318 s, duration: 4.3609 s, snr: 4.51
noise: Telephone_288_3, start: 858.9037 s end: 876.9661 s, duration: 18.0624 s, snr: 6.44
noise: Knock_431_0, start: 891.0394 s end: 897.2895 s, duration: 6.2501 s, snr: 4.36
noise: Signalization_6_3, start: 903.0643 s end: 909.4452 s, duration: 6.3809 s, snr: 7.40
noise: Scissors_47_1, start: 903.6246 s end: 907.2581 s, duration: 3.6335 s, snr: 3.30
noise: Writing_238_2, start: 920.8501 s end: 924.7141 s, duration: 3.8640 s, snr: 0.68
noise: Telephone_564_2, start: 947.9466 s end: 967.4726 s, duration: 19.5260 s, snr: 6.21
noise: Drawer_125_4, start: 951.3477 s end: 962.3944 s, duration: 11.0467 s, snr: 7.37
noise: Drawer_103_0, start: 978.5113 s end: 983.0841 s, duration: 4.5727 s, snr: 11.58
noise: Squeak_219_4, start: 978.5387 s end: 995.9451 s, duration: 17.4064 s, snr: -1.00
noise: Drawer_148_0, start: 1044.9935 s end: 1049.0898 s, duration: 4.0963 s, snr: 3.40
noise: Door_4958_0, start: 1070.8208 s end: 1075.6878 s, duration: 4.8670 s, snr: 2.05
noise: Squeak_214_4, start: 1087.1709 s end: 1090.7941 s, duration: 3.6232 s, snr: 3.93
noise: Telephone_325_1, start: 1096.4613 s end: 1124.0540 s, duration: 27.5928 s, snr: 4.33
noise: Door_2182_3, start: 1106.5504 s end: 1109.6411 s, duration: 3.0908 s, snr: 9.20
noise: Telephone_55_1, start: 1115.9039 s end: 1136.0744 s, duration: 20.1705 s, snr: 5.00
noise: Telephone_815_1, start: 1153.6986 s end: 1175.5946 s, duration: 21.8960 s, snr: 3.35
noise: Computer_207_4, start: 1166.0478 s end: 1172.0642 s, duration: 6.0164 s, snr: 8.07
noise: Door_1273_1, start: 1208.2793 s end: 1212.1730 s, duration: 3.8937 s, snr: 8.22
noise: Street_76_0, start: 1214.4674 s end: 1220.0128 s, duration: 5.5454 s, snr: 7.91
noise: Babble_151_0, start: 1225.9332 s end: 1236.4657 s, duration: 10.5325 s, snr: 13.91
noise: Telephone_271_0, start: 1320.7711 s end: 1338.4543 s, duration: 17.6833 s, snr: 2.81
noise: Computer_916_3, start: 1374.8122 s end: 1378.6382 s, duration: 3.8260 s, snr: 5.20
noise: Telephone_378_3, start: 1379.8864 s end: 1392.3786 s, duration: 12.4923 s, snr: 11.07
noise: Computer_991_4, start: 1398.7524 s end: 1402.1167 s, duration: 3.3644 s, snr: 6.95
noise: Door_2119_0, start: 1425.0398 s end: 1429.0163 s, duration: 3.9765 s, snr: 8.37
noise: Scissors_69_4, start: 1427.2884 s end: 1433.7744 s, duration: 6.4860 s, snr: 3.25
noise: Telephone_22_3, start: 1436.7056 s end: 1448.4579 s, duration: 11.7524 s, snr: 4.51
noise: Computer_842_1, start: 1477.0267 s end: 1481.6052 s, duration: 4.5785 s, snr: 10.65
noise: Telephone_272_1, start: 1480.4511 s end: 1498.9911 s, duration: 18.5400 s, snr: 4.13
noise: Scissors_40_2, start: 1484.2410 s end: 1499.9880 s, duration: 15.7470 s, snr: 6.91
