TS3006d, length = 2971.50 s, percent_of_speech = 0.88, percent_of_noises = 0.47
noise: Squeak_11_1, start: 42.9265 s end: 46.3002 s, duration: 3.3738 s, snr: 7.67
noise: Squeak_2_0, start: 106.9455 s end: 131.6714 s, duration: 24.7259 s, snr: 7.83
noise: Gunshot_97_1, start: 108.1564 s end: 112.2357 s, duration: 4.0793 s, snr: 5.08
noise: Drawer_4_3, start: 115.3159 s end: 118.3950 s, duration: 3.0791 s, snr: 1.91
noise: Door_2293_1, start: 116.8367 s end: 120.4377 s, duration: 3.6010 s, snr: 5.94
noise: Door_522_2, start: 117.8284 s end: 123.0506 s, duration: 5.2223 s, snr: 5.66
noise: Street_127_2, start: 129.3048 s end: 139.8437 s, duration: 10.5389 s, snr: -1.00
noise: Telephone_317_0, start: 133.7301 s end: 138.6623 s, duration: 4.9323 s, snr: 12.19
noise: Knock_636_3, start: 135.5407 s end: 138.5872 s, duration: 3.0465 s, snr: 1.85
noise: Street_45_0, start: 152.8692 s end: 156.3997 s, duration: 3.5305 s, snr: 0.33
noise: Telephone_32_4, start: 163.0386 s end: 168.1386 s, duration: 5.1000 s, snr: 7.73
noise: Telephone_556_1, start: 169.0471 s end: 177.1432 s, duration: 8.0961 s, snr: 8.65
noise: Telephone_125_1, start: 191.0206 s end: 195.3800 s, duration: 4.3594 s, snr: 12.44
noise: Drawer_137_1, start: 196.3099 s end: 199.9894 s, duration: 3.6795 s, snr: 6.56
noise: Writing_173_3, start: 204.9705 s end: 209.3096 s, duration: 4.3391 s, snr: 0.96
noise: Signalization_55_1, start: 246.4909 s end: 250.0307 s, duration: 3.5397 s, snr: 4.26
noise: Signalization_10_3, start: 264.7715 s end: 283.0386 s, duration: 18.2671 s, snr: 7.71
noise: Knock_431_3, start: 295.3844 s end: 301.6335 s, duration: 6.2491 s, snr: 8.42
noise: Door_1678_1, start: 355.3935 s end: 358.7460 s, duration: 3.3525 s, snr: 9.89
noise: Drawer_81_3, start: 359.1455 s end: 365.5515 s, duration: 6.4060 s, snr: 3.02
noise: Tool_4052_4, start: 391.1046 s end: 395.6342 s, duration: 4.5296 s, snr: 10.71
noise: Telephone_335_4, start: 391.5009 s end: 419.0921 s, duration: 27.5911 s, snr: 4.77
noise: Door_309_4, start: 392.5403 s end: 397.3870 s, duration: 4.8467 s, snr: 12.98
noise: Telephone_553_0, start: 455.1164 s end: 463.2082 s, duration: 8.0917 s, snr: 3.71
noise: Street_38_1, start: 485.2728 s end: 488.8182 s, duration: 3.5454 s, snr: 8.25
noise: Knock_1890_1, start: 493.7582 s end: 498.5990 s, duration: 4.8408 s, snr: 7.38
noise: Street_74_3, start: 509.9616 s end: 513.4941 s, duration: 3.5325 s, snr: 6.77
noise: Telephone_755_4, start: 538.1957 s end: 564.9436 s, duration: 26.7479 s, snr: 2.50
noise: Scissors_13_4, start: 542.9167 s end: 546.2324 s, duration: 3.3157 s, snr: 7.49
noise: Knock_1621_4, start: 559.4083 s end: 565.2228 s, duration: 5.8145 s, snr: 4.07
noise: Squeak_25_4, start: 568.0778 s end: 571.6210 s, duration: 3.5432 s, snr: 11.99
noise: Knock_1151_2, start: 570.4301 s end: 573.7974 s, duration: 3.3673 s, snr: 6.08
noise: Door_2216_3, start: 578.8637 s end: 582.3383 s, duration: 3.4745 s, snr: 4.03
noise: Babble_125_2, start: 586.4901 s end: 597.0212 s, duration: 10.5311 s, snr: 13.98
noise: Writing_32_2, start: 590.3414 s end: 593.3939 s, duration: 3.0525 s, snr: 8.19
noise: Computer_537_1, start: 607.8798 s end: 612.0221 s, duration: 4.1422 s, snr: 3.00
noise: Telephone_367_3, start: 627.4091 s end: 639.9050 s, duration: 12.4959 s, snr: 4.60
noise: Computer_335_1, start: 646.2977 s end: 649.3224 s, duration: 3.0246 s, snr: 5.24
noise: Babble_177_2, start: 678.9638 s end: 699.4972 s, duration: 20.5334 s, snr: 15.64
noise: Computer_758_1, start: 681.3265 s end: 687.2185 s, duration: 5.8920 s, snr: -1.00
noise: Drawer_149_2, start: 687.3903 s end: 697.0198 s, duration: 9.6295 s, snr: 7.84
noise: Babble_156_2, start: 698.3132 s end: 708.8457 s, duration: 10.5325 s, snr: 13.05
noise: Scissors_43_4, start: 720.3252 s end: 724.8913 s, duration: 4.5661 s, snr: 1.75
noise: Scissors_19_1, start: 748.9614 s end: 759.4275 s, duration: 10.4661 s, snr: 7.59
noise: Babble_41_4, start: 772.7061 s end: 778.4379 s, duration: 5.7317 s, snr: 13.16
noise: Knock_114_0, start: 777.4471 s end: 781.2638 s, duration: 3.8167 s, snr: 10.02
noise: Knock_324_0, start: 816.4625 s end: 822.1822 s, duration: 5.7197 s, snr: 3.13
noise: Telephone_197_4, start: 835.8951 s end: 843.4663 s, duration: 7.5712 s, snr: 6.17
noise: Door_4469_3, start: 867.8210 s end: 872.0615 s, duration: 4.2405 s, snr: 6.13
noise: Scissors_4_0, start: 869.2874 s end: 872.8999 s, duration: 3.6125 s, snr: 3.71
noise: Drawer_121_0, start: 870.0042 s end: 874.6173 s, duration: 4.6130 s, snr: 8.99
noise: Computer_155_4, start: 919.0725 s end: 924.3150 s, duration: 5.2425 s, snr: 0.03
noise: Street_47_4, start: 933.6197 s end: 937.1579 s, duration: 3.5381 s, snr: 5.33
noise: Street_69_0, start: 957.1698 s end: 960.7097 s, duration: 3.5399 s, snr: 3.39
noise: Knock_1493_3, start: 1002.4652 s end: 1005.7444 s, duration: 3.2793 s, snr: 7.36
noise: Computer_398_2, start: 1003.9745 s end: 1025.6492 s, duration: 21.6747 s, snr: 1.58
noise: Telephone_166_2, start: 1027.4196 s end: 1042.5944 s, duration: 15.1747 s, snr: 5.37
noise: Signalization_1_4, start: 1045.1519 s end: 1048.5491 s, duration: 3.3972 s, snr: 5.75
noise: Babble_64_0, start: 1050.0447 s end: 1055.5709 s, duration: 5.5262 s, snr: 14.67
noise: Writing_188_1, start: 1069.8951 s end: 1073.2818 s, duration: 3.3866 s, snr: 7.52
noise: Squeak_44_4, start: 1101.3122 s end: 1104.7983 s, duration: 3.4860 s, snr: 1.60
noise: Street_164_2, start: 1111.9789 s end: 1127.5054 s, duration: 15.5265 s, snr: -0.64
