ES2011b, length = 1581.27 s, percent_of_speech = 0.83, percent_of_noises = 0.56
noise: Door_267_0, start: 13.1135 s end: 17.2515 s, duration: 4.1380 s, snr: 6.72
noise: Computer_21_3, start: 19.1223 s end: 30.6887 s, duration: 11.5664 s, snr: 4.09
noise: Street_139_2, start: 26.7207 s end: 37.2532 s, duration: 10.5325 s, snr: 8.23
noise: Signalization_82_2, start: 27.3964 s end: 32.9231 s, duration: 5.5266 s, snr: 6.38
noise: Street_132_4, start: 35.9991 s end: 41.1208 s, duration: 5.1217 s, snr: -0.34
noise: Computer_37_1, start: 47.5487 s end: 50.5551 s, duration: 3.0064 s, snr: 8.55
noise: Telephone_211_3, start: 52.4902 s end: 70.2377 s, duration: 17.7475 s, snr: 8.61
noise: Writing_170_1, start: 53.6309 s end: 56.9369 s, duration: 3.3060 s, snr: 2.12
noise: Knock_481_3, start: 71.1324 s end: 74.8697 s, duration: 3.7373 s, snr: 9.15
noise: Street_110_4, start: 75.3639 s end: 80.9093 s, duration: 5.5454 s, snr: 3.70
noise: Tool_3433_4, start: 76.4938 s end: 81.0321 s, duration: 4.5382 s, snr: 5.97
noise: Gunshot_84_1, start: 90.1025 s end: 94.3479 s, duration: 4.2454 s, snr: -0.58
noise: Computer_1220_4, start: 94.0087 s end: 98.3463 s, duration: 4.3376 s, snr: 5.91
noise: Squeak_180_4, start: 100.1472 s end: 111.2345 s, duration: 11.0872 s, snr: 2.02
noise: Computer_1234_2, start: 102.0828 s end: 112.5692 s, duration: 10.4864 s, snr: 7.39
noise: Computer_607_3, start: 106.5031 s end: 112.6889 s, duration: 6.1859 s, snr: -0.49
noise: Door_2460_1, start: 120.3274 s end: 123.5274 s, duration: 3.2000 s, snr: 5.21
noise: Computer_257_1, start: 155.2748 s end: 163.3937 s, duration: 8.1189 s, snr: 6.25
noise: Knock_1049_0, start: 207.9246 s end: 216.4031 s, duration: 8.4785 s, snr: 7.11
noise: Babble_150_2, start: 209.6554 s end: 212.8256 s, duration: 3.1703 s, snr: 17.45
noise: Signalization_44_2, start: 217.3077 s end: 220.8384 s, duration: 3.5308 s, snr: 8.09
noise: Writing_244_3, start: 225.4298 s end: 229.1228 s, duration: 3.6930 s, snr: 5.53
noise: Signalization_140_1, start: 238.6209 s end: 254.1663 s, duration: 15.5454 s, snr: 2.89
noise: Knock_174_2, start: 239.7480 s end: 243.0577 s, duration: 3.3098 s, snr: 11.52
noise: Computer_270_2, start: 244.6867 s end: 249.2479 s, duration: 4.5611 s, snr: 6.98
noise: Telephone_764_3, start: 265.0353 s end: 270.0941 s, duration: 5.0589 s, snr: 3.47
noise: Scissors_73_1, start: 271.2677 s end: 276.7937 s, duration: 5.5260 s, snr: 2.37
noise: Babble_90_2, start: 317.2353 s end: 322.7807 s, duration: 5.5454 s, snr: 17.36
noise: Babble_85_3, start: 319.2104 s end: 324.7558 s, duration: 5.5454 s, snr: 14.52
noise: Tool_3751_4, start: 335.2728 s end: 339.8066 s, duration: 4.5337 s, snr: 6.15
noise: Door_907_0, start: 356.8477 s end: 361.7562 s, duration: 4.9085 s, snr: 9.73
noise: Tool_3831_2, start: 362.4221 s end: 366.9545 s, duration: 4.5324 s, snr: 5.51
noise: Computer_792_4, start: 367.6687 s end: 372.1058 s, duration: 4.4370 s, snr: 3.32
noise: Telephone_190_3, start: 370.5291 s end: 378.0981 s, duration: 7.5690 s, snr: 7.08
noise: Telephone_787_4, start: 374.8684 s end: 379.8824 s, duration: 5.0140 s, snr: 8.88
noise: Babble_99_2, start: 388.7929 s end: 394.3240 s, duration: 5.5311 s, snr: 10.25
noise: Computer_765_3, start: 415.5617 s end: 420.2662 s, duration: 4.7045 s, snr: 2.66
noise: Scissors_50_1, start: 421.4246 s end: 426.1151 s, duration: 4.6905 s, snr: 0.60
noise: Knock_220_3, start: 455.1634 s end: 458.3582 s, duration: 3.1947 s, snr: 7.07
noise: Scissors_66_2, start: 460.1819 s end: 463.3139 s, duration: 3.1320 s, snr: -0.49
noise: Computer_752_2, start: 465.0251 s end: 468.0729 s, duration: 3.0479 s, snr: 4.76
noise: Writing_189_2, start: 497.9747 s end: 510.7611 s, duration: 12.7864 s, snr: 3.85
noise: Drawer_58_4, start: 520.8206 s end: 524.9934 s, duration: 4.1728 s, snr: 7.71
noise: Computer_612_3, start: 535.8557 s end: 538.8796 s, duration: 3.0239 s, snr: 6.47
noise: Babble_54_0, start: 541.1816 s end: 546.7141 s, duration: 5.5325 s, snr: 11.94
noise: Signalization_11_2, start: 549.4481 s end: 558.5962 s, duration: 9.1481 s, snr: 5.69
noise: Telephone_612_0, start: 577.5829 s end: 587.6006 s, duration: 10.0176 s, snr: 2.59
noise: Door_391_1, start: 643.8984 s end: 647.1494 s, duration: 3.2510 s, snr: 5.05
noise: Computer_617_3, start: 647.3776 s end: 650.7807 s, duration: 3.4031 s, snr: 4.04
noise: Writing_168_4, start: 680.6301 s end: 685.6967 s, duration: 5.0666 s, snr: 3.48
noise: Drawer_73_3, start: 689.4016 s end: 699.6898 s, duration: 10.2881 s, snr: 6.24
noise: Scissors_12_3, start: 691.1026 s end: 694.1810 s, duration: 3.0784 s, snr: 5.71
noise: Scissors_72_4, start: 699.4642 s end: 715.0902 s, duration: 15.6260 s, snr: 8.26
noise: Door_102_0, start: 704.7786 s end: 707.9244 s, duration: 3.1458 s, snr: 3.63
noise: Telephone_233_1, start: 721.6209 s end: 748.7110 s, duration: 27.0901 s, snr: 0.89
noise: Signalization_145_4, start: 732.0325 s end: 747.5680 s, duration: 15.5355 s, snr: 7.56
noise: Computer_506_1, start: 737.5554 s end: 743.8874 s, duration: 6.3320 s, snr: 8.78
noise: Computer_1228_2, start: 755.5714 s end: 759.6092 s, duration: 4.0379 s, snr: 4.37
noise: Signalization_133_0, start: 773.7414 s end: 776.9054 s, duration: 3.1640 s, snr: 3.95
noise: Computer_384_3, start: 788.0189 s end: 811.0198 s, duration: 23.0009 s, snr: 6.44
noise: Street_135_1, start: 822.2043 s end: 832.7368 s, duration: 10.5325 s, snr: 6.81
noise: Scissors_69_4, start: 850.5583 s end: 857.0443 s, duration: 6.4860 s, snr: 2.71
noise: Scissors_45_3, start: 861.6994 s end: 870.5855 s, duration: 8.8861 s, snr: 4.18
noise: Telephone_94_0, start: 921.1817 s end: 925.0195 s, duration: 3.8378 s, snr: 4.63
noise: Telephone_539_3, start: 934.7018 s end: 939.8858 s, duration: 5.1840 s, snr: 2.91
noise: Street_13_3, start: 936.8684 s end: 940.4009 s, duration: 3.5325 s, snr: 8.64
noise: Computer_200_4, start: 941.1434 s end: 944.3946 s, duration: 3.2511 s, snr: 4.30
