ES2014b, length = 2319.89 s, percent_of_speech = 0.83, percent_of_noises = 0.45
noise: Door_132_4, start: 30.8983 s end: 34.9596 s, duration: 4.0614 s, snr: 2.20
noise: Telephone_508_4, start: 56.6937 s end: 60.1373 s, duration: 3.4436 s, snr: 2.77
noise: Gunshot_146_3, start: 80.2378 s end: 83.3631 s, duration: 3.1254 s, snr: 3.97
noise: Drawer_101_1, start: 122.8432 s end: 131.3715 s, duration: 8.5282 s, snr: 4.81
noise: Drawer_71_4, start: 123.2158 s end: 144.0426 s, duration: 20.8268 s, snr: 9.22
noise: Street_126_3, start: 142.8919 s end: 153.4244 s, duration: 10.5325 s, snr: 11.70
noise: Computer_766_1, start: 166.3692 s end: 171.2410 s, duration: 4.8718 s, snr: 5.78
noise: Writing_39_2, start: 185.6504 s end: 205.1364 s, duration: 19.4860 s, snr: 5.46
noise: Telephone_105_2, start: 190.6600 s end: 196.5592 s, duration: 5.8992 s, snr: 5.71
noise: Telephone_297_3, start: 213.1706 s end: 237.2989 s, duration: 24.1284 s, snr: 5.80
noise: Telephone_121_4, start: 220.2426 s end: 228.9174 s, duration: 8.6749 s, snr: 3.68
noise: Knock_356_1, start: 225.3653 s end: 230.3370 s, duration: 4.9717 s, snr: 5.21
noise: Gunshot_3_3, start: 241.9179 s end: 246.7029 s, duration: 4.7850 s, snr: 4.25
noise: Telephone_830_4, start: 258.8105 s end: 263.9577 s, duration: 5.1472 s, snr: 4.71
noise: Street_41_4, start: 327.3468 s end: 330.8922 s, duration: 3.5454 s, snr: 3.69
noise: Writing_159_3, start: 335.3526 s end: 338.8053 s, duration: 3.4528 s, snr: 7.64
noise: Drawer_156_2, start: 351.7439 s end: 355.9204 s, duration: 4.1765 s, snr: 7.00
noise: Drawer_87_4, start: 383.1694 s end: 387.2234 s, duration: 4.0540 s, snr: 4.03
noise: Computer_1095_3, start: 434.5491 s end: 446.6276 s, duration: 12.0785 s, snr: 3.75
noise: Knock_1934_1, start: 479.3175 s end: 484.3118 s, duration: 4.9943 s, snr: 9.01
noise: Knock_1787_2, start: 492.7819 s end: 496.1431 s, duration: 3.3611 s, snr: 2.03
noise: Computer_819_2, start: 494.1481 s end: 499.8266 s, duration: 5.6785 s, snr: 2.84
noise: Telephone_95_1, start: 499.4216 s end: 503.7304 s, duration: 4.3087 s, snr: 5.76
noise: Telephone_667_4, start: 588.5855 s end: 619.4473 s, duration: 30.8618 s, snr: 3.04
noise: Tool_2793_2, start: 604.8800 s end: 609.4124 s, duration: 4.5324 s, snr: 1.97
noise: Telephone_405_1, start: 607.2482 s end: 619.1071 s, duration: 11.8589 s, snr: 5.95
noise: Squeak_157_0, start: 624.5222 s end: 633.3286 s, duration: 8.8064 s, snr: 1.89
noise: Writing_150_2, start: 656.1543 s end: 666.8207 s, duration: 10.6664 s, snr: 8.98
noise: Signalization_40_3, start: 666.5333 s end: 670.0633 s, duration: 3.5300 s, snr: 5.54
noise: Knock_606_2, start: 711.3594 s end: 715.9601 s, duration: 4.6007 s, snr: 6.19
