ES2006b, length = 2183.13 s, percent_of_speech = 0.91, percent_of_noises = 0.44
noise: Computer_154_4, start: 6.7110 s end: 11.7651 s, duration: 5.0541 s, snr: 5.39
noise: Computer_375_3, start: 64.6807 s end: 96.0289 s, duration: 31.3482 s, snr: 7.03
noise: Squeak_35_2, start: 93.9749 s end: 104.4465 s, duration: 10.4716 s, snr: 3.47
noise: Telephone_550_3, start: 114.4899 s end: 120.5068 s, duration: 6.0169 s, snr: 4.81
noise: Street_159_2, start: 150.0441 s end: 165.5736 s, duration: 15.5295 s, snr: 1.92
noise: Squeak_79_1, start: 170.1115 s end: 177.4021 s, duration: 7.2906 s, snr: 1.88
noise: Tool_4034_3, start: 170.5886 s end: 175.1167 s, duration: 4.5281 s, snr: 4.05
noise: Computer_412_0, start: 175.8444 s end: 202.3066 s, duration: 26.4622 s, snr: 4.77
noise: Babble_108_1, start: 177.8679 s end: 183.4020 s, duration: 5.5341 s, snr: 11.92
noise: Computer_458_1, start: 220.0373 s end: 240.0104 s, duration: 19.9731 s, snr: 7.17
noise: Street_144_0, start: 237.0938 s end: 247.6249 s, duration: 10.5311 s, snr: 3.39
noise: Squeak_72_3, start: 258.0772 s end: 261.8280 s, duration: 3.7507 s, snr: 8.97
noise: Computer_126_1, start: 273.9003 s end: 281.5128 s, duration: 7.6125 s, snr: 7.04
noise: Door_2205_0, start: 334.6732 s end: 338.5163 s, duration: 3.8430 s, snr: 10.00
noise: Door_313_0, start: 358.5008 s end: 363.2963 s, duration: 4.7955 s, snr: 2.32
noise: Scissors_91_4, start: 422.7075 s end: 426.4420 s, duration: 3.7345 s, snr: 5.35
noise: Telephone_766_4, start: 427.0924 s end: 431.7085 s, duration: 4.6161 s, snr: 2.02
noise: Door_243_3, start: 439.6744 s end: 444.1343 s, duration: 4.4599 s, snr: 6.67
noise: Knock_600_4, start: 445.8739 s end: 449.6271 s, duration: 3.7532 s, snr: 4.65
noise: Drawer_28_3, start: 467.7517 s end: 471.0892 s, duration: 3.3375 s, snr: 8.22
noise: Scissors_64_0, start: 491.6452 s end: 504.0722 s, duration: 12.4270 s, snr: 7.37
noise: Telephone_120_1, start: 493.8715 s end: 504.3548 s, duration: 10.4832 s, snr: 5.48
noise: Writing_158_0, start: 543.2192 s end: 550.0253 s, duration: 6.8061 s, snr: 5.07
noise: Telephone_151_1, start: 570.7293 s end: 577.7836 s, duration: 7.0543 s, snr: 11.59
noise: Telephone_220_4, start: 583.5201 s end: 604.4366 s, duration: 20.9165 s, snr: 7.10
noise: Knock_122_3, start: 587.1007 s end: 590.1183 s, duration: 3.0176 s, snr: -0.36
noise: Drawer_134_0, start: 643.2662 s end: 653.6729 s, duration: 10.4067 s, snr: -1.00
noise: Computer_152_0, start: 665.2489 s end: 671.6280 s, duration: 6.3791 s, snr: 8.20
noise: Knock_42_1, start: 668.1254 s end: 692.4378 s, duration: 24.3124 s, snr: 2.43
noise: Squeak_257_4, start: 670.8735 s end: 679.6603 s, duration: 8.7867 s, snr: 5.27
