EN2006a, length = 3525.49 s, percent_of_speech = 0.71, percent_of_noises = 0.50
noise: Writing_118_1, start: 8.0453 s end: 11.3498 s, duration: 3.3045 s, snr: 7.46
noise: Squeak_5_0, start: 67.0092 s end: 70.7548 s, duration: 3.7455 s, snr: 3.92
noise: Scissors_5_1, start: 109.1112 s end: 122.0375 s, duration: 12.9262 s, snr: 7.96
noise: Babble_23_4, start: 130.9431 s end: 152.7604 s, duration: 21.8173 s, snr: 15.84
noise: Tool_3486_3, start: 138.6456 s end: 143.1786 s, duration: 4.5330 s, snr: -0.42
noise: Babble_66_2, start: 155.3794 s end: 160.9247 s, duration: 5.5454 s, snr: 16.17
noise: Knock_246_4, start: 167.0277 s end: 170.4100 s, duration: 3.3822 s, snr: 3.28
noise: Signalization_90_4, start: 169.5283 s end: 175.0608 s, duration: 5.5325 s, snr: 2.91
noise: Computer_809_0, start: 170.3356 s end: 176.0379 s, duration: 5.7023 s, snr: 4.25
noise: Squeak_211_3, start: 227.0185 s end: 254.4285 s, duration: 27.4100 s, snr: 6.71
noise: Gunshot_96_3, start: 277.3919 s end: 286.9973 s, duration: 9.6054 s, snr: 4.00
noise: Door_506_3, start: 297.6344 s end: 300.6895 s, duration: 3.0551 s, snr: 4.63
noise: Signalization_110_0, start: 327.9791 s end: 333.5175 s, duration: 5.5384 s, snr: 5.83
noise: Knock_1604_1, start: 334.3911 s end: 338.7056 s, duration: 4.3145 s, snr: 5.26
noise: Scissors_90_3, start: 377.9029 s end: 405.3692 s, duration: 27.4663 s, snr: 2.25
noise: Telephone_340_2, start: 380.1151 s end: 407.7133 s, duration: 27.5982 s, snr: 9.62
noise: Telephone_629_2, start: 382.4859 s end: 393.0557 s, duration: 10.5697 s, snr: 5.64
noise: Knock_510_2, start: 427.2747 s end: 432.7685 s, duration: 5.4938 s, snr: 6.53
noise: Signalization_10_0, start: 429.7326 s end: 447.9998 s, duration: 18.2671 s, snr: 6.17
noise: Telephone_719_4, start: 458.3754 s end: 486.0482 s, duration: 27.6729 s, snr: 7.12
noise: Tool_4066_2, start: 475.5539 s end: 480.0874 s, duration: 4.5335 s, snr: 6.24
noise: Computer_658_0, start: 483.5067 s end: 488.7631 s, duration: 5.2564 s, snr: 1.82
noise: Door_4_0, start: 501.0894 s end: 507.8021 s, duration: 6.7126 s, snr: 4.94
noise: Street_39_1, start: 537.4594 s end: 541.0032 s, duration: 3.5439 s, snr: 3.97
noise: Writing_223_0, start: 549.6499 s end: 555.4646 s, duration: 5.8148 s, snr: 2.14
noise: Squeak_195_0, start: 562.4890 s end: 567.8589 s, duration: 5.3699 s, snr: 4.53
noise: Door_755_2, start: 569.1043 s end: 574.1763 s, duration: 5.0720 s, snr: 6.51
noise: Knock_1921_0, start: 580.9243 s end: 586.8213 s, duration: 5.8970 s, snr: 3.41
noise: Drawer_140_4, start: 585.5969 s end: 607.8669 s, duration: 22.2700 s, snr: 5.68
noise: Telephone_810_2, start: 614.7703 s end: 620.3916 s, duration: 5.6212 s, snr: 7.77
noise: Squeak_288_4, start: 644.9291 s end: 649.2616 s, duration: 4.3325 s, snr: 2.22
noise: Squeak_102_2, start: 677.7944 s end: 688.7609 s, duration: 10.9665 s, snr: 3.73
noise: Telephone_490_4, start: 678.1164 s end: 691.7028 s, duration: 13.5864 s, snr: 7.83
noise: Knock_1143_4, start: 685.5896 s end: 689.4525 s, duration: 3.8629 s, snr: 3.74
noise: Writing_150_0, start: 693.4291 s end: 704.0951 s, duration: 10.6660 s, snr: 2.31
noise: Door_4775_4, start: 733.7826 s end: 737.7788 s, duration: 3.9962 s, snr: 5.76
noise: Computer_315_2, start: 749.1010 s end: 752.4688 s, duration: 3.3678 s, snr: 10.02
noise: Writing_257_3, start: 799.5868 s end: 806.7929 s, duration: 7.2061 s, snr: 4.80
noise: Gunshot_58_4, start: 821.3951 s end: 824.4858 s, duration: 3.0907 s, snr: 1.86
noise: Telephone_473_3, start: 835.5314 s end: 838.8399 s, duration: 3.3085 s, snr: -0.35
noise: Computer_326_0, start: 857.1547 s end: 860.2659 s, duration: 3.1112 s, snr: 8.36
noise: Signalization_103_4, start: 863.8447 s end: 869.4622 s, duration: 5.6175 s, snr: 4.03
noise: Drawer_141_3, start: 877.2491 s end: 899.5354 s, duration: 22.2864 s, snr: 0.77
noise: Telephone_752_3, start: 878.5760 s end: 909.1020 s, duration: 30.5260 s, snr: 5.25
noise: Computer_404_4, start: 956.8393 s end: 977.3656 s, duration: 20.5263 s, snr: 2.52
noise: Knock_906_4, start: 969.6906 s end: 973.6157 s, duration: 3.9251 s, snr: 8.51
noise: Door_1308_4, start: 995.2864 s end: 998.4661 s, duration: 3.1798 s, snr: 1.34
noise: Signalization_95_2, start: 997.5284 s end: 1003.0595 s, duration: 5.5311 s, snr: 2.39
noise: Knock_338_1, start: 999.1314 s end: 1003.8060 s, duration: 4.6746 s, snr: 8.44
noise: Door_2480_1, start: 1013.1046 s end: 1016.7036 s, duration: 3.5990 s, snr: 7.27
noise: Knock_50_4, start: 1035.5978 s end: 1057.3902 s, duration: 21.7924 s, snr: 0.83
noise: Computer_817_1, start: 1100.3335 s end: 1103.4076 s, duration: 3.0741 s, snr: 3.58
noise: Signalization_17_0, start: 1106.3289 s end: 1129.1391 s, duration: 22.8102 s, snr: 0.89
noise: Computer_687_3, start: 1144.8641 s end: 1150.6574 s, duration: 5.7932 s, snr: 1.50
noise: Signalization_9_1, start: 1182.3470 s end: 1212.8795 s, duration: 30.5325 s, snr: 1.93
noise: Squeak_236_3, start: 1219.6077 s end: 1224.7979 s, duration: 5.1902 s, snr: 1.80
noise: Telephone_147_1, start: 1251.8301 s end: 1258.8824 s, duration: 7.0524 s, snr: 4.31
noise: Door_2013_4, start: 1268.4478 s end: 1272.3496 s, duration: 3.9019 s, snr: 2.03
noise: Signalization_82_2, start: 1279.6724 s end: 1285.1990 s, duration: 5.5266 s, snr: 5.40
noise: Telephone_218_1, start: 1311.1247 s end: 1333.1003 s, duration: 21.9756 s, snr: 6.22
noise: Scissors_62_1, start: 1317.6323 s end: 1326.1983 s, duration: 8.5660 s, snr: 2.28
noise: Door_4486_3, start: 1319.9030 s end: 1325.5358 s, duration: 5.6327 s, snr: 4.15
noise: Telephone_209_0, start: 1348.6991 s end: 1372.3645 s, duration: 23.6654 s, snr: 3.82
noise: Computer_498_1, start: 1374.7532 s end: 1383.1796 s, duration: 8.4264 s, snr: 8.23
noise: Knock_657_4, start: 1376.2790 s end: 1380.5825 s, duration: 4.3035 s, snr: 8.98
noise: Squeak_294_2, start: 1385.4374 s end: 1404.4848 s, duration: 19.0474 s, snr: 5.62
noise: Writing_22_0, start: 1397.6876 s end: 1404.5934 s, duration: 6.9059 s, snr: 8.24
noise: Scissors_5_0, start: 1406.2076 s end: 1419.1337 s, duration: 12.9261 s, snr: 3.87
noise: Computer_687_4, start: 1478.0991 s end: 1483.8896 s, duration: 5.7905 s, snr: 6.36
noise: Knock_1131_1, start: 1481.4561 s end: 1485.2010 s, duration: 3.7449 s, snr: 5.79
noise: Babble_77_0, start: 1484.7479 s end: 1490.2804 s, duration: 5.5325 s, snr: 10.78
noise: Computer_996_4, start: 1491.2876 s end: 1516.2918 s, duration: 25.0043 s, snr: 8.37
noise: Babble_28_0, start: 1493.3019 s end: 1498.8473 s, duration: 5.5454 s, snr: 13.32
noise: Drawer_53_0, start: 1555.4799 s end: 1577.3090 s, duration: 21.8291 s, snr: 3.81
noise: Telephone_44_4, start: 1582.5452 s end: 1587.6576 s, duration: 5.1124 s, snr: 9.57
noise: Knock_1526_1, start: 1666.6346 s end: 1671.7316 s, duration: 5.0970 s, snr: -1.00
noise: Street_53_4, start: 1683.2667 s end: 1686.7943 s, duration: 3.5276 s, snr: 1.34
noise: Squeak_69_4, start: 1689.9854 s end: 1694.2122 s, duration: 4.2268 s, snr: 3.27
noise: Writing_5_0, start: 1694.1450 s end: 1698.3711 s, duration: 4.2261 s, snr: 6.57
noise: Knock_864_1, start: 1697.0966 s end: 1700.8377 s, duration: 3.7411 s, snr: 1.21
noise: Telephone_253_2, start: 1714.4111 s end: 1727.4678 s, duration: 13.0566 s, snr: 7.96
noise: Tool_3567_4, start: 1753.0677 s end: 1757.6001 s, duration: 4.5324 s, snr: 4.83
noise: Squeak_75_4, start: 1753.8283 s end: 1757.5403 s, duration: 3.7120 s, snr: 4.06
noise: Telephone_432_3, start: 1790.4783 s end: 1823.8622 s, duration: 33.3839 s, snr: 9.65
noise: Scissors_41_4, start: 1799.6149 s end: 1809.6009 s, duration: 9.9860 s, snr: 6.43
