TS3007b, length = 3354.86 s, percent_of_speech = 0.67, percent_of_noises = 0.61
noise: Squeak_25_4, start: 6.8483 s end: 10.3916 s, duration: 3.5432 s, snr: 4.83
noise: Computer_1227_2, start: 12.3397 s end: 17.8344 s, duration: 5.4947 s, snr: 4.26
noise: Computer_810_4, start: 13.5803 s end: 17.4058 s, duration: 3.8255 s, snr: 6.72
noise: Knock_1777_2, start: 14.5081 s end: 18.3533 s, duration: 3.8453 s, snr: 2.43
noise: Telephone_440_0, start: 23.0343 s end: 50.8367 s, duration: 27.8024 s, snr: 3.68
noise: Drawer_112_1, start: 36.4077 s end: 47.6546 s, duration: 11.2469 s, snr: 3.75
noise: Drawer_138_4, start: 45.9739 s end: 49.6228 s, duration: 3.6489 s, snr: 3.12
noise: Squeak_33_2, start: 103.4623 s end: 107.3271 s, duration: 3.8648 s, snr: 4.13
noise: Knock_1541_3, start: 107.4662 s end: 111.1483 s, duration: 3.6821 s, snr: 2.75
noise: Knock_1000_2, start: 120.4879 s end: 123.7922 s, duration: 3.3044 s, snr: 2.94
noise: Squeak_52_0, start: 135.0258 s end: 138.0502 s, duration: 3.0244 s, snr: 5.82
noise: Squeak_42_1, start: 155.0881 s end: 167.8951 s, duration: 12.8070 s, snr: 7.37
noise: Street_59_1, start: 158.1204 s end: 161.6529 s, duration: 3.5325 s, snr: 2.12
noise: Computer_529_3, start: 163.8746 s end: 169.4012 s, duration: 5.5266 s, snr: 5.91
noise: Telephone_105_2, start: 205.8886 s end: 211.7879 s, duration: 5.8993 s, snr: 4.35
noise: Scissors_70_3, start: 220.9066 s end: 226.3586 s, duration: 5.4520 s, snr: 3.67
noise: Squeak_170_0, start: 231.1773 s end: 240.1673 s, duration: 8.9900 s, snr: 2.78
noise: Drawer_93_3, start: 248.0862 s end: 253.6324 s, duration: 5.5463 s, snr: 6.47
noise: Babble_27_2, start: 256.4934 s end: 262.0226 s, duration: 5.5291 s, snr: 14.05
noise: Writing_153_1, start: 262.6237 s end: 277.4497 s, duration: 14.8260 s, snr: 8.21
noise: Computer_869_1, start: 303.3910 s end: 308.6280 s, duration: 5.2370 s, snr: 4.63
noise: Babble_200_2, start: 306.9182 s end: 317.9852 s, duration: 11.0670 s, snr: 17.00
noise: Drawer_122_4, start: 313.4524 s end: 317.2662 s, duration: 3.8138 s, snr: 9.92
noise: Squeak_128_1, start: 313.5709 s end: 342.4170 s, duration: 28.8461 s, snr: 4.48
noise: Computer_1085_2, start: 314.4264 s end: 323.5799 s, duration: 9.1535 s, snr: 3.80
noise: Drawer_95_2, start: 317.9651 s end: 324.4334 s, duration: 6.4683 s, snr: 5.63
noise: Computer_473_0, start: 338.5526 s end: 346.4592 s, duration: 7.9066 s, snr: 9.97
noise: Writing_246_3, start: 341.4949 s end: 345.4737 s, duration: 3.9787 s, snr: 7.00
noise: Door_4690_3, start: 358.6308 s end: 363.6756 s, duration: 5.0448 s, snr: 4.42
noise: Telephone_769_1, start: 371.0211 s end: 374.9457 s, duration: 3.9246 s, snr: 4.51
noise: Telephone_145_0, start: 382.9201 s end: 387.0009 s, duration: 4.0808 s, snr: -1.00
noise: Computer_336_0, start: 387.2821 s end: 390.6081 s, duration: 3.3260 s, snr: -1.00
noise: Scissors_79_0, start: 395.8709 s end: 414.1371 s, duration: 18.2663 s, snr: 3.15
noise: Gunshot_7_2, start: 397.4101 s end: 400.4721 s, duration: 3.0620 s, snr: 10.63
noise: Squeak_279_2, start: 416.1347 s end: 421.1919 s, duration: 5.0573 s, snr: 6.05
noise: Telephone_140_3, start: 428.2904 s end: 432.6288 s, duration: 4.3384 s, snr: 6.54
noise: Scissors_79_3, start: 468.6007 s end: 486.8688 s, duration: 18.2681 s, snr: -0.71
