IS1007c, length = 2113.28 s, percent_of_speech = 0.85, percent_of_noises = 0.45
noise: Scissors_36_2, start: 15.8126 s end: 29.9386 s, duration: 14.1260 s, snr: 8.73
noise: Scissors_43_1, start: 16.6323 s end: 21.2001 s, duration: 4.5678 s, snr: 3.53
noise: Babble_43_4, start: 42.4507 s end: 47.9771 s, duration: 5.5264 s, snr: 10.44
noise: Street_68_0, start: 51.2290 s end: 54.7571 s, duration: 3.5281 s, snr: 6.68
noise: Signalization_146_2, start: 64.6021 s end: 80.1474 s, duration: 15.5454 s, snr: 10.62
noise: Babble_73_4, start: 72.5943 s end: 78.1268 s, duration: 5.5325 s, snr: 18.21
noise: Door_1174_0, start: 85.8539 s end: 91.4314 s, duration: 5.5775 s, snr: 6.92
noise: Computer_360_4, start: 166.0496 s end: 201.6457 s, duration: 35.5961 s, snr: 4.69
noise: Telephone_120_1, start: 173.2409 s end: 183.7242 s, duration: 10.4832 s, snr: 6.93
noise: Telephone_665_1, start: 252.3590 s end: 282.8904 s, duration: 30.5314 s, snr: 7.76
noise: Knock_627_0, start: 270.0103 s end: 273.5961 s, duration: 3.5858 s, snr: 10.57
noise: Writing_234_4, start: 319.2644 s end: 328.7704 s, duration: 9.5060 s, snr: 8.94
noise: Tool_3380_2, start: 410.1735 s end: 413.8528 s, duration: 3.6793 s, snr: 0.90
noise: Knock_1612_1, start: 415.5830 s end: 419.0081 s, duration: 3.4251 s, snr: 3.42
noise: Scissors_61_1, start: 428.0005 s end: 441.0069 s, duration: 13.0064 s, snr: 7.12
noise: Gunshot_23_1, start: 442.8946 s end: 446.0796 s, duration: 3.1850 s, snr: 1.96
noise: Gunshot_122_1, start: 458.5989 s end: 462.4114 s, duration: 3.8125 s, snr: 3.45
noise: Signalization_142_4, start: 488.3681 s end: 493.5752 s, duration: 5.2071 s, snr: 5.45
noise: Knock_1165_4, start: 499.1989 s end: 508.4734 s, duration: 9.2745 s, snr: 7.95
noise: Writing_124_2, start: 560.6529 s end: 565.7052 s, duration: 5.0522 s, snr: 12.85
noise: Writing_269_0, start: 566.5742 s end: 570.5207 s, duration: 3.9465 s, snr: -0.70
noise: Computer_495_3, start: 576.0343 s end: 582.8409 s, duration: 6.8066 s, snr: 3.55
noise: Computer_751_1, start: 581.3473 s end: 584.6102 s, duration: 3.2629 s, snr: 7.64
