TS3008d, length = 2795.00 s, percent_of_speech = 0.81, percent_of_noises = 0.44
noise: Knock_707_4, start: 3.3789 s end: 8.7302 s, duration: 5.3512 s, snr: 5.49
noise: Babble_23_1, start: 31.9315 s end: 53.7430 s, duration: 21.8115 s, snr: 13.23
noise: Door_2052_1, start: 50.9645 s end: 54.3684 s, duration: 3.4039 s, snr: 7.32
noise: Squeak_99_0, start: 57.9787 s end: 70.2856 s, duration: 12.3069 s, snr: 2.55
noise: Telephone_634_0, start: 86.2524 s end: 94.9069 s, duration: 8.6545 s, snr: 8.54
noise: Knock_1330_1, start: 131.0881 s end: 136.4724 s, duration: 5.3843 s, snr: 3.67
noise: Tool_2949_0, start: 138.1301 s end: 141.3656 s, duration: 3.2355 s, snr: 7.13
noise: Babble_184_0, start: 148.3397 s end: 163.5318 s, duration: 15.1921 s, snr: 17.26
noise: Drawer_61_3, start: 169.2653 s end: 179.8324 s, duration: 10.5671 s, snr: 3.23
noise: Computer_25_2, start: 184.5004 s end: 197.1671 s, duration: 12.6666 s, snr: 7.10
noise: Writing_149_4, start: 196.4149 s end: 200.2674 s, duration: 3.8525 s, snr: 6.58
noise: Door_4430_3, start: 198.7757 s end: 202.5954 s, duration: 3.8197 s, snr: 7.73
noise: Scissors_15_0, start: 198.9058 s end: 206.8720 s, duration: 7.9663 s, snr: 6.76
noise: Knock_1684_1, start: 215.9272 s end: 220.9578 s, duration: 5.0305 s, snr: 3.58
noise: Telephone_570_3, start: 293.1895 s end: 312.7109 s, duration: 19.5214 s, snr: 1.76
noise: Telephone_678_4, start: 295.9524 s end: 300.4869 s, duration: 4.5345 s, snr: 6.17
noise: Babble_64_2, start: 298.9859 s end: 304.5283 s, duration: 5.5424 s, snr: 11.07
noise: Knock_599_1, start: 308.4194 s end: 312.7871 s, duration: 4.3678 s, snr: 4.72
noise: Knock_1469_0, start: 317.4839 s end: 323.0096 s, duration: 5.5258 s, snr: 11.46
noise: Computer_16_2, start: 319.5648 s end: 348.1914 s, duration: 28.6266 s, snr: 4.25
noise: Telephone_552_2, start: 338.4496 s end: 346.9261 s, duration: 8.4765 s, snr: 3.91
noise: Scissors_71_2, start: 342.6873 s end: 353.0735 s, duration: 10.3863 s, snr: -0.94
noise: Drawer_124_1, start: 384.3881 s end: 388.1614 s, duration: 3.7733 s, snr: 2.23
noise: Door_4276_2, start: 395.4538 s end: 398.7798 s, duration: 3.3260 s, snr: 3.72
noise: Knock_1687_4, start: 414.8538 s end: 418.1699 s, duration: 3.3161 s, snr: 1.26
noise: Signalization_3_3, start: 449.5414 s end: 474.9059 s, duration: 25.3645 s, snr: 6.68
noise: Knock_1198_2, start: 530.5811 s end: 535.5066 s, duration: 4.9255 s, snr: -1.00
noise: Writing_184_3, start: 563.3827 s end: 593.3089 s, duration: 29.9261 s, snr: 6.71
noise: Scissors_3_3, start: 569.0064 s end: 573.5329 s, duration: 4.5265 s, snr: 4.71
noise: Drawer_7_1, start: 588.8462 s end: 594.1529 s, duration: 5.3067 s, snr: 7.76
noise: Signalization_30_2, start: 622.8826 s end: 626.4141 s, duration: 3.5315 s, snr: 2.77
noise: Babble_191_2, start: 655.2858 s end: 685.8183 s, duration: 30.5325 s, snr: 15.68
noise: Signalization_115_1, start: 659.5659 s end: 664.6372 s, duration: 5.0712 s, snr: 5.71
noise: Computer_752_3, start: 732.3004 s end: 735.3486 s, duration: 3.0481 s, snr: 1.37
noise: Computer_112_0, start: 769.5487 s end: 773.2949 s, duration: 3.7462 s, snr: 7.92
noise: Scissors_10_1, start: 781.8955 s end: 790.5828 s, duration: 8.6873 s, snr: 2.94
noise: Babble_144_3, start: 788.4874 s end: 799.0158 s, duration: 10.5284 s, snr: 15.78
