IN1002, length = 2472.60 s, percent_of_speech = 0.94, percent_of_noises = 0.59
noise: Telephone_147_2, start: 2.4439 s end: 9.4899 s, duration: 7.0460 s, snr: 5.81
noise: Door_263_1, start: 41.9847 s end: 45.5739 s, duration: 3.5892 s, snr: 4.96
noise: Door_23_4, start: 53.9610 s end: 57.6754 s, duration: 3.7144 s, snr: 7.28
noise: Babble_71_4, start: 89.7626 s end: 92.9696 s, duration: 3.2070 s, snr: 11.23
noise: Computer_994_2, start: 95.9261 s end: 123.1526 s, duration: 27.2265 s, snr: 2.18
noise: Writing_9_1, start: 100.9734 s end: 116.2602 s, duration: 15.2867 s, snr: 6.81
noise: Squeak_97_4, start: 102.9566 s end: 109.0042 s, duration: 6.0476 s, snr: 3.81
noise: Drawer_96_0, start: 112.0924 s end: 130.1392 s, duration: 18.0467 s, snr: 3.83
noise: Door_1017_4, start: 151.9755 s end: 155.7918 s, duration: 3.8162 s, snr: 3.84
noise: Gunshot_58_0, start: 168.2599 s end: 171.3199 s, duration: 3.0600 s, snr: 3.75
noise: Knock_1739_4, start: 180.7461 s end: 184.8459 s, duration: 4.0998 s, snr: 2.26
noise: Writing_5_1, start: 183.4334 s end: 187.6598 s, duration: 4.2264 s, snr: 2.47
noise: Street_27_1, start: 187.7175 s end: 191.2500 s, duration: 3.5325 s, snr: 8.82
noise: Door_309_3, start: 202.9629 s end: 207.8096 s, duration: 4.8468 s, snr: 5.87
noise: Door_1044_4, start: 205.6858 s end: 209.7934 s, duration: 4.1076 s, snr: 4.47
noise: Squeak_286_0, start: 228.3608 s end: 233.1692 s, duration: 4.8084 s, snr: 6.82
noise: Drawer_118_3, start: 242.5138 s end: 248.2199 s, duration: 5.7061 s, snr: 1.60
noise: Gunshot_22_1, start: 252.3680 s end: 256.7178 s, duration: 4.3498 s, snr: 9.27
noise: Writing_89_2, start: 256.6079 s end: 281.5553 s, duration: 24.9474 s, snr: 3.98
noise: Door_1168_2, start: 257.6760 s end: 262.5673 s, duration: 4.8913 s, snr: 5.15
noise: Telephone_391_0, start: 264.0806 s end: 275.9407 s, duration: 11.8601 s, snr: 7.12
noise: Babble_139_3, start: 273.6684 s end: 284.2091 s, duration: 10.5406 s, snr: 15.97
noise: Street_43_2, start: 281.5392 s end: 285.0686 s, duration: 3.5294 s, snr: 5.26
noise: Computer_393_1, start: 324.5358 s end: 348.6449 s, duration: 24.1091 s, snr: 3.04
noise: Scissors_93_0, start: 330.2310 s end: 333.4912 s, duration: 3.2602 s, snr: 7.12
noise: Signalization_140_0, start: 359.5515 s end: 375.0840 s, duration: 15.5325 s, snr: 6.33
noise: Computer_675_1, start: 377.7791 s end: 380.9520 s, duration: 3.1729 s, snr: 1.25
noise: Computer_942_0, start: 378.2544 s end: 382.1537 s, duration: 3.8992 s, snr: -0.53
noise: Computer_374_0, start: 412.7697 s end: 438.2960 s, duration: 25.5263 s, snr: 2.63
noise: Squeak_62_0, start: 417.3132 s end: 421.2579 s, duration: 3.9447 s, snr: 2.15
noise: Telephone_306_3, start: 431.6982 s end: 436.6311 s, duration: 4.9329 s, snr: 7.91
noise: Telephone_292_1, start: 443.1676 s end: 458.9364 s, duration: 15.7689 s, snr: 3.87
noise: Door_1892_1, start: 455.6048 s end: 458.9341 s, duration: 3.3293 s, snr: 7.20
noise: Babble_89_1, start: 460.7444 s end: 466.2763 s, duration: 5.5319 s, snr: 15.38
noise: Computer_491_3, start: 466.3388 s end: 474.8212 s, duration: 8.4824 s, snr: 2.11
noise: Drawer_135_1, start: 471.7872 s end: 477.5343 s, duration: 5.7471 s, snr: -1.00
noise: Drawer_148_4, start: 477.6794 s end: 481.7719 s, duration: 4.0925 s, snr: 9.28
noise: Signalization_65_3, start: 497.8441 s end: 501.3716 s, duration: 3.5275 s, snr: 5.89
noise: Signalization_60_1, start: 505.7636 s end: 509.2967 s, duration: 3.5331 s, snr: 6.04
noise: Scissors_20_2, start: 507.8496 s end: 519.4562 s, duration: 11.6066 s, snr: 1.90
noise: Babble_14_1, start: 517.5128 s end: 541.6794 s, duration: 24.1666 s, snr: 15.44
noise: Drawer_35_1, start: 533.4506 s end: 542.1168 s, duration: 8.6662 s, snr: 1.84
noise: Scissors_45_4, start: 534.2736 s end: 543.1599 s, duration: 8.8863 s, snr: 1.77
noise: Telephone_633_2, start: 603.5322 s end: 614.1279 s, duration: 10.5958 s, snr: 3.84
noise: Gunshot_41_2, start: 610.4740 s end: 615.0026 s, duration: 4.5286 s, snr: 7.63
noise: Scissors_88_0, start: 632.3288 s end: 648.0954 s, duration: 15.7666 s, snr: 2.89
noise: Scissors_41_4, start: 639.9757 s end: 649.9617 s, duration: 9.9860 s, snr: 6.40
