TS3011b, length = 2214.21 s, percent_of_speech = 0.88, percent_of_noises = 0.42
noise: Scissors_87_1, start: 4.8332 s end: 12.6206 s, duration: 7.7874 s, snr: 9.57
noise: Computer_460_3, start: 19.2683 s end: 32.3343 s, duration: 13.0660 s, snr: 10.23
noise: Computer_883_1, start: 31.8494 s end: 37.3024 s, duration: 5.4530 s, snr: 9.80
noise: Computer_719_1, start: 93.6319 s end: 96.7634 s, duration: 3.1315 s, snr: 5.29
noise: Street_81_1, start: 99.6002 s end: 105.1327 s, duration: 5.5325 s, snr: 10.96
noise: Street_160_1, start: 111.0191 s end: 126.5467 s, duration: 15.5276 s, snr: 6.70
noise: Telephone_506_3, start: 133.4763 s end: 137.2919 s, duration: 3.8156 s, snr: 2.42
noise: Knock_255_2, start: 141.1919 s end: 144.3063 s, duration: 3.1144 s, snr: 4.82
noise: Computer_1055_2, start: 163.8528 s end: 174.6582 s, duration: 10.8054 s, snr: 9.62
noise: Computer_837_2, start: 173.5153 s end: 179.4571 s, duration: 5.9418 s, snr: 4.36
noise: Street_31_1, start: 176.0889 s end: 179.6204 s, duration: 3.5315 s, snr: 5.80
noise: Door_2378_3, start: 185.3520 s end: 188.6438 s, duration: 3.2918 s, snr: 3.69
noise: Telephone_313_0, start: 198.9978 s end: 203.9324 s, duration: 4.9346 s, snr: 6.10
noise: Door_850_1, start: 209.7901 s end: 213.9081 s, duration: 4.1180 s, snr: 8.41
noise: Scissors_55_3, start: 272.6532 s end: 283.8201 s, duration: 11.1669 s, snr: 5.65
noise: Scissors_7_0, start: 277.2584 s end: 282.7116 s, duration: 5.4533 s, snr: 9.69
noise: Writing_44_3, start: 289.6921 s end: 297.6592 s, duration: 7.9671 s, snr: 4.27
noise: Knock_275_0, start: 308.3881 s end: 312.6316 s, duration: 4.2435 s, snr: 6.28
noise: Signalization_60_3, start: 325.0278 s end: 328.5675 s, duration: 3.5397 s, snr: 2.19
noise: Signalization_62_1, start: 330.5304 s end: 334.0585 s, duration: 3.5281 s, snr: 9.33
noise: Signalization_46_0, start: 369.2617 s end: 372.7942 s, duration: 3.5325 s, snr: 5.15
noise: Signalization_108_0, start: 417.7762 s end: 423.3064 s, duration: 5.5303 s, snr: -1.00
noise: Squeak_107_2, start: 423.7644 s end: 427.6311 s, duration: 3.8666 s, snr: 1.75
noise: Signalization_13_1, start: 446.1187 s end: 451.1190 s, duration: 5.0003 s, snr: 3.66
noise: Squeak_7_0, start: 478.5844 s end: 490.1131 s, duration: 11.5286 s, snr: 7.01
noise: Signalization_53_4, start: 493.7412 s end: 497.2737 s, duration: 3.5325 s, snr: 1.04
noise: Scissors_75_2, start: 496.0697 s end: 499.4567 s, duration: 3.3870 s, snr: 3.63
noise: Scissors_17_3, start: 509.6506 s end: 515.1034 s, duration: 5.4528 s, snr: -0.08
noise: Squeak_271_2, start: 533.9883 s end: 537.2398 s, duration: 3.2515 s, snr: 3.38
noise: Computer_147_2, start: 541.6736 s end: 546.1821 s, duration: 4.5085 s, snr: 8.14
noise: Street_154_3, start: 556.4126 s end: 571.9451 s, duration: 15.5325 s, snr: 6.44
noise: Squeak_130_2, start: 587.6890 s end: 598.2595 s, duration: 10.5705 s, snr: -0.53
noise: Scissors_5_4, start: 596.0328 s end: 608.9592 s, duration: 12.9264 s, snr: 4.18
noise: Signalization_79_2, start: 605.3708 s end: 608.9033 s, duration: 3.5325 s, snr: 3.74
noise: Telephone_257_3, start: 619.3361 s end: 632.0335 s, duration: 12.6974 s, snr: 5.68
noise: Knock_100_2, start: 621.8093 s end: 627.3226 s, duration: 5.5132 s, snr: 2.91
noise: Telephone_790_3, start: 633.7045 s end: 637.6508 s, duration: 3.9462 s, snr: 1.92
noise: Computer_1274_1, start: 655.7246 s end: 663.9309 s, duration: 8.2064 s, snr: 7.27
noise: Drawer_157_2, start: 663.2139 s end: 673.1833 s, duration: 9.9694 s, snr: 8.95
