ES2015c, length = 2135.89 s, percent_of_speech = 0.88, percent_of_noises = 0.47
noise: Knock_1635_4, start: 36.8824 s end: 42.0191 s, duration: 5.1367 s, snr: 9.49
noise: Squeak_259_3, start: 51.9523 s end: 61.9833 s, duration: 10.0310 s, snr: 3.79
noise: Squeak_102_2, start: 56.0618 s end: 67.0283 s, duration: 10.9665 s, snr: 3.56
noise: Knock_1127_0, start: 56.3559 s end: 66.0248 s, duration: 9.6689 s, snr: 7.16
noise: Street_59_0, start: 63.7614 s end: 67.2939 s, duration: 3.5325 s, snr: 2.93
noise: Scissors_41_3, start: 72.4155 s end: 82.4018 s, duration: 9.9863 s, snr: 3.17
noise: Signalization_123_2, start: 105.9694 s end: 111.0149 s, duration: 5.0455 s, snr: 11.83
noise: Knock_1195_4, start: 132.8051 s end: 135.9506 s, duration: 3.1455 s, snr: 4.61
noise: Door_4864_2, start: 141.9171 s end: 147.0974 s, duration: 5.1803 s, snr: 7.91
noise: Computer_488_3, start: 161.2052 s end: 172.0767 s, duration: 10.8715 s, snr: 8.48
noise: Knock_1538_3, start: 231.2579 s end: 234.9976 s, duration: 3.7397 s, snr: 3.30
noise: Street_72_4, start: 244.2079 s end: 247.2979 s, duration: 3.0900 s, snr: 4.38
noise: Telephone_699_1, start: 272.7365 s end: 276.6882 s, duration: 3.9518 s, snr: 6.12
noise: Tool_2687_2, start: 280.0808 s end: 284.6100 s, duration: 4.5292 s, snr: 4.62
noise: Drawer_124_1, start: 295.9509 s end: 299.7242 s, duration: 3.7733 s, snr: 4.29
noise: Drawer_4_1, start: 296.5934 s end: 299.6736 s, duration: 3.0803 s, snr: 2.77
noise: Computer_897_4, start: 303.0736 s end: 306.9118 s, duration: 3.8383 s, snr: 4.82
noise: Knock_1740_4, start: 304.5859 s end: 308.3422 s, duration: 3.7563 s, snr: 8.40
noise: Writing_42_3, start: 309.1633 s end: 322.5685 s, duration: 13.4052 s, snr: 6.16
noise: Gunshot_16_1, start: 315.6798 s end: 320.4648 s, duration: 4.7850 s, snr: 13.06
noise: Writing_185_1, start: 337.2652 s end: 343.3704 s, duration: 6.1052 s, snr: 3.82
noise: Computer_875_2, start: 357.7319 s end: 362.6946 s, duration: 4.9627 s, snr: 1.30
noise: Computer_984_2, start: 363.7034 s end: 367.6173 s, duration: 3.9139 s, snr: 5.91
noise: Drawer_19_0, start: 390.6244 s end: 394.8392 s, duration: 4.2147 s, snr: 2.41
