IS1004c, length = 2263.98 s, percent_of_speech = 0.88, percent_of_noises = 0.45
noise: Signalization_24_0, start: 40.0403 s end: 43.5727 s, duration: 3.5325 s, snr: 8.85
noise: Telephone_27_3, start: 53.1138 s end: 74.2412 s, duration: 21.1274 s, snr: 8.22
noise: Tool_3684_3, start: 69.1818 s end: 73.7138 s, duration: 4.5320 s, snr: 7.17
noise: Drawer_136_1, start: 85.9603 s end: 89.6477 s, duration: 3.6874 s, snr: 6.55
noise: Computer_489_1, start: 96.1459 s end: 106.4647 s, duration: 10.3187 s, snr: 3.06
noise: Scissors_34_2, start: 102.2297 s end: 107.9223 s, duration: 5.6925 s, snr: 5.23
noise: Computer_690_2, start: 128.3704 s end: 131.4406 s, duration: 3.0701 s, snr: 6.31
noise: Signalization_128_0, start: 175.3711 s end: 178.9161 s, duration: 3.5450 s, snr: 1.67
noise: Scissors_29_2, start: 191.9140 s end: 195.6401 s, duration: 3.7261 s, snr: 4.69
noise: Telephone_716_3, start: 204.1089 s end: 207.4221 s, duration: 3.3132 s, snr: 2.02
noise: Drawer_41_1, start: 210.9252 s end: 221.5931 s, duration: 10.6679 s, snr: 3.42
noise: Squeak_245_4, start: 214.0062 s end: 220.5325 s, duration: 6.5263 s, snr: 5.72
noise: Knock_1278_4, start: 254.8331 s end: 259.8448 s, duration: 5.0117 s, snr: 1.93
noise: Knock_949_0, start: 254.9794 s end: 258.1016 s, duration: 3.1221 s, snr: 5.11
noise: Squeak_250_2, start: 258.3754 s end: 262.0032 s, duration: 3.6278 s, snr: 2.57
noise: Squeak_37_4, start: 341.3699 s end: 345.7109 s, duration: 4.3410 s, snr: 2.82
noise: Knock_1367_0, start: 369.2136 s end: 372.4699 s, duration: 3.2563 s, snr: -1.00
noise: Writing_201_4, start: 370.2309 s end: 373.4286 s, duration: 3.1976 s, snr: 9.85
noise: Gunshot_107_0, start: 376.1693 s end: 383.6047 s, duration: 7.4354 s, snr: 6.81
noise: Street_43_0, start: 381.1544 s end: 384.6869 s, duration: 3.5325 s, snr: 5.61
noise: Telephone_93_4, start: 384.6615 s end: 389.3090 s, duration: 4.6475 s, snr: 4.39
noise: Telephone_446_1, start: 404.6862 s end: 438.0774 s, duration: 33.3911 s, snr: 3.66
