IS1006d, length = 1839.19 s, percent_of_speech = 0.89, percent_of_noises = 0.58
noise: Knock_200_2, start: 43.9234 s end: 48.9928 s, duration: 5.0694 s, snr: 0.48
noise: Door_4769_4, start: 65.0121 s end: 68.6314 s, duration: 3.6193 s, snr: 7.02
noise: Street_104_3, start: 71.9659 s end: 77.5005 s, duration: 5.5346 s, snr: 8.46
noise: Telephone_753_1, start: 108.3143 s end: 138.8410 s, duration: 30.5268 s, snr: 8.33
noise: Door_728_2, start: 151.7190 s end: 156.8537 s, duration: 5.1347 s, snr: 4.90
noise: Drawer_129_2, start: 171.7561 s end: 178.3629 s, duration: 6.6069 s, snr: 7.66
noise: Computer_507_3, start: 187.8742 s end: 192.8839 s, duration: 5.0096 s, snr: 4.87
noise: Babble_157_3, start: 204.8208 s end: 215.3545 s, duration: 10.5337 s, snr: 9.81
noise: Drawer_29_1, start: 207.8700 s end: 211.4065 s, duration: 3.5365 s, snr: 6.46
noise: Drawer_81_1, start: 209.6358 s end: 216.0431 s, duration: 6.4073 s, snr: 7.79
noise: Drawer_132_4, start: 214.1691 s end: 231.9775 s, duration: 17.8084 s, snr: 9.89
noise: Computer_665_3, start: 226.7411 s end: 230.4238 s, duration: 3.6827 s, snr: 2.36
noise: Knock_809_3, start: 301.4454 s end: 307.3699 s, duration: 5.9245 s, snr: 9.61
noise: Door_1655_4, start: 305.2523 s end: 308.3107 s, duration: 3.0585 s, snr: 5.30
noise: Telephone_136_4, start: 378.8494 s end: 383.1867 s, duration: 4.3372 s, snr: 10.54
noise: Drawer_10_2, start: 390.8334 s end: 414.0209 s, duration: 23.1875 s, snr: 2.96
noise: Tool_3560_1, start: 399.9976 s end: 404.5268 s, duration: 4.5292 s, snr: 5.33
noise: Door_1858_1, start: 402.0181 s end: 405.5036 s, duration: 3.4855 s, snr: -0.51
noise: Tool_3401_2, start: 410.0051 s end: 414.5320 s, duration: 4.5269 s, snr: 10.20
noise: Scissors_35_1, start: 413.6748 s end: 426.1209 s, duration: 12.4461 s, snr: 5.95
noise: Signalization_92_4, start: 418.4982 s end: 424.0308 s, duration: 5.5325 s, snr: 2.50
noise: Telephone_778_2, start: 440.1377 s end: 444.3281 s, duration: 4.1904 s, snr: 1.62
noise: Babble_177_0, start: 463.5570 s end: 484.0895 s, duration: 20.5325 s, snr: 14.91
noise: Street_146_4, start: 464.6906 s end: 475.2231 s, duration: 10.5325 s, snr: 9.03
noise: Tool_2697_1, start: 479.2476 s end: 483.7787 s, duration: 4.5311 s, snr: 4.46
noise: Computer_1160_4, start: 484.0196 s end: 487.5449 s, duration: 3.5254 s, snr: 12.15
noise: Scissors_34_3, start: 485.3458 s end: 491.0412 s, duration: 5.6955 s, snr: 2.31
noise: Telephone_286_2, start: 492.7794 s end: 509.4151 s, duration: 16.6356 s, snr: 5.32
noise: Computer_69_3, start: 568.4985 s end: 580.5638 s, duration: 12.0652 s, snr: 5.53
noise: Computer_481_0, start: 594.7308 s end: 604.7992 s, duration: 10.0684 s, snr: 4.74
noise: Telephone_566_0, start: 595.7930 s end: 615.3150 s, duration: 19.5220 s, snr: 4.26
noise: Telephone_754_3, start: 618.7252 s end: 649.2548 s, duration: 30.5296 s, snr: 3.16
noise: Gunshot_1_2, start: 623.8001 s end: 648.4655 s, duration: 24.6654 s, snr: 0.29
noise: Telephone_52_1, start: 657.8126 s end: 662.0592 s, duration: 4.2466 s, snr: 3.25
noise: Scissors_70_4, start: 676.0992 s end: 681.5514 s, duration: 5.4523 s, snr: 7.34
noise: Door_4464_1, start: 709.8866 s end: 716.4214 s, duration: 6.5349 s, snr: 0.99
noise: Street_137_0, start: 746.5593 s end: 757.0892 s, duration: 10.5300 s, snr: 5.20
noise: Computer_239_3, start: 784.5849 s end: 794.7534 s, duration: 10.1685 s, snr: 9.33
noise: Babble_164_0, start: 804.7642 s end: 825.2948 s, duration: 20.5306 s, snr: 19.66
noise: Tool_4072_3, start: 811.8291 s end: 816.3679 s, duration: 4.5388 s, snr: -1.00
noise: Computer_848_4, start: 819.9200 s end: 825.1002 s, duration: 5.1803 s, snr: 6.74
noise: Signalization_116_0, start: 824.9642 s end: 835.5043 s, duration: 10.5401 s, snr: 6.62
noise: Babble_202_0, start: 825.2950 s end: 855.8275 s, duration: 30.5325 s, snr: 9.96
noise: Computer_1055_1, start: 834.5201 s end: 845.3234 s, duration: 10.8034 s, snr: 11.49
noise: Drawer_108_0, start: 834.7410 s end: 839.1540 s, duration: 4.4130 s, snr: 9.28
noise: Computer_1123_2, start: 841.8335 s end: 850.5801 s, duration: 8.7466 s, snr: 4.30
noise: Telephone_598_3, start: 878.4924 s end: 884.7231 s, duration: 6.2307 s, snr: 4.56
noise: Telephone_365_3, start: 888.1967 s end: 891.5807 s, duration: 3.3840 s, snr: 6.10
noise: Door_1938_1, start: 892.0851 s end: 895.2326 s, duration: 3.1475 s, snr: 6.75
