IS1001b, length = 2116.86 s, percent_of_speech = 0.86, percent_of_noises = 0.60
noise: Knock_1287_0, start: 29.6854 s end: 35.1916 s, duration: 5.5063 s, snr: 7.85
noise: Computer_307_4, start: 56.0144 s end: 60.6315 s, duration: 4.6171 s, snr: 8.47
noise: Signalization_126_3, start: 58.1257 s end: 61.2872 s, duration: 3.1615 s, snr: 7.43
noise: Door_2532_3, start: 61.8954 s end: 65.1754 s, duration: 3.2800 s, snr: 1.55
noise: Tool_3135_3, start: 71.5482 s end: 74.7119 s, duration: 3.1638 s, snr: 4.06
noise: Street_152_1, start: 106.7594 s end: 114.3074 s, duration: 7.5480 s, snr: 5.97
noise: Knock_729_2, start: 128.2992 s end: 133.7322 s, duration: 5.4330 s, snr: 6.70
noise: Door_59_2, start: 144.2299 s end: 147.4882 s, duration: 3.2584 s, snr: 3.43
noise: Signalization_116_4, start: 145.0546 s end: 155.5871 s, duration: 10.5325 s, snr: 2.26
noise: Writing_104_4, start: 166.5810 s end: 194.1275 s, duration: 27.5465 s, snr: 2.27
noise: Babble_203_4, start: 183.6645 s end: 214.2096 s, duration: 30.5451 s, snr: 18.26
noise: Door_1337_2, start: 218.4334 s end: 221.7966 s, duration: 3.3632 s, snr: 6.72
noise: Babble_97_0, start: 227.8415 s end: 233.3740 s, duration: 5.5325 s, snr: 14.40
noise: Tool_3691_1, start: 260.9172 s end: 265.4496 s, duration: 4.5324 s, snr: 5.07
noise: Street_19_4, start: 279.3958 s end: 282.9362 s, duration: 3.5404 s, snr: 5.37
noise: Signalization_77_2, start: 288.6192 s end: 292.1517 s, duration: 3.5325 s, snr: 2.38
noise: Telephone_736_3, start: 301.2403 s end: 328.9141 s, duration: 27.6739 s, snr: 9.76
noise: Computer_962_1, start: 305.8114 s end: 309.0147 s, duration: 3.2032 s, snr: 8.11
noise: Knock_1837_4, start: 315.1470 s end: 318.9028 s, duration: 3.7558 s, snr: 1.68
noise: Door_2069_1, start: 328.4959 s end: 332.0104 s, duration: 3.5145 s, snr: 5.87
noise: Squeak_188_2, start: 332.1018 s end: 336.6803 s, duration: 4.5785 s, snr: 5.02
noise: Computer_574_3, start: 365.2655 s end: 370.0638 s, duration: 4.7983 s, snr: 5.41
noise: Knock_589_1, start: 372.5571 s end: 377.7391 s, duration: 5.1820 s, snr: 1.46
noise: Signalization_36_2, start: 393.2700 s end: 396.8154 s, duration: 3.5454 s, snr: 7.76
noise: Knock_1295_3, start: 393.8306 s end: 397.4646 s, duration: 3.6340 s, snr: -1.00
noise: Knock_640_2, start: 432.6000 s end: 435.7501 s, duration: 3.1501 s, snr: 1.05
noise: Telephone_45_0, start: 445.5367 s end: 449.0997 s, duration: 3.5630 s, snr: 10.44
noise: Computer_1097_4, start: 460.8736 s end: 469.2572 s, duration: 8.3836 s, snr: 6.05
