IN1013, length = 3142.30 s, percent_of_speech = 0.95, percent_of_noises = 0.59
noise: Scissors_2_2, start: 8.8379 s end: 13.2444 s, duration: 4.4065 s, snr: 6.51
noise: Squeak_197_1, start: 17.7886 s end: 24.0577 s, duration: 6.2691 s, snr: 5.62
noise: Squeak_273_1, start: 33.9836 s end: 44.9143 s, duration: 10.9308 s, snr: 6.03
noise: Drawer_85_4, start: 35.9589 s end: 39.5252 s, duration: 3.5663 s, snr: 4.41
noise: Door_4564_0, start: 44.3571 s end: 48.2306 s, duration: 3.8735 s, snr: 6.38
noise: Computer_930_4, start: 63.7453 s end: 68.4286 s, duration: 4.6833 s, snr: 7.50
noise: Tool_2779_4, start: 70.0807 s end: 74.6131 s, duration: 4.5324 s, snr: 10.14
noise: Computer_62_2, start: 91.1042 s end: 102.5904 s, duration: 11.4861 s, snr: 6.05
noise: Writing_68_0, start: 92.8586 s end: 96.0646 s, duration: 3.2060 s, snr: 7.41
noise: Writing_262_3, start: 98.4106 s end: 102.1051 s, duration: 3.6945 s, snr: 9.32
noise: Squeak_195_4, start: 113.3143 s end: 118.6805 s, duration: 5.3662 s, snr: 4.22
noise: Computer_201_1, start: 127.0792 s end: 130.6309 s, duration: 3.5517 s, snr: 4.03
noise: Knock_1586_4, start: 144.6662 s end: 148.0527 s, duration: 3.3865 s, snr: 10.36
noise: Drawer_74_0, start: 153.8998 s end: 171.3086 s, duration: 17.4089 s, snr: -1.00
noise: Squeak_19_2, start: 155.2322 s end: 166.1415 s, duration: 10.9093 s, snr: 7.00
noise: Drawer_154_2, start: 185.4843 s end: 191.8110 s, duration: 6.3268 s, snr: 3.57
noise: Telephone_392_4, start: 212.9335 s end: 223.8587 s, duration: 10.9252 s, snr: 4.19
noise: Street_105_4, start: 219.8094 s end: 225.3533 s, duration: 5.5439 s, snr: 5.19
noise: Gunshot_16_1, start: 221.2143 s end: 225.9993 s, duration: 4.7850 s, snr: 9.45
noise: Knock_131_1, start: 231.6737 s end: 235.4727 s, duration: 3.7990 s, snr: 11.39
noise: Tool_2781_2, start: 240.9829 s end: 245.5116 s, duration: 4.5286 s, snr: 9.69
noise: Telephone_732_3, start: 253.6942 s end: 281.3644 s, duration: 27.6703 s, snr: 5.09
noise: Drawer_153_4, start: 259.9903 s end: 263.7376 s, duration: 3.7474 s, snr: 4.55
noise: Drawer_88_4, start: 266.3500 s end: 270.6981 s, duration: 4.3481 s, snr: 5.21
noise: Drawer_98_2, start: 302.1096 s end: 307.7576 s, duration: 5.6480 s, snr: 9.81
noise: Computer_526_3, start: 327.5519 s end: 333.4509 s, duration: 5.8990 s, snr: 5.76
noise: Gunshot_48_0, start: 339.7841 s end: 342.9495 s, duration: 3.1654 s, snr: 1.32
noise: Telephone_466_0, start: 342.8001 s end: 346.3659 s, duration: 3.5659 s, snr: 1.30
noise: Computer_424_1, start: 351.6303 s end: 367.1572 s, duration: 15.5269 s, snr: 2.25
noise: Knock_441_3, start: 360.4762 s end: 363.6781 s, duration: 3.2019 s, snr: 7.18
noise: Scissors_63_3, start: 371.1769 s end: 375.0364 s, duration: 3.8595 s, snr: 3.31
noise: Knock_967_1, start: 372.5278 s end: 376.2789 s, duration: 3.7511 s, snr: 8.96
noise: Telephone_196_2, start: 380.1334 s end: 387.7022 s, duration: 7.5689 s, snr: 0.34
noise: Door_1964_3, start: 403.2499 s end: 406.8724 s, duration: 3.6225 s, snr: 2.08
noise: Door_5022_1, start: 418.9519 s end: 423.8047 s, duration: 4.8528 s, snr: 2.51
