IB4003, length = 2023.42 s, percent_of_speech = 0.93, percent_of_noises = 0.59
noise: Writing_245_3, start: 2.3756 s end: 8.6414 s, duration: 6.2659 s, snr: 8.10
noise: Telephone_291_3, start: 21.9217 s end: 37.6874 s, duration: 15.7656 s, snr: 1.15
noise: Door_2205_1, start: 22.2837 s end: 26.0937 s, duration: 3.8100 s, snr: 2.14
noise: Writing_0_4, start: 24.2090 s end: 28.7951 s, duration: 4.5861 s, snr: 5.18
noise: Squeak_93_0, start: 31.6382 s end: 35.6285 s, duration: 3.9903 s, snr: 4.11
noise: Computer_848_2, start: 59.3724 s end: 64.5539 s, duration: 5.1815 s, snr: 8.05
noise: Street_75_3, start: 66.0132 s end: 71.5414 s, duration: 5.5281 s, snr: -1.00
noise: Babble_25_1, start: 128.7356 s end: 144.2452 s, duration: 15.5096 s, snr: 12.41
noise: Gunshot_36_1, start: 173.3398 s end: 177.7572 s, duration: 4.4175 s, snr: 3.36
noise: Knock_529_3, start: 174.1132 s end: 183.1033 s, duration: 8.9901 s, snr: 4.27
noise: Drawer_21_3, start: 184.4998 s end: 188.2730 s, duration: 3.7732 s, snr: 1.49
noise: Tool_2834_1, start: 187.6124 s end: 190.7424 s, duration: 3.1300 s, snr: 6.75
noise: Computer_934_2, start: 222.5674 s end: 226.3331 s, duration: 3.7657 s, snr: 6.33
noise: Street_166_4, start: 234.3196 s end: 249.8521 s, duration: 15.5325 s, snr: 10.49
noise: Scissors_44_4, start: 245.7010 s end: 272.2281 s, duration: 26.5271 s, snr: 2.05
noise: Drawer_10_1, start: 257.9989 s end: 281.1878 s, duration: 23.1889 s, snr: -0.21
noise: Squeak_236_2, start: 263.3499 s end: 268.5444 s, duration: 5.1945 s, snr: 3.84
noise: Scissors_62_2, start: 282.6107 s end: 291.1769 s, duration: 8.5663 s, snr: 1.96
noise: Telephone_819_4, start: 307.1316 s end: 315.6493 s, duration: 8.5178 s, snr: 8.85
noise: Knock_1185_0, start: 313.3473 s end: 317.5901 s, duration: 4.2428 s, snr: 7.56
