TS3006c, length = 2584.23 s, percent_of_speech = 0.90, percent_of_noises = 0.53
noise: Scissors_76_3, start: 46.0562 s end: 56.8623 s, duration: 10.8060 s, snr: 0.81
noise: Telephone_700_4, start: 66.1651 s end: 70.0148 s, duration: 3.8498 s, snr: 2.90
noise: Street_48_3, start: 79.8090 s end: 83.3544 s, duration: 3.5454 s, snr: 3.06
noise: Computer_277_1, start: 80.5284 s end: 86.9094 s, duration: 6.3810 s, snr: 4.15
noise: Knock_1378_2, start: 81.5614 s end: 87.2671 s, duration: 5.7057 s, snr: 2.74
noise: Signalization_129_4, start: 107.8898 s end: 118.4324 s, duration: 10.5426 s, snr: 7.39
noise: Drawer_35_2, start: 110.2477 s end: 118.9160 s, duration: 8.6683 s, snr: 5.92
noise: Squeak_282_0, start: 135.1690 s end: 141.4580 s, duration: 6.2890 s, snr: 6.31
noise: Signalization_23_3, start: 162.8841 s end: 179.7299 s, duration: 16.8457 s, snr: 6.08
noise: Squeak_192_0, start: 166.7316 s end: 170.3394 s, duration: 3.6079 s, snr: 4.82
noise: Writing_61_3, start: 215.3559 s end: 233.5418 s, duration: 18.1859 s, snr: 5.99
noise: Knock_1581_0, start: 249.4963 s end: 254.7040 s, duration: 5.2078 s, snr: 6.03
noise: Signalization_126_0, start: 285.5890 s end: 288.7795 s, duration: 3.1905 s, snr: 6.29
noise: Computer_673_3, start: 302.8796 s end: 307.4679 s, duration: 4.5884 s, snr: 6.04
noise: Computer_1009_2, start: 313.7500 s end: 322.5569 s, duration: 8.8069 s, snr: 3.74
noise: Street_117_0, start: 314.0027 s end: 319.5289 s, duration: 5.5263 s, snr: 1.78
noise: Babble_53_0, start: 316.0118 s end: 321.5572 s, duration: 5.5454 s, snr: 14.64
noise: Computer_747_3, start: 329.8810 s end: 334.4534 s, duration: 4.5724 s, snr: 3.56
noise: Signalization_116_4, start: 348.6661 s end: 359.1986 s, duration: 10.5325 s, snr: -0.98
noise: Drawer_0_2, start: 349.9485 s end: 354.1680 s, duration: 4.2195 s, snr: 6.17
noise: Telephone_511_0, start: 373.9828 s end: 377.2094 s, duration: 3.2266 s, snr: 5.31
noise: Computer_416_4, start: 462.7599 s end: 479.6102 s, duration: 16.8503 s, snr: 5.79
noise: Computer_1244_4, start: 486.3144 s end: 494.5212 s, duration: 8.2067 s, snr: 8.25
noise: Scissors_14_0, start: 496.9156 s end: 520.7420 s, duration: 23.8264 s, snr: 0.40
noise: Scissors_94_3, start: 505.0528 s end: 508.0788 s, duration: 3.0260 s, snr: 4.30
noise: Scissors_15_2, start: 512.6816 s end: 520.6477 s, duration: 7.9661 s, snr: 3.84
noise: Computer_1196_4, start: 523.8581 s end: 529.2777 s, duration: 5.4196 s, snr: 12.25
noise: Gunshot_24_2, start: 524.6784 s end: 529.7584 s, duration: 5.0800 s, snr: 1.25
noise: Writing_156_4, start: 558.4640 s end: 586.3910 s, duration: 27.9270 s, snr: 8.31
noise: Squeak_140_2, start: 612.5946 s end: 616.4473 s, duration: 3.8527 s, snr: 6.01
