TS3012d, length = 2341.60 s, percent_of_speech = 0.80, percent_of_noises = 0.59
noise: Door_2260_3, start: 7.8347 s end: 11.2213 s, duration: 3.3866 s, snr: 6.74
noise: Writing_214_1, start: 21.5079 s end: 31.7131 s, duration: 10.2053 s, snr: -1.00
noise: Computer_797_1, start: 31.6533 s end: 34.7787 s, duration: 3.1254 s, snr: 9.29
noise: Computer_263_1, start: 34.9363 s end: 43.9206 s, duration: 8.9843 s, snr: 7.09
noise: Writing_185_0, start: 43.7521 s end: 49.8386 s, duration: 6.0865 s, snr: 2.22
noise: Telephone_203_3, start: 74.6239 s end: 96.5934 s, duration: 21.9695 s, snr: 6.00
noise: Street_45_2, start: 83.6105 s end: 87.1430 s, duration: 3.5325 s, snr: 6.12
noise: Computer_1260_1, start: 95.8892 s end: 101.8204 s, duration: 5.9312 s, snr: 4.47
noise: Street_88_1, start: 97.3131 s end: 102.8584 s, duration: 5.5454 s, snr: 0.85
noise: Door_909_4, start: 97.4848 s end: 100.8538 s, duration: 3.3690 s, snr: 8.03
noise: Door_4658_2, start: 109.4873 s end: 114.0386 s, duration: 4.5512 s, snr: 1.22
noise: Telephone_526_1, start: 118.4096 s end: 123.5064 s, duration: 5.0968 s, snr: 12.69
noise: Scissors_71_3, start: 135.8446 s end: 146.2307 s, duration: 10.3861 s, snr: 2.23
noise: Tool_3955_3, start: 155.0011 s end: 159.5274 s, duration: 4.5264 s, snr: 9.26
noise: Door_2170_0, start: 169.7629 s end: 172.9054 s, duration: 3.1425 s, snr: 8.57
noise: Babble_88_0, start: 180.4848 s end: 186.0173 s, duration: 5.5325 s, snr: 13.40
noise: Gunshot_103_0, start: 184.7594 s end: 188.7294 s, duration: 3.9700 s, snr: 3.04
noise: Gunshot_12_4, start: 232.1722 s end: 236.4012 s, duration: 4.2290 s, snr: 4.09
noise: Telephone_832_1, start: 276.8687 s end: 281.1152 s, duration: 4.2465 s, snr: 9.34
noise: Squeak_290_0, start: 303.7699 s end: 309.3386 s, duration: 5.5686 s, snr: 11.09
noise: Tool_3329_2, start: 310.9667 s end: 315.4938 s, duration: 4.5271 s, snr: 1.55
noise: Telephone_541_3, start: 313.5149 s end: 318.8429 s, duration: 5.3280 s, snr: 6.78
noise: Telephone_657_1, start: 314.5413 s end: 345.0853 s, duration: 30.5440 s, snr: 5.32
noise: Signalization_10_1, start: 336.6349 s end: 354.9072 s, duration: 18.2723 s, snr: 6.94
noise: Knock_724_0, start: 340.4026 s end: 343.6018 s, duration: 3.1993 s, snr: 2.41
noise: Gunshot_144_1, start: 356.1636 s end: 359.1744 s, duration: 3.0107 s, snr: 4.35
noise: Signalization_76_0, start: 365.4291 s end: 368.9616 s, duration: 3.5325 s, snr: 3.52
noise: Babble_109_3, start: 380.6944 s end: 386.2398 s, duration: 5.5454 s, snr: 9.89
noise: Squeak_115_1, start: 414.5089 s end: 418.2476 s, duration: 3.7388 s, snr: 11.33
noise: Telephone_488_0, start: 421.0343 s end: 434.6257 s, duration: 13.5914 s, snr: 9.89
noise: Writing_42_3, start: 428.3064 s end: 441.7116 s, duration: 13.4053 s, snr: 2.22
noise: Street_40_3, start: 432.0914 s end: 435.6239 s, duration: 3.5325 s, snr: 1.99
noise: Squeak_252_3, start: 469.0744 s end: 475.8259 s, duration: 6.7515 s, snr: 4.46
noise: Squeak_299_3, start: 487.3561 s end: 500.8826 s, duration: 13.5265 s, snr: 5.26
noise: Signalization_18_4, start: 491.9317 s end: 495.2738 s, duration: 3.3421 s, snr: 10.96
noise: Babble_122_0, start: 497.6479 s end: 508.1804 s, duration: 10.5325 s, snr: 13.93
noise: Telephone_769_4, start: 517.1523 s end: 521.0832 s, duration: 3.9309 s, snr: 6.21
noise: Writing_243_4, start: 524.1481 s end: 547.0341 s, duration: 22.8860 s, snr: 5.72
noise: Computer_483_0, start: 549.4853 s end: 557.5066 s, duration: 8.0213 s, snr: 6.69
noise: Door_1235_1, start: 568.8718 s end: 572.9425 s, duration: 4.0707 s, snr: 3.65
noise: Babble_163_3, start: 577.5411 s end: 595.4199 s, duration: 17.8788 s, snr: 16.86
noise: Babble_161_0, start: 577.6383 s end: 588.1808 s, duration: 10.5425 s, snr: 13.87
noise: Knock_1918_1, start: 592.6886 s end: 598.5853 s, duration: 5.8967 s, snr: 6.12
noise: Signalization_9_4, start: 637.8355 s end: 668.3809 s, duration: 30.5454 s, snr: 5.20
noise: Telephone_657_3, start: 651.3323 s end: 681.8657 s, duration: 30.5334 s, snr: 7.22
noise: Computer_411_1, start: 670.8310 s end: 695.4589 s, duration: 24.6279 s, snr: 8.28
noise: Computer_514_2, start: 673.3364 s end: 678.8791 s, duration: 5.5426 s, snr: 3.61
noise: Knock_1755_4, start: 673.7316 s end: 676.8753 s, duration: 3.1436 s, snr: 8.34
noise: Telephone_252_3, start: 690.9743 s end: 703.6722 s, duration: 12.6979 s, snr: 9.06
noise: Door_753_2, start: 706.3199 s end: 709.3206 s, duration: 3.0006 s, snr: 1.13
noise: Signalization_72_1, start: 758.4335 s end: 761.9789 s, duration: 3.5454 s, snr: -0.25
noise: Computer_530_2, start: 777.5311 s end: 783.5093 s, duration: 5.9783 s, snr: 2.39
noise: Street_68_2, start: 781.4971 s end: 785.0332 s, duration: 3.5361 s, snr: 4.80
noise: Computer_1061_2, start: 783.6184 s end: 794.8777 s, duration: 11.2592 s, snr: 6.77
noise: Door_2157_4, start: 801.1457 s end: 804.3242 s, duration: 3.1785 s, snr: 0.43
