IS1004b, length = 2181.80 s, percent_of_speech = 0.90, percent_of_noises = 0.48
noise: Squeak_197_2, start: 3.1892 s end: 9.4593 s, duration: 6.2701 s, snr: 3.37
noise: Tool_3978_0, start: 42.5659 s end: 47.0960 s, duration: 4.5301 s, snr: 6.88
noise: Computer_1146_0, start: 56.4444 s end: 64.8562 s, duration: 8.4118 s, snr: 6.20
noise: Gunshot_41_2, start: 85.8984 s end: 90.4271 s, duration: 4.5286 s, snr: 2.93
noise: Scissors_15_3, start: 92.6635 s end: 100.6295 s, duration: 7.9660 s, snr: 6.51
noise: Door_94_0, start: 98.2438 s end: 101.7970 s, duration: 3.5532 s, snr: 6.42
noise: Knock_1718_3, start: 153.7544 s end: 158.4926 s, duration: 4.7382 s, snr: 5.20
noise: Knock_961_0, start: 195.7759 s end: 199.4514 s, duration: 3.6755 s, snr: 2.09
noise: Knock_1097_0, start: 208.1097 s end: 216.8794 s, duration: 8.7697 s, snr: 8.83
noise: Street_38_0, start: 222.2256 s end: 225.7709 s, duration: 3.5454 s, snr: 3.46
noise: Babble_89_3, start: 259.7533 s end: 265.2869 s, duration: 5.5336 s, snr: 14.57
noise: Squeak_190_3, start: 267.5188 s end: 272.6869 s, duration: 5.1681 s, snr: 7.19
noise: Drawer_104_4, start: 270.5750 s end: 274.1115 s, duration: 3.5365 s, snr: 2.08
noise: Street_42_0, start: 293.1180 s end: 296.6536 s, duration: 3.5356 s, snr: 7.06
noise: Computer_832_4, start: 297.3056 s end: 300.4329 s, duration: 3.1273 s, snr: 5.50
noise: Door_4704_2, start: 311.0940 s end: 316.8435 s, duration: 5.7495 s, snr: 6.12
noise: Scissors_30_1, start: 312.1602 s end: 324.9467 s, duration: 12.7865 s, snr: 9.46
noise: Telephone_651_4, start: 321.6375 s end: 332.7582 s, duration: 11.1207 s, snr: 4.78
noise: Drawer_83_2, start: 331.4449 s end: 340.3334 s, duration: 8.8885 s, snr: 3.30
noise: Computer_314_2, start: 352.3355 s end: 356.8224 s, duration: 4.4869 s, snr: 1.01
noise: Drawer_150_2, start: 360.3621 s end: 364.2966 s, duration: 3.9345 s, snr: 4.57
noise: Babble_92_1, start: 384.5973 s end: 390.1427 s, duration: 5.5454 s, snr: 13.09
noise: Telephone_242_3, start: 396.4221 s end: 425.7835 s, duration: 29.3614 s, snr: 9.36
noise: Scissors_36_2, start: 403.1436 s end: 417.2696 s, duration: 14.1260 s, snr: 1.95
noise: Knock_1814_1, start: 408.1239 s end: 412.8263 s, duration: 4.7024 s, snr: 3.88
noise: Writing_147_0, start: 434.1335 s end: 443.6397 s, duration: 9.5062 s, snr: 5.12
noise: Telephone_641_2, start: 445.5516 s end: 456.1389 s, duration: 10.5872 s, snr: 7.99
noise: Gunshot_23_4, start: 466.8991 s end: 470.0841 s, duration: 3.1850 s, snr: 1.51
noise: Computer_397_2, start: 470.8931 s end: 493.7991 s, duration: 22.9060 s, snr: 4.74
noise: Street_138_0, start: 484.3504 s end: 494.8829 s, duration: 10.5325 s, snr: 5.69
noise: Door_857_4, start: 492.5784 s end: 496.6717 s, duration: 4.0933 s, snr: 4.42
noise: Scissors_6_3, start: 526.3842 s end: 546.2508 s, duration: 19.8665 s, snr: 3.67
noise: Writing_116_3, start: 543.6069 s end: 547.1342 s, duration: 3.5273 s, snr: 5.62
noise: Tool_3710_0, start: 546.0046 s end: 550.5438 s, duration: 4.5391 s, snr: 7.09
noise: Door_2389_1, start: 587.4507 s end: 591.1097 s, duration: 3.6590 s, snr: 5.34
noise: Writing_2_3, start: 587.5564 s end: 614.0223 s, duration: 26.4659 s, snr: 6.22
noise: Writing_11_1, start: 605.3466 s end: 610.5533 s, duration: 5.2067 s, snr: 3.01
noise: Door_2517_4, start: 635.8918 s end: 638.9118 s, duration: 3.0200 s, snr: 3.29
noise: Street_102_3, start: 638.3890 s end: 643.9215 s, duration: 5.5325 s, snr: 1.88
noise: Telephone_149_4, start: 657.2991 s end: 664.3457 s, duration: 7.0466 s, snr: 9.56
noise: Writing_34_0, start: 673.7293 s end: 678.1813 s, duration: 4.4520 s, snr: 4.79
noise: Computer_644_4, start: 686.0304 s end: 690.1418 s, duration: 4.1114 s, snr: 7.74
