EN2009c, length = 3099.99 s, percent_of_speech = 0.90, percent_of_noises = 0.56
noise: Computer_1276_4, start: 6.8452 s end: 14.2219 s, duration: 7.3767 s, snr: 1.46
noise: Writing_134_3, start: 22.3966 s end: 25.8946 s, duration: 3.4980 s, snr: 1.37
noise: Drawer_144_3, start: 51.9786 s end: 57.9556 s, duration: 5.9770 s, snr: 6.07
noise: Knock_375_1, start: 57.1856 s end: 60.9994 s, duration: 3.8137 s, snr: 7.52
noise: Street_21_3, start: 60.6908 s end: 64.2232 s, duration: 3.5325 s, snr: 6.28
noise: Gunshot_102_1, start: 66.1873 s end: 70.1184 s, duration: 3.9311 s, snr: 8.50
noise: Computer_1208_3, start: 102.2619 s end: 106.0460 s, duration: 3.7841 s, snr: 4.78
noise: Squeak_265_2, start: 129.6837 s end: 133.6106 s, duration: 3.9269 s, snr: 2.94
noise: Babble_99_4, start: 134.8941 s end: 140.4395 s, duration: 5.5454 s, snr: 12.83
noise: Computer_525_2, start: 200.4411 s end: 206.4468 s, duration: 6.0058 s, snr: 5.71
noise: Scissors_5_3, start: 246.8448 s end: 259.7708 s, duration: 12.9260 s, snr: 3.55
noise: Knock_708_0, start: 256.6366 s end: 261.8244 s, duration: 5.1877 s, snr: 6.94
noise: Street_7_2, start: 267.4600 s end: 298.0054 s, duration: 30.5454 s, snr: 5.18
noise: Telephone_358_0, start: 270.5136 s end: 274.2119 s, duration: 3.6983 s, snr: 10.25
noise: Writing_52_2, start: 282.3816 s end: 293.8681 s, duration: 11.4865 s, snr: 1.96
noise: Scissors_78_3, start: 307.5799 s end: 336.4861 s, duration: 28.9061 s, snr: 8.18
noise: Gunshot_131_2, start: 313.7151 s end: 337.5804 s, duration: 23.8654 s, snr: -1.00
noise: Door_1748_0, start: 328.8264 s end: 332.7793 s, duration: 3.9529 s, snr: 5.53
noise: Door_398_4, start: 333.8166 s end: 340.3868 s, duration: 6.5701 s, snr: 9.57
noise: Door_2451_2, start: 347.0079 s end: 350.4904 s, duration: 3.4825 s, snr: 6.48
noise: Tool_3414_0, start: 347.2517 s end: 351.7964 s, duration: 4.5448 s, snr: 7.54
noise: Computer_517_1, start: 370.9439 s end: 376.2163 s, duration: 5.2724 s, snr: 8.24
noise: Drawer_38_4, start: 373.0049 s end: 386.9543 s, duration: 13.9494 s, snr: 3.33
noise: Tool_3297_3, start: 375.1433 s end: 379.6757 s, duration: 4.5324 s, snr: 7.06
noise: Computer_667_4, start: 379.7254 s end: 385.6399 s, duration: 5.9145 s, snr: 10.06
noise: Drawer_2_3, start: 382.6781 s end: 387.8285 s, duration: 5.1504 s, snr: 7.91
noise: Telephone_16_1, start: 392.5158 s end: 421.3301 s, duration: 28.8144 s, snr: 4.61
noise: Street_97_0, start: 393.3929 s end: 398.9248 s, duration: 5.5319 s, snr: 7.27
noise: Door_861_2, start: 402.2415 s end: 405.5793 s, duration: 3.3378 s, snr: 0.69
noise: Writing_146_2, start: 402.9590 s end: 422.4454 s, duration: 19.4864 s, snr: 5.17
noise: Computer_1153_4, start: 428.1299 s end: 435.0213 s, duration: 6.8914 s, snr: 2.23
noise: Scissors_78_0, start: 446.3617 s end: 475.2683 s, duration: 28.9066 s, snr: 0.74
noise: Tool_2568_3, start: 447.3851 s end: 451.9161 s, duration: 4.5310 s, snr: 6.40
noise: Babble_106_0, start: 461.3673 s end: 466.8997 s, duration: 5.5325 s, snr: 11.20
noise: Knock_230_2, start: 505.7451 s end: 512.8174 s, duration: 7.0724 s, snr: 5.29
noise: Door_2145_2, start: 565.9173 s end: 569.7403 s, duration: 3.8230 s, snr: 9.86
noise: Door_1823_0, start: 580.8544 s end: 584.2814 s, duration: 3.4270 s, snr: 3.56
noise: Gunshot_136_0, start: 620.6332 s end: 632.7908 s, duration: 12.1575 s, snr: 4.56
