ES2003b, length = 2109.81 s, percent_of_speech = 0.91, percent_of_noises = 0.45
noise: Telephone_768_1, start: 0.2032 s end: 4.2402 s, duration: 4.0370 s, snr: 5.97
noise: Writing_257_3, start: 22.5170 s end: 29.7231 s, duration: 7.2061 s, snr: 5.24
noise: Computer_509_3, start: 47.3867 s end: 52.9634 s, duration: 5.5766 s, snr: 3.61
noise: Door_212_0, start: 54.7801 s end: 59.3766 s, duration: 4.5965 s, snr: 9.19
noise: Scissors_72_0, start: 62.1317 s end: 77.7578 s, duration: 15.6261 s, snr: 3.88
noise: Door_1239_0, start: 207.4797 s end: 212.2762 s, duration: 4.7965 s, snr: 5.17
noise: Telephone_661_2, start: 222.6431 s end: 248.7453 s, duration: 26.1022 s, snr: 5.49
noise: Door_4317_4, start: 240.3678 s end: 244.3523 s, duration: 3.9845 s, snr: 9.22
noise: Squeak_71_1, start: 337.4213 s end: 365.5539 s, duration: 28.1326 s, snr: 9.12
noise: Computer_208_2, start: 343.6552 s end: 347.8381 s, duration: 4.1829 s, snr: 4.32
noise: Knock_1014_0, start: 346.1691 s end: 351.2812 s, duration: 5.1121 s, snr: 3.69
noise: Writing_69_0, start: 367.1632 s end: 389.5698 s, duration: 22.4066 s, snr: 6.89
noise: Tool_4183_2, start: 398.7989 s end: 406.6202 s, duration: 7.8214 s, snr: 10.15
noise: Signalization_46_2, start: 401.6147 s end: 405.1533 s, duration: 3.5386 s, snr: 7.03
noise: Gunshot_66_2, start: 407.0458 s end: 413.8611 s, duration: 6.8152 s, snr: 6.72
noise: Telephone_767_4, start: 416.4461 s end: 420.7077 s, duration: 4.2616 s, snr: 8.53
noise: Computer_323_0, start: 469.0005 s end: 473.2555 s, duration: 4.2550 s, snr: 3.51
noise: Computer_30_4, start: 472.2648 s end: 495.5109 s, duration: 23.2461 s, snr: 0.48
noise: Computer_919_2, start: 472.7532 s end: 476.9995 s, duration: 4.2463 s, snr: 7.38
noise: Knock_303_1, start: 475.2444 s end: 481.9198 s, duration: 6.6754 s, snr: 3.69
noise: Tool_3015_3, start: 476.2086 s end: 480.7402 s, duration: 4.5316 s, snr: 5.97
noise: Babble_167_4, start: 526.0856 s end: 546.6258 s, duration: 20.5403 s, snr: 13.53
