IS1006b, length = 2160.30 s, percent_of_speech = 0.88, percent_of_noises = 0.52
noise: Computer_938_3, start: 20.0295 s end: 23.7290 s, duration: 3.6995 s, snr: 2.93
noise: Signalization_105_2, start: 26.1498 s end: 29.5634 s, duration: 3.4136 s, snr: 6.90
noise: Computer_709_4, start: 31.2866 s end: 34.4696 s, duration: 3.1830 s, snr: 3.46
noise: Tool_4159_4, start: 33.1987 s end: 37.7272 s, duration: 4.5285 s, snr: 9.74
noise: Squeak_240_4, start: 36.6699 s end: 49.9778 s, duration: 13.3079 s, snr: 2.76
noise: Squeak_104_2, start: 52.9753 s end: 57.9533 s, duration: 4.9780 s, snr: 1.98
noise: Telephone_577_1, start: 54.5373 s end: 74.0623 s, duration: 19.5250 s, snr: 4.35
noise: Drawer_32_4, start: 58.9605 s end: 63.7335 s, duration: 4.7730 s, snr: 6.01
noise: Scissors_86_3, start: 66.3773 s end: 76.0832 s, duration: 9.7059 s, snr: 2.30
noise: Signalization_66_1, start: 70.0168 s end: 73.5493 s, duration: 3.5325 s, snr: 9.65
noise: Computer_1160_4, start: 75.4912 s end: 79.0166 s, duration: 3.5254 s, snr: 5.31
noise: Street_156_4, start: 103.4809 s end: 119.0263 s, duration: 15.5454 s, snr: 3.03
noise: Squeak_57_2, start: 104.0438 s end: 128.2706 s, duration: 24.2268 s, snr: 4.87
noise: Computer_401_0, start: 129.9161 s end: 154.4781 s, duration: 24.5620 s, snr: 4.43
noise: Telephone_516_4, start: 137.6874 s end: 140.9028 s, duration: 3.2154 s, snr: -1.00
noise: Squeak_227_0, start: 138.2777 s end: 146.7841 s, duration: 8.5064 s, snr: 10.17
noise: Drawer_112_2, start: 139.0283 s end: 150.2758 s, duration: 11.2475 s, snr: 8.58
noise: Computer_1239_4, start: 147.6226 s end: 156.0091 s, duration: 8.3865 s, snr: 6.69
noise: Knock_1898_1, start: 154.9123 s end: 163.0743 s, duration: 8.1620 s, snr: 5.77
noise: Street_30_2, start: 165.9892 s end: 169.5217 s, duration: 3.5325 s, snr: 4.74
noise: Drawer_15_1, start: 181.4129 s end: 185.6282 s, duration: 4.2152 s, snr: 3.34
noise: Squeak_242_2, start: 183.8882 s end: 192.9158 s, duration: 9.0276 s, snr: 5.06
noise: Babble_77_4, start: 202.2109 s end: 207.7434 s, duration: 5.5325 s, snr: 11.55
noise: Babble_195_4, start: 213.9568 s end: 244.4893 s, duration: 30.5325 s, snr: 15.03
noise: Computer_965_2, start: 301.7717 s end: 305.2067 s, duration: 3.4350 s, snr: 2.03
noise: Writing_112_3, start: 318.9646 s end: 332.4108 s, duration: 13.4461 s, snr: 4.69
noise: Computer_710_4, start: 343.6849 s end: 346.8363 s, duration: 3.1514 s, snr: 3.88
noise: Squeak_279_3, start: 398.6589 s end: 403.7167 s, duration: 5.0577 s, snr: 2.08
noise: Babble_62_1, start: 420.4937 s end: 426.0263 s, duration: 5.5325 s, snr: 13.21
noise: Squeak_228_2, start: 443.0318 s end: 448.0966 s, duration: 5.0648 s, snr: 11.77
noise: Babble_164_4, start: 445.2179 s end: 465.7507 s, duration: 20.5328 s, snr: 17.07
noise: Drawer_36_0, start: 473.1384 s end: 485.8261 s, duration: 12.6876 s, snr: 4.63
noise: Telephone_510_1, start: 517.0697 s end: 520.2856 s, duration: 3.2159 s, snr: 5.52
noise: Telephone_778_2, start: 524.5217 s end: 528.7121 s, duration: 4.1904 s, snr: 6.70
noise: Telephone_274_2, start: 546.0267 s end: 564.5615 s, duration: 18.5348 s, snr: 0.13
noise: Door_4388_2, start: 578.3334 s end: 581.4189 s, duration: 3.0855 s, snr: 2.10
noise: Computer_7_4, start: 579.7254 s end: 582.8577 s, duration: 3.1322 s, snr: 0.23
noise: Squeak_159_2, start: 607.2647 s end: 611.0774 s, duration: 3.8127 s, snr: 2.95
noise: Door_765_0, start: 612.7944 s end: 616.6767 s, duration: 3.8822 s, snr: 4.70
noise: Telephone_100_1, start: 615.5395 s end: 620.0919 s, duration: 4.5524 s, snr: 4.58
noise: Writing_250_2, start: 617.2347 s end: 622.9674 s, duration: 5.7328 s, snr: 6.15
noise: Scissors_26_4, start: 684.2814 s end: 697.8674 s, duration: 13.5860 s, snr: 2.66
noise: Scissors_15_3, start: 709.2542 s end: 717.2202 s, duration: 7.9660 s, snr: 10.06
noise: Door_2374_2, start: 773.7286 s end: 777.2161 s, duration: 3.4875 s, snr: -0.59
noise: Writing_242_0, start: 776.4813 s end: 779.6208 s, duration: 3.1395 s, snr: 0.61
noise: Street_130_4, start: 802.5336 s end: 813.0636 s, duration: 10.5300 s, snr: 10.29
noise: Computer_27_3, start: 824.3985 s end: 833.6247 s, duration: 9.2262 s, snr: 2.49
noise: Computer_468_3, start: 885.2038 s end: 895.7135 s, duration: 10.5097 s, snr: 5.70
noise: Street_115_1, start: 904.9136 s end: 910.4461 s, duration: 5.5325 s, snr: 3.58
noise: Signalization_50_3, start: 909.2879 s end: 912.8204 s, duration: 3.5325 s, snr: 3.21
noise: Door_825_4, start: 919.2383 s end: 924.4141 s, duration: 5.1757 s, snr: 8.41
noise: Writing_55_1, start: 920.1653 s end: 935.7321 s, duration: 15.5669 s, snr: 4.41
noise: Knock_228_1, start: 929.6112 s end: 932.7378 s, duration: 3.1266 s, snr: 5.43
noise: Computer_790_3, start: 951.7216 s end: 957.4616 s, duration: 5.7400 s, snr: 8.97
noise: Door_1489_2, start: 966.6648 s end: 970.5118 s, duration: 3.8470 s, snr: 11.95
noise: Computer_298_3, start: 985.7256 s end: 991.5115 s, duration: 5.7859 s, snr: 5.39
noise: Drawer_101_4, start: 999.1832 s end: 1007.7108 s, duration: 8.5276 s, snr: 4.66
noise: Computer_291_0, start: 1007.5869 s end: 1012.0662 s, duration: 4.4794 s, snr: 1.65
noise: Telephone_258_2, start: 1027.9079 s end: 1040.6050 s, duration: 12.6971 s, snr: 4.73
noise: Gunshot_55_0, start: 1031.0970 s end: 1035.9620 s, duration: 4.8650 s, snr: 6.78
noise: Scissors_1_0, start: 1043.9807 s end: 1062.6273 s, duration: 18.6465 s, snr: 5.31
noise: Squeak_116_2, start: 1050.7867 s end: 1055.2578 s, duration: 4.4711 s, snr: 1.91
noise: Gunshot_117_4, start: 1068.7052 s end: 1082.5577 s, duration: 13.8525 s, snr: 0.56
noise: Scissors_69_2, start: 1080.4208 s end: 1086.9073 s, duration: 6.4865 s, snr: 5.61
