IS1008c, length = 1546.41 s, percent_of_speech = 0.86, percent_of_noises = 0.43
noise: Writing_101_1, start: 2.8670 s end: 31.5930 s, duration: 28.7260 s, snr: 0.87
noise: Computer_567_0, start: 6.0596 s end: 10.5664 s, duration: 4.5069 s, snr: 8.15
noise: Computer_434_2, start: 16.4901 s end: 32.0166 s, duration: 15.5265 s, snr: 8.47
noise: Street_2_0, start: 52.8603 s end: 83.3928 s, duration: 30.5325 s, snr: 5.33
noise: Telephone_798_2, start: 74.8424 s end: 84.3059 s, duration: 9.4635 s, snr: 6.01
noise: Computer_164_3, start: 82.8734 s end: 88.8303 s, duration: 5.9569 s, snr: 2.72
noise: Computer_577_0, start: 103.9717 s end: 108.9781 s, duration: 5.0064 s, snr: 5.57
noise: Gunshot_128_4, start: 108.1914 s end: 129.8021 s, duration: 21.6106 s, snr: 8.03
noise: Gunshot_105_2, start: 148.2476 s end: 151.4771 s, duration: 3.2295 s, snr: 1.66
noise: Telephone_792_0, start: 164.0442 s end: 170.7531 s, duration: 6.7089 s, snr: 6.98
noise: Telephone_514_3, start: 172.9701 s end: 176.1867 s, duration: 3.2166 s, snr: 4.51
noise: Telephone_790_1, start: 192.4449 s end: 196.4006 s, duration: 3.9556 s, snr: 7.96
noise: Street_59_4, start: 201.0511 s end: 204.5836 s, duration: 3.5325 s, snr: 4.34
noise: Drawer_6_0, start: 229.7121 s end: 233.3946 s, duration: 3.6825 s, snr: 7.29
noise: Door_1993_4, start: 268.2497 s end: 272.1703 s, duration: 3.9206 s, snr: 4.22
noise: Computer_1190_2, start: 286.8209 s end: 291.5698 s, duration: 4.7489 s, snr: -1.00
noise: Knock_933_3, start: 296.2466 s end: 300.6371 s, duration: 4.3905 s, snr: 5.31
noise: Drawer_104_3, start: 299.4158 s end: 302.9533 s, duration: 3.5375 s, snr: 3.57
noise: Knock_1104_0, start: 314.3694 s end: 323.6547 s, duration: 9.2854 s, snr: 0.99
noise: Computer_65_1, start: 359.8221 s end: 363.6284 s, duration: 3.8064 s, snr: 2.29
noise: Telephone_611_2, start: 364.4149 s end: 375.0528 s, duration: 10.6379 s, snr: 3.09
noise: Computer_1270_2, start: 370.9346 s end: 380.1776 s, duration: 9.2430 s, snr: 3.21
noise: Telephone_693_4, start: 372.3196 s end: 376.9847 s, duration: 4.6651 s, snr: 5.96
noise: Squeak_83_0, start: 383.2251 s end: 391.3573 s, duration: 8.1321 s, snr: 4.85
noise: Computer_584_3, start: 396.1890 s end: 400.8765 s, duration: 4.6875 s, snr: 6.83
noise: Scissors_19_1, start: 413.8394 s end: 424.3056 s, duration: 10.4661 s, snr: 2.42
noise: Telephone_762_4, start: 452.3457 s end: 464.2981 s, duration: 11.9524 s, snr: 4.98
