ES2002a, length = 1272.64 s, percent_of_speech = 0.68, percent_of_noises = 0.58
noise: Computer_259_1, start: 0.1143 s end: 9.3669 s, duration: 9.2526 s, snr: 5.61
noise: Babble_21_3, start: 15.7822 s end: 76.3276 s, duration: 60.5454 s, snr: 7.87
noise: Drawer_104_1, start: 19.3204 s end: 22.8542 s, duration: 3.5337 s, snr: 5.84
noise: Telephone_594_3, start: 49.6479 s end: 55.3695 s, duration: 5.7216 s, snr: 2.56
noise: Gunshot_45_1, start: 67.0960 s end: 70.1805 s, duration: 3.0845 s, snr: 5.28
noise: Gunshot_47_3, start: 70.8031 s end: 73.8631 s, duration: 3.0600 s, snr: 8.29
noise: Computer_829_3, start: 77.6101 s end: 83.2646 s, duration: 5.6545 s, snr: 5.68
noise: Door_1489_2, start: 88.6372 s end: 92.4842 s, duration: 3.8470 s, snr: 6.80
noise: Telephone_386_4, start: 93.6519 s end: 103.6465 s, duration: 9.9946 s, snr: 7.33
noise: Writing_235_1, start: 96.6132 s end: 109.8792 s, duration: 13.2660 s, snr: 4.36
noise: Computer_1234_4, start: 120.8707 s end: 131.3567 s, duration: 10.4860 s, snr: 5.90
noise: Computer_82_3, start: 138.5900 s end: 146.0161 s, duration: 7.4261 s, snr: 3.79
noise: Street_106_4, start: 154.9446 s end: 160.4899 s, duration: 5.5454 s, snr: 5.49
noise: Drawer_47_1, start: 155.8581 s end: 162.9059 s, duration: 7.0479 s, snr: 3.80
noise: Telephone_676_2, start: 156.3473 s end: 161.1755 s, duration: 4.8282 s, snr: 4.48
noise: Knock_426_1, start: 166.2973 s end: 170.9616 s, duration: 4.6643 s, snr: 2.58
noise: Telephone_186_2, start: 168.6269 s end: 176.1936 s, duration: 7.5666 s, snr: 5.38
noise: Knock_216_1, start: 172.7773 s end: 178.4330 s, duration: 5.6557 s, snr: 3.86
noise: Drawer_100_1, start: 211.8859 s end: 236.7934 s, duration: 24.9075 s, snr: 9.81
noise: Computer_541_1, start: 256.7125 s end: 262.7337 s, duration: 6.0213 s, snr: 2.62
noise: Squeak_243_2, start: 270.8213 s end: 279.4935 s, duration: 8.6722 s, snr: 5.50
noise: Squeak_141_2, start: 313.2950 s end: 326.8484 s, duration: 13.5534 s, snr: 5.76
noise: Scissors_26_3, start: 332.6263 s end: 346.2124 s, duration: 13.5861 s, snr: 3.88
noise: Computer_1079_3, start: 333.9256 s end: 342.7069 s, duration: 8.7814 s, snr: 4.70
noise: Telephone_733_4, start: 343.8446 s end: 369.5998 s, duration: 25.7552 s, snr: 2.99
noise: Telephone_548_3, start: 373.7544 s end: 381.8447 s, duration: 8.0903 s, snr: 6.15
noise: Squeak_0_2, start: 387.2472 s end: 394.0367 s, duration: 6.7895 s, snr: 7.52
noise: Scissors_70_0, start: 408.6712 s end: 414.1273 s, duration: 5.4560 s, snr: 6.11
noise: Street_163_1, start: 450.6999 s end: 466.2452 s, duration: 15.5454 s, snr: 1.80
noise: Telephone_151_2, start: 497.9018 s end: 504.9487 s, duration: 7.0469 s, snr: 1.74
noise: Telephone_70_1, start: 510.5031 s end: 514.4374 s, duration: 3.9342 s, snr: 5.99
noise: Knock_457_3, start: 528.6520 s end: 533.9560 s, duration: 5.3040 s, snr: 6.09
noise: Knock_112_4, start: 545.3139 s end: 553.1723 s, duration: 7.8584 s, snr: 2.57
noise: Door_4550_0, start: 587.4115 s end: 591.8315 s, duration: 4.4200 s, snr: 2.35
noise: Babble_87_4, start: 593.2302 s end: 598.7592 s, duration: 5.5290 s, snr: 8.78
noise: Squeak_286_1, start: 604.5612 s end: 609.3731 s, duration: 4.8119 s, snr: 4.69
noise: Knock_1829_1, start: 608.0441 s end: 612.5707 s, duration: 4.5266 s, snr: 11.12
noise: Gunshot_12_3, start: 616.2459 s end: 620.4913 s, duration: 4.2454 s, snr: -1.00
