IB4010, length = 2960.64 s, percent_of_speech = 0.91, percent_of_noises = 0.61
noise: Drawer_111_1, start: 0.4036 s end: 5.3125 s, duration: 4.9089 s, snr: 13.95
noise: Squeak_39_1, start: 15.6139 s end: 20.0738 s, duration: 4.4599 s, snr: 8.11
noise: Street_145_2, start: 16.1711 s end: 26.7161 s, duration: 10.5450 s, snr: 4.90
noise: Knock_489_3, start: 25.9355 s end: 30.3265 s, duration: 4.3910 s, snr: 5.12
noise: Computer_1060_2, start: 33.0734 s end: 42.3615 s, duration: 9.2881 s, snr: 1.29
noise: Door_792_3, start: 38.8053 s end: 43.4546 s, duration: 4.6493 s, snr: 0.64
noise: Scissors_42_0, start: 68.9224 s end: 72.5544 s, duration: 3.6320 s, snr: 2.62
noise: Signalization_82_2, start: 80.4335 s end: 85.9601 s, duration: 5.5266 s, snr: 9.10
noise: Telephone_464_0, start: 82.2604 s end: 85.5662 s, duration: 3.3059 s, snr: 8.92
noise: Knock_520_3, start: 90.6363 s end: 97.9705 s, duration: 7.3342 s, snr: -1.00
noise: Telephone_719_3, start: 106.7742 s end: 134.4506 s, duration: 27.6764 s, snr: 6.10
noise: Writing_229_3, start: 121.8712 s end: 130.7574 s, duration: 8.8863 s, snr: 4.76
noise: Street_114_0, start: 123.9795 s end: 129.5249 s, duration: 5.5454 s, snr: 4.75
noise: Gunshot_62_4, start: 123.9917 s end: 137.6692 s, duration: 13.6775 s, snr: 9.01
noise: Door_4307_2, start: 125.7597 s end: 130.1353 s, duration: 4.3756 s, snr: 7.94
noise: Writing_4_1, start: 127.4598 s end: 130.5462 s, duration: 3.0864 s, snr: 7.64
noise: Drawer_15_4, start: 137.4806 s end: 141.6998 s, duration: 4.2193 s, snr: -0.67
noise: Door_4794_4, start: 160.8751 s end: 164.8433 s, duration: 3.9682 s, snr: 10.69
noise: Telephone_344_4, start: 167.0145 s end: 170.7173 s, duration: 3.7028 s, snr: 1.58
noise: Door_104_1, start: 167.4933 s end: 171.0477 s, duration: 3.5544 s, snr: 4.40
noise: Squeak_144_3, start: 189.0005 s end: 192.7802 s, duration: 3.7798 s, snr: -1.00
noise: Telephone_87_3, start: 238.6151 s end: 247.1521 s, duration: 8.5370 s, snr: 3.64
noise: Computer_203_1, start: 241.8604 s end: 245.4007 s, duration: 3.5403 s, snr: 3.80
noise: Computer_977_1, start: 249.5377 s end: 252.8127 s, duration: 3.2750 s, snr: 3.33
noise: Writing_178_3, start: 254.9179 s end: 258.1441 s, duration: 3.2262 s, snr: 0.13
noise: Signalization_55_0, start: 273.6338 s end: 277.1626 s, duration: 3.5288 s, snr: 3.44
noise: Tool_3924_3, start: 332.6924 s end: 337.2231 s, duration: 4.5307 s, snr: 9.84
noise: Computer_425_4, start: 339.5921 s end: 360.7511 s, duration: 21.1590 s, snr: 2.95
noise: Door_4328_4, start: 344.0276 s end: 349.7148 s, duration: 5.6873 s, snr: 4.34
noise: Computer_1045_2, start: 353.1361 s end: 362.6839 s, duration: 9.5479 s, snr: 1.08
noise: Drawer_152_0, start: 363.7984 s end: 367.5819 s, duration: 3.7835 s, snr: 4.72
noise: Computer_759_2, start: 367.6683 s end: 373.6671 s, duration: 5.9987 s, snr: 2.23
noise: Telephone_814_2, start: 377.2109 s end: 385.9943 s, duration: 8.7834 s, snr: 2.37
noise: Squeak_246_0, start: 387.5221 s end: 391.9306 s, duration: 4.4085 s, snr: 9.03
noise: Writing_245_4, start: 394.9201 s end: 401.1866 s, duration: 6.2665 s, snr: 5.13
noise: Knock_1563_2, start: 422.6976 s end: 427.1851 s, duration: 4.4875 s, snr: 10.88
noise: Babble_66_3, start: 425.0159 s end: 430.5443 s, duration: 5.5284 s, snr: 10.54
noise: Knock_623_3, start: 445.8862 s end: 449.5749 s, duration: 3.6887 s, snr: 12.74
noise: Scissors_24_3, start: 447.2032 s end: 473.5101 s, duration: 26.3069 s, snr: 4.03
noise: Squeak_279_0, start: 447.6423 s end: 452.7071 s, duration: 5.0648 s, snr: 6.42
