EN2001a, length = 5250.25 s, percent_of_speech = 0.88, percent_of_noises = 0.42
noise: Knock_1855_0, start: 19.2936 s end: 22.9978 s, duration: 3.7042 s, snr: 1.36
noise: Computer_189_3, start: 22.1364 s end: 27.7570 s, duration: 5.6206 s, snr: 4.95
noise: Signalization_118_3, start: 30.2369 s end: 40.7694 s, duration: 10.5325 s, snr: 2.16
noise: Street_21_2, start: 97.5076 s end: 101.0476 s, duration: 3.5400 s, snr: 3.41
noise: Knock_1376_1, start: 114.7551 s end: 119.3791 s, duration: 4.6240 s, snr: 0.86
noise: Knock_1184_4, start: 117.3331 s end: 120.6346 s, duration: 3.3015 s, snr: 4.80
noise: Gunshot_81_0, start: 153.1157 s end: 157.1117 s, duration: 3.9960 s, snr: 8.55
noise: Writing_252_1, start: 192.4301 s end: 199.1765 s, duration: 6.7464 s, snr: 8.87
noise: Door_1871_3, start: 212.8696 s end: 216.1151 s, duration: 3.2455 s, snr: 3.22
noise: Telephone_158_2, start: 216.4517 s end: 234.9649 s, duration: 18.5132 s, snr: 5.13
noise: Writing_251_1, start: 224.6330 s end: 228.9796 s, duration: 4.3466 s, snr: 5.79
noise: Signalization_132_2, start: 265.0007 s end: 275.5461 s, duration: 10.5454 s, snr: 5.16
noise: Knock_1050_2, start: 278.0242 s end: 287.4409 s, duration: 9.4166 s, snr: 9.01
noise: Signalization_154_1, start: 279.6388 s end: 284.2245 s, duration: 4.5857 s, snr: 4.67
noise: Street_6_0, start: 303.9437 s end: 317.9293 s, duration: 13.9856 s, snr: 3.50
noise: Telephone_32_2, start: 323.1012 s end: 328.2099 s, duration: 5.1088 s, snr: 5.82
noise: Telephone_495_3, start: 438.2514 s end: 450.9669 s, duration: 12.7155 s, snr: 5.62
noise: Drawer_54_3, start: 519.7068 s end: 522.9240 s, duration: 3.2172 s, snr: 2.56
noise: Writing_64_4, start: 531.5681 s end: 544.6748 s, duration: 13.1068 s, snr: 5.80
noise: Writing_72_0, start: 549.3615 s end: 555.1675 s, duration: 5.8060 s, snr: 5.99
noise: Door_768_4, start: 578.4003 s end: 583.0380 s, duration: 4.6377 s, snr: 6.56
noise: Telephone_501_3, start: 604.7415 s end: 607.9619 s, duration: 3.2204 s, snr: 4.59
noise: Telephone_601_2, start: 620.5915 s end: 626.5003 s, duration: 5.9088 s, snr: 4.66
noise: Squeak_58_0, start: 630.1440 s end: 640.3354 s, duration: 10.1914 s, snr: 3.11
noise: Computer_202_1, start: 646.7236 s end: 650.6018 s, duration: 3.8781 s, snr: 5.46
noise: Door_1053_4, start: 663.0119 s end: 667.2294 s, duration: 4.2175 s, snr: 8.42
noise: Telephone_39_4, start: 679.8186 s end: 701.6889 s, duration: 21.8704 s, snr: 2.38
noise: Computer_540_4, start: 718.6656 s end: 723.6663 s, duration: 5.0008 s, snr: 3.42
noise: Drawer_68_0, start: 719.3625 s end: 735.4695 s, duration: 16.1070 s, snr: 9.11
noise: Telephone_48_0, start: 728.2541 s end: 731.3101 s, duration: 3.0560 s, snr: 3.82
noise: Gunshot_78_3, start: 729.9526 s end: 751.6379 s, duration: 21.6854 s, snr: 2.81
noise: Knock_768_2, start: 742.5883 s end: 746.9969 s, duration: 4.4086 s, snr: 6.46
noise: Knock_410_3, start: 767.3400 s end: 772.5729 s, duration: 5.2329 s, snr: 2.22
noise: Gunshot_114_0, start: 851.8115 s end: 855.0222 s, duration: 3.2107 s, snr: 1.30
noise: Drawer_82_0, start: 855.7905 s end: 858.8060 s, duration: 3.0155 s, snr: 6.44
noise: Computer_69_2, start: 859.2219 s end: 871.2679 s, duration: 12.0460 s, snr: 2.61
noise: Computer_572_3, start: 873.7438 s end: 879.7312 s, duration: 5.9874 s, snr: 4.47
noise: Gunshot_15_4, start: 937.8477 s end: 942.0184 s, duration: 4.1707 s, snr: 2.25
noise: Computer_1148_4, start: 940.7914 s end: 950.9713 s, duration: 10.1799 s, snr: 5.88
noise: Writing_172_1, start: 951.3433 s end: 969.6297 s, duration: 18.2865 s, snr: 2.57
noise: Computer_441_3, start: 1000.6866 s end: 1014.0127 s, duration: 13.3261 s, snr: 7.39
noise: Writing_108_3, start: 1005.8837 s end: 1008.9490 s, duration: 3.0652 s, snr: 4.67
noise: Squeak_92_3, start: 1043.8918 s end: 1047.5841 s, duration: 3.6923 s, snr: 0.63
noise: Drawer_67_0, start: 1082.8712 s end: 1089.5791 s, duration: 6.7079 s, snr: 9.26
noise: Drawer_52_4, start: 1108.4573 s end: 1113.0053 s, duration: 4.5480 s, snr: 1.49
noise: Knock_1464_0, start: 1113.2767 s end: 1116.3291 s, duration: 3.0524 s, snr: 4.37
noise: Scissors_23_3, start: 1142.1457 s end: 1150.3919 s, duration: 8.2461 s, snr: 2.12
noise: Telephone_320_4, start: 1167.4346 s end: 1175.0041 s, duration: 7.5695 s, snr: 5.63
noise: Telephone_355_2, start: 1179.2417 s end: 1182.9357 s, duration: 3.6940 s, snr: 3.45
noise: Computer_380_2, start: 1179.6979 s end: 1204.4522 s, duration: 24.7542 s, snr: -0.64
noise: Signalization_99_2, start: 1209.4096 s end: 1214.9421 s, duration: 5.5325 s, snr: -0.63
noise: Computer_804_1, start: 1212.3193 s end: 1218.0416 s, duration: 5.7223 s, snr: 5.59
noise: Babble_22_0, start: 1315.0126 s end: 1373.7074 s, duration: 58.6947 s, snr: 13.46
noise: Street_28_0, start: 1335.2811 s end: 1338.8101 s, duration: 3.5290 s, snr: 8.73
noise: Street_2_3, start: 1346.8977 s end: 1377.4302 s, duration: 30.5325 s, snr: 5.05
noise: Drawer_128_1, start: 1391.0937 s end: 1397.0674 s, duration: 5.9738 s, snr: 6.28
noise: Street_38_2, start: 1404.7313 s end: 1408.2767 s, duration: 3.5454 s, snr: 2.72
noise: Door_4215_0, start: 1416.2351 s end: 1420.1877 s, duration: 3.9526 s, snr: 7.82
noise: Babble_180_3, start: 1430.2749 s end: 1450.8073 s, duration: 20.5324 s, snr: 20.58
noise: Door_1652_0, start: 1436.5814 s end: 1439.9282 s, duration: 3.3467 s, snr: 3.18
noise: Knock_420_2, start: 1483.7801 s end: 1489.3191 s, duration: 5.5390 s, snr: 5.63
noise: Babble_128_4, start: 1492.2942 s end: 1502.8267 s, duration: 10.5325 s, snr: 14.35
noise: Telephone_797_2, start: 1494.0429 s end: 1508.3657 s, duration: 14.3229 s, snr: 8.48
noise: Babble_130_1, start: 1495.6137 s end: 1506.1463 s, duration: 10.5325 s, snr: 15.65
noise: Babble_185_3, start: 1503.0928 s end: 1523.6267 s, duration: 20.5340 s, snr: 14.13
noise: Writing_6_1, start: 1503.8504 s end: 1506.8566 s, duration: 3.0062 s, snr: 7.61
noise: Door_4246_1, start: 1508.3849 s end: 1512.1797 s, duration: 3.7948 s, snr: 7.05
noise: Door_4467_3, start: 1516.8146 s end: 1520.6846 s, duration: 3.8700 s, snr: 4.91
noise: Computer_235_3, start: 1524.8585 s end: 1529.9420 s, duration: 5.0835 s, snr: 3.97
noise: Drawer_105_1, start: 1537.0066 s end: 1542.2136 s, duration: 5.2070 s, snr: 2.31
noise: Street_139_1, start: 1562.3809 s end: 1572.9263 s, duration: 10.5454 s, snr: 2.77
noise: Door_4919_1, start: 1565.6189 s end: 1570.3302 s, duration: 4.7114 s, snr: 7.12
noise: Street_125_2, start: 1569.4279 s end: 1574.9733 s, duration: 5.5454 s, snr: -1.00
noise: Door_4352_3, start: 1570.3943 s end: 1574.9290 s, duration: 4.5348 s, snr: 10.74
noise: Door_1591_0, start: 1596.4472 s end: 1599.8975 s, duration: 3.4503 s, snr: 8.68
noise: Drawer_117_1, start: 1601.4453 s end: 1604.6221 s, duration: 3.1768 s, snr: 1.43
noise: Squeak_154_2, start: 1688.2256 s end: 1715.2339 s, duration: 27.0082 s, snr: 3.83
noise: Writing_111_2, start: 1689.0966 s end: 1697.1830 s, duration: 8.0864 s, snr: 3.70
noise: Writing_221_1, start: 1733.1211 s end: 1756.0073 s, duration: 22.8862 s, snr: 3.97
