TS3003b, length = 2210.30 s, percent_of_speech = 0.83, percent_of_noises = 0.49
noise: Knock_1510_4, start: 37.5786 s end: 42.3209 s, duration: 4.7422 s, snr: 3.12
noise: Telephone_97_2, start: 39.5202 s end: 44.1126 s, duration: 4.5924 s, snr: 7.20
noise: Knock_966_3, start: 58.7306 s end: 61.9033 s, duration: 3.1728 s, snr: 2.04
noise: Door_4761_1, start: 89.5374 s end: 92.8149 s, duration: 3.2775 s, snr: 7.40
noise: Squeak_61_3, start: 92.8591 s end: 116.1485 s, duration: 23.2894 s, snr: 8.37
noise: Signalization_111_2, start: 110.4756 s end: 116.0094 s, duration: 5.5338 s, snr: 4.35
noise: Tool_2917_1, start: 125.6218 s end: 130.1541 s, duration: 4.5324 s, snr: 6.43
noise: Knock_1649_1, start: 127.8189 s end: 130.8883 s, duration: 3.0694 s, snr: 2.04
noise: Street_81_0, start: 139.5648 s end: 145.0973 s, duration: 5.5325 s, snr: 4.21
noise: Squeak_130_2, start: 189.6779 s end: 200.2484 s, duration: 10.5705 s, snr: 2.80
noise: Computer_443_3, start: 193.4775 s end: 217.1235 s, duration: 23.6460 s, snr: 8.72
noise: Telephone_441_4, start: 198.0834 s end: 229.1986 s, duration: 31.1153 s, snr: 1.61
noise: Computer_247_3, start: 235.4261 s end: 247.7896 s, duration: 12.3635 s, snr: 8.35
noise: Writing_242_2, start: 239.7332 s end: 242.8753 s, duration: 3.1421 s, snr: 1.57
noise: Door_1103_1, start: 251.5017 s end: 256.9580 s, duration: 5.4563 s, snr: 3.99
noise: Computer_696_1, start: 255.8900 s end: 259.2371 s, duration: 3.3471 s, snr: 6.17
noise: Telephone_769_1, start: 294.6803 s end: 298.6049 s, duration: 3.9246 s, snr: 2.76
noise: Gunshot_58_4, start: 298.3851 s end: 301.4758 s, duration: 3.0908 s, snr: 6.16
noise: Computer_90_3, start: 300.7296 s end: 305.3356 s, duration: 4.6060 s, snr: 6.40
noise: Gunshot_12_2, start: 321.5126 s end: 325.7579 s, duration: 4.2454 s, snr: 6.45
noise: Telephone_738_0, start: 322.3586 s end: 349.0523 s, duration: 26.6936 s, snr: 3.01
noise: Gunshot_111_0, start: 339.4493 s end: 344.3374 s, duration: 4.8881 s, snr: 1.89
noise: Telephone_378_2, start: 365.6956 s end: 378.1919 s, duration: 12.4962 s, snr: 5.11
noise: Computer_706_3, start: 389.1966 s end: 392.7714 s, duration: 3.5747 s, snr: 4.93
noise: Street_46_3, start: 394.8316 s end: 398.3624 s, duration: 3.5309 s, snr: 7.91
noise: Telephone_558_4, start: 401.7143 s end: 409.8067 s, duration: 8.0924 s, snr: 3.60
noise: Squeak_212_3, start: 420.5749 s end: 429.9616 s, duration: 9.3866 s, snr: 4.64
noise: Writing_73_3, start: 429.5191 s end: 435.1856 s, duration: 5.6665 s, snr: 7.77
noise: Street_152_4, start: 440.2635 s end: 447.8244 s, duration: 7.5609 s, snr: 6.56
noise: Tool_3996_3, start: 449.4226 s end: 453.9550 s, duration: 4.5324 s, snr: 1.52
noise: Scissors_65_2, start: 467.9833 s end: 498.4099 s, duration: 30.4266 s, snr: -1.00
noise: Door_2520_1, start: 483.9181 s end: 487.4662 s, duration: 3.5481 s, snr: -1.00
noise: Telephone_672_4, start: 603.7111 s end: 638.1537 s, duration: 34.4426 s, snr: 5.06
noise: Scissors_76_1, start: 615.3440 s end: 626.1499 s, duration: 10.8059 s, snr: 8.74
noise: Scissors_19_0, start: 621.7943 s end: 632.2611 s, duration: 10.4669 s, snr: 3.07
noise: Computer_191_0, start: 631.3256 s end: 636.8181 s, duration: 5.4925 s, snr: 6.81
noise: Street_148_4, start: 668.8800 s end: 684.4125 s, duration: 15.5325 s, snr: 2.95
noise: Squeak_221_0, start: 678.2079 s end: 682.8632 s, duration: 4.6553 s, snr: 6.88
noise: Telephone_722_1, start: 683.8138 s end: 709.1568 s, duration: 25.3430 s, snr: 5.21
noise: Telephone_617_3, start: 702.6763 s end: 718.4147 s, duration: 15.7384 s, snr: 3.39
noise: Computer_1214_4, start: 715.9585 s end: 721.9150 s, duration: 5.9565 s, snr: 1.20
noise: Babble_111_0, start: 729.1091 s end: 734.6416 s, duration: 5.5325 s, snr: 13.44
noise: Scissors_70_0, start: 732.5811 s end: 738.0371 s, duration: 5.4560 s, snr: 6.92
noise: Knock_749_3, start: 736.1627 s end: 741.4161 s, duration: 5.2534 s, snr: 6.68
noise: Computer_7_3, start: 742.8943 s end: 746.0277 s, duration: 3.1335 s, snr: 8.74
