EN2002d, length = 2209.90 s, percent_of_speech = 0.89, percent_of_noises = 0.57
noise: Computer_267_0, start: 9.5820 s end: 17.1621 s, duration: 7.5801 s, snr: 4.34
noise: Computer_843_1, start: 195.1074 s end: 199.9726 s, duration: 4.8653 s, snr: 3.67
noise: Street_80_3, start: 211.5071 s end: 217.0358 s, duration: 5.5286 s, snr: 8.08
noise: Tool_4085_4, start: 294.6164 s end: 299.1477 s, duration: 4.5314 s, snr: 6.58
noise: Computer_365_4, start: 307.2839 s end: 329.3349 s, duration: 22.0510 s, snr: 5.74
noise: Gunshot_4_2, start: 333.0913 s end: 345.9838 s, duration: 12.8925 s, snr: 3.27
noise: Squeak_15_3, start: 336.5603 s end: 347.9286 s, duration: 11.3682 s, snr: 2.82
noise: Street_36_2, start: 347.7992 s end: 351.3339 s, duration: 3.5347 s, snr: 9.00
noise: Door_5028_0, start: 398.4153 s end: 402.6516 s, duration: 4.2362 s, snr: -0.84
noise: Street_0_0, start: 412.0478 s end: 434.8726 s, duration: 22.8249 s, snr: 0.69
noise: Signalization_130_0, start: 427.9006 s end: 438.4375 s, duration: 10.5369 s, snr: 2.37
noise: Knock_341_1, start: 440.4377 s end: 444.6603 s, duration: 4.2226 s, snr: 1.21
noise: Computer_1066_0, start: 448.3000 s end: 458.0375 s, duration: 9.7375 s, snr: 10.14
noise: Street_85_1, start: 470.0211 s end: 475.5644 s, duration: 5.5434 s, snr: -0.28
noise: Telephone_384_0, start: 494.6516 s end: 507.1465 s, duration: 12.4949 s, snr: 7.44
noise: Writing_244_4, start: 502.2697 s end: 505.9628 s, duration: 3.6930 s, snr: 7.63
noise: Babble_148_4, start: 512.7903 s end: 523.3239 s, duration: 10.5336 s, snr: 11.53
noise: Scissors_11_4, start: 519.5343 s end: 531.5403 s, duration: 12.0060 s, snr: 2.73
noise: Telephone_421_3, start: 549.7579 s end: 600.6016 s, duration: 50.8438 s, snr: 9.54
noise: Telephone_342_2, start: 565.3100 s end: 586.2984 s, duration: 20.9884 s, snr: 0.04
noise: Door_1437_2, start: 586.7185 s end: 589.7290 s, duration: 3.0105 s, snr: 2.66
noise: Street_60_3, start: 601.1571 s end: 604.6890 s, duration: 3.5319 s, snr: 3.55
noise: Telephone_538_4, start: 720.2458 s end: 725.3506 s, duration: 5.1047 s, snr: 4.64
noise: Drawer_132_3, start: 764.2430 s end: 782.0514 s, duration: 17.8084 s, snr: 7.73
noise: Squeak_72_2, start: 764.3407 s end: 768.0810 s, duration: 3.7403 s, snr: 3.24
noise: Telephone_738_1, start: 778.3906 s end: 805.0830 s, duration: 26.6924 s, snr: -0.35
noise: Computer_991_2, start: 791.0940 s end: 794.4609 s, duration: 3.3669 s, snr: 1.79
noise: Signalization_119_2, start: 793.5108 s end: 804.0375 s, duration: 10.5267 s, snr: 5.21
noise: Computer_1018_4, start: 811.8914 s end: 824.7895 s, duration: 12.8981 s, snr: 4.93
noise: Computer_696_2, start: 840.6271 s end: 843.9742 s, duration: 3.3471 s, snr: 7.19
noise: Babble_54_2, start: 857.7262 s end: 863.2548 s, duration: 5.5286 s, snr: 12.46
noise: Writing_86_3, start: 868.2381 s end: 874.9648 s, duration: 6.7268 s, snr: 2.39
noise: Street_154_1, start: 882.2127 s end: 897.7451 s, duration: 15.5324 s, snr: 3.82
noise: Gunshot_53_2, start: 897.5372 s end: 903.2484 s, duration: 5.7113 s, snr: 6.34
