TS3004d, length = 2750.80 s, percent_of_speech = 0.71, percent_of_noises = 0.53
noise: Drawer_30_0, start: 31.3720 s end: 34.5845 s, duration: 3.2125 s, snr: 7.28
noise: Knock_1906_0, start: 70.4234 s end: 74.7226 s, duration: 4.2991 s, snr: 0.61
noise: Street_159_1, start: 100.6269 s end: 116.1723 s, duration: 15.5454 s, snr: 1.58
noise: Door_4209_2, start: 120.2843 s end: 126.2553 s, duration: 5.9710 s, snr: 4.01
noise: Tool_2976_4, start: 124.4401 s end: 128.9725 s, duration: 4.5324 s, snr: 10.42
noise: Street_46_3, start: 154.6660 s end: 158.1969 s, duration: 3.5309 s, snr: 6.35
noise: Babble_144_1, start: 168.8262 s end: 179.3716 s, duration: 10.5454 s, snr: 16.75
noise: Telephone_527_1, start: 187.2212 s end: 192.3142 s, duration: 5.0930 s, snr: 2.81
noise: Babble_61_1, start: 202.7185 s end: 208.2460 s, duration: 5.5275 s, snr: 22.43
noise: Squeak_233_0, start: 214.7969 s end: 225.3231 s, duration: 10.5263 s, snr: 4.41
noise: Computer_932_4, start: 227.3062 s end: 230.4409 s, duration: 3.1347 s, snr: 5.12
noise: Door_179_1, start: 260.9186 s end: 264.0387 s, duration: 3.1201 s, snr: 6.44
noise: Computer_993_1, start: 277.4119 s end: 280.8531 s, duration: 3.4412 s, snr: 3.07
noise: Writing_211_0, start: 282.9896 s end: 306.1354 s, duration: 23.1459 s, snr: 4.20
noise: Computer_919_3, start: 305.8822 s end: 310.1292 s, duration: 4.2470 s, snr: -0.89
noise: Computer_666_4, start: 345.8952 s end: 350.7651 s, duration: 4.8699 s, snr: -0.19
noise: Drawer_79_0, start: 352.9026 s end: 368.2521 s, duration: 15.3495 s, snr: 5.24
noise: Knock_1458_2, start: 369.5322 s end: 372.8534 s, duration: 3.3212 s, snr: 6.64
noise: Telephone_33_1, start: 372.8620 s end: 388.1744 s, duration: 15.3124 s, snr: 10.25
noise: Knock_295_3, start: 375.9341 s end: 383.5912 s, duration: 7.6571 s, snr: 5.11
noise: Computer_1042_1, start: 382.0554 s end: 394.3961 s, duration: 12.3407 s, snr: 3.74
noise: Scissors_69_4, start: 389.5279 s end: 396.0139 s, duration: 6.4860 s, snr: 3.15
noise: Street_25_3, start: 390.7981 s end: 394.3375 s, duration: 3.5394 s, snr: 0.31
noise: Writing_172_4, start: 395.6918 s end: 413.9783 s, duration: 18.2865 s, snr: 8.55
noise: Babble_92_4, start: 408.2924 s end: 413.8249 s, duration: 5.5325 s, snr: 15.53
noise: Telephone_810_3, start: 418.3291 s end: 423.9499 s, duration: 5.6208 s, snr: 8.76
noise: Signalization_154_3, start: 424.7280 s end: 429.2999 s, duration: 4.5719 s, snr: 7.51
noise: Telephone_518_3, start: 427.3726 s end: 432.4864 s, duration: 5.1137 s, snr: 3.88
noise: Knock_951_1, start: 462.8317 s end: 466.4482 s, duration: 3.6165 s, snr: 0.05
noise: Babble_107_2, start: 469.6037 s end: 475.1362 s, duration: 5.5325 s, snr: 12.15
noise: Scissors_56_3, start: 474.7224 s end: 480.0949 s, duration: 5.3725 s, snr: 2.10
noise: Telephone_391_0, start: 545.7587 s end: 557.6189 s, duration: 11.8601 s, snr: 7.90
noise: Drawer_14_1, start: 547.0292 s end: 550.8437 s, duration: 3.8145 s, snr: -1.00
noise: Squeak_122_1, start: 576.7547 s end: 580.5412 s, duration: 3.7865 s, snr: 3.56
noise: Babble_189_4, start: 585.6756 s end: 616.2017 s, duration: 30.5261 s, snr: 15.48
noise: Computer_949_1, start: 587.4409 s end: 591.0606 s, duration: 3.6197 s, snr: 4.21
noise: Door_295_0, start: 618.2496 s end: 622.3457 s, duration: 4.0961 s, snr: 0.41
noise: Door_2312_0, start: 632.1986 s end: 635.3703 s, duration: 3.1717 s, snr: 5.86
noise: Telephone_808_4, start: 642.8319 s end: 647.5397 s, duration: 4.7078 s, snr: 5.35
noise: Gunshot_25_2, start: 652.8889 s end: 656.8586 s, duration: 3.9696 s, snr: 2.10
noise: Door_4617_0, start: 656.2412 s end: 659.5827 s, duration: 3.3415 s, snr: -0.97
noise: Babble_152_3, start: 680.0013 s end: 690.5446 s, duration: 10.5434 s, snr: 20.67
noise: Writing_129_4, start: 698.5684 s end: 712.3955 s, duration: 13.8271 s, snr: 5.84
noise: Telephone_585_3, start: 733.8655 s end: 755.0602 s, duration: 21.1947 s, snr: 9.44
noise: Tool_3984_4, start: 743.6681 s end: 748.1976 s, duration: 4.5295 s, snr: 5.86
noise: Computer_514_3, start: 753.9792 s end: 759.5211 s, duration: 5.5419 s, snr: 7.45
