IN1001, length = 3463.83 s, percent_of_speech = 0.90, percent_of_noises = 0.53
noise: Squeak_277_3, start: 7.3068 s end: 12.1990 s, duration: 4.8922 s, snr: 10.30
noise: Telephone_120_1, start: 10.8751 s end: 21.3583 s, duration: 10.4832 s, snr: 5.39
noise: Street_56_0, start: 13.1075 s end: 16.6420 s, duration: 3.5345 s, snr: 4.25
noise: Street_149_3, start: 17.3646 s end: 32.8971 s, duration: 15.5325 s, snr: 3.80
noise: Computer_23_2, start: 27.1480 s end: 31.7946 s, duration: 4.6466 s, snr: -1.00
noise: Knock_136_1, start: 38.8592 s end: 42.1821 s, duration: 3.3229 s, snr: 2.81
noise: Writing_18_1, start: 41.6237 s end: 45.3327 s, duration: 3.7090 s, snr: 6.11
noise: Signalization_137_3, start: 51.3712 s end: 61.9058 s, duration: 10.5346 s, snr: 5.34
noise: Computer_853_1, start: 60.8939 s end: 66.2957 s, duration: 5.4017 s, snr: 7.45
noise: Computer_584_0, start: 70.6109 s end: 75.2962 s, duration: 4.6852 s, snr: 8.83
noise: Gunshot_76_0, start: 93.9199 s end: 97.1306 s, duration: 3.2107 s, snr: 3.60
noise: Knock_1655_3, start: 103.6458 s end: 108.2529 s, duration: 4.6071 s, snr: 10.20
noise: Door_966_4, start: 108.2588 s end: 112.0826 s, duration: 3.8237 s, snr: -0.46
noise: Computer_402_0, start: 109.3808 s end: 131.3071 s, duration: 21.9262 s, snr: 3.09
noise: Signalization_5_2, start: 111.2433 s end: 122.8245 s, duration: 11.5812 s, snr: 5.79
noise: Tool_3643_4, start: 120.2061 s end: 124.7365 s, duration: 4.5304 s, snr: 7.39
noise: Knock_1160_4, start: 146.9298 s end: 154.5555 s, duration: 7.6257 s, snr: 7.60
noise: Writing_61_0, start: 162.8064 s end: 180.9928 s, duration: 18.1864 s, snr: 6.42
noise: Scissors_39_4, start: 189.4914 s end: 193.2902 s, duration: 3.7988 s, snr: 2.43
noise: Drawer_135_4, start: 205.9658 s end: 211.7127 s, duration: 5.7469 s, snr: 3.60
noise: Computer_912_1, start: 216.0500 s end: 220.2363 s, duration: 4.1863 s, snr: 1.97
noise: Squeak_263_0, start: 220.4444 s end: 226.7334 s, duration: 6.2890 s, snr: -1.00
