IB4002, length = 1882.37 s, percent_of_speech = 0.71, percent_of_noises = 0.46
noise: Telephone_739_3, start: 39.0236 s end: 67.2609 s, duration: 28.2372 s, snr: 0.44
noise: Writing_237_3, start: 56.1406 s end: 60.6326 s, duration: 4.4920 s, snr: 6.32
noise: Tool_2721_3, start: 68.7613 s end: 73.2921 s, duration: 4.5307 s, snr: 2.70
noise: Computer_1154_0, start: 91.1881 s end: 99.6339 s, duration: 8.4458 s, snr: 5.47
noise: Door_1079_3, start: 99.2262 s end: 102.9262 s, duration: 3.7000 s, snr: 3.19
noise: Babble_44_2, start: 107.0372 s end: 112.5826 s, duration: 5.5454 s, snr: 16.39
noise: Computer_926_1, start: 110.5725 s end: 115.0907 s, duration: 4.5182 s, snr: 5.61
noise: Signalization_102_0, start: 147.3196 s end: 152.8511 s, duration: 5.5315 s, snr: 1.08
noise: Computer_631_0, start: 155.0634 s end: 159.0170 s, duration: 3.9536 s, snr: 1.15
noise: Drawer_151_1, start: 204.5439 s end: 211.1703 s, duration: 6.6264 s, snr: 7.87
noise: Signalization_130_1, start: 211.0950 s end: 221.6296 s, duration: 10.5346 s, snr: 8.54
noise: Computer_283_0, start: 220.9904 s end: 227.2877 s, duration: 6.2974 s, snr: 6.39
noise: Writing_137_1, start: 251.5762 s end: 268.5222 s, duration: 16.9460 s, snr: 3.91
noise: Knock_1832_2, start: 262.2896 s end: 265.7274 s, duration: 3.4377 s, snr: 6.24
noise: Squeak_249_4, start: 263.5310 s end: 268.5958 s, duration: 5.0648 s, snr: 4.31
noise: Scissors_88_2, start: 264.0182 s end: 279.7843 s, duration: 15.7661 s, snr: -0.68
noise: Tool_3961_2, start: 327.3822 s end: 331.9136 s, duration: 4.5314 s, snr: 1.27
noise: Computer_271_0, start: 381.5439 s end: 388.4723 s, duration: 6.9284 s, snr: 13.44
noise: Street_52_2, start: 383.3359 s end: 386.8813 s, duration: 3.5454 s, snr: 3.92
noise: Signalization_12_1, start: 403.0489 s end: 433.5814 s, duration: 30.5325 s, snr: 7.21
noise: Babble_49_4, start: 434.0997 s end: 439.6433 s, duration: 5.5436 s, snr: 11.93
noise: Door_1662_0, start: 447.9482 s end: 452.1523 s, duration: 4.2041 s, snr: 5.38
noise: Drawer_88_4, start: 464.2976 s end: 468.6457 s, duration: 4.3481 s, snr: 5.78
noise: Knock_1886_3, start: 506.3333 s end: 510.7991 s, duration: 4.4659 s, snr: 3.43
noise: Telephone_405_1, start: 526.5371 s end: 538.3959 s, duration: 11.8589 s, snr: 4.85
noise: Babble_112_0, start: 527.3987 s end: 532.9441 s, duration: 5.5454 s, snr: 12.11
noise: Computer_1255_1, start: 565.0448 s end: 574.3416 s, duration: 9.2969 s, snr: -1.00
noise: Writing_266_4, start: 576.2526 s end: 581.3431 s, duration: 5.0905 s, snr: 8.23
noise: Door_995_0, start: 587.2520 s end: 591.0010 s, duration: 3.7490 s, snr: 9.40
noise: Door_830_4, start: 591.0212 s end: 596.2344 s, duration: 5.2133 s, snr: 4.30
noise: Door_4269_4, start: 601.7129 s end: 605.6681 s, duration: 3.9552 s, snr: 2.63
noise: Street_157_4, start: 624.9050 s end: 640.4341 s, duration: 15.5291 s, snr: 1.43
noise: Door_2496_3, start: 626.7880 s end: 630.2770 s, duration: 3.4890 s, snr: 6.43
noise: Babble_184_4, start: 652.6657 s end: 667.8564 s, duration: 15.1907 s, snr: 15.20
noise: Writing_68_0, start: 674.2878 s end: 677.4938 s, duration: 3.2060 s, snr: 0.60
noise: Drawer_78_2, start: 723.7342 s end: 727.3115 s, duration: 3.5773 s, snr: 6.75
noise: Drawer_105_3, start: 741.3813 s end: 746.5896 s, duration: 5.2083 s, snr: 3.11
noise: Door_4427_3, start: 754.8716 s end: 759.4834 s, duration: 4.6118 s, snr: 7.40
noise: Squeak_223_0, start: 756.4339 s end: 760.2007 s, duration: 3.7668 s, snr: 3.30
noise: Telephone_780_0, start: 769.9271 s end: 776.6986 s, duration: 6.7715 s, snr: 5.40
noise: Telephone_660_0, start: 808.8901 s end: 843.0085 s, duration: 34.1184 s, snr: 1.17
