TS3010c, length = 2142.00 s, percent_of_speech = 0.70, percent_of_noises = 0.45
noise: Computer_726_3, start: 46.9066 s end: 51.0761 s, duration: 4.1695 s, snr: 3.14
noise: Drawer_47_1, start: 68.8069 s end: 75.8548 s, duration: 7.0479 s, snr: 2.61
noise: Knock_1687_3, start: 88.3367 s end: 91.6644 s, duration: 3.3278 s, snr: 4.55
noise: Knock_1498_2, start: 158.2644 s end: 163.2401 s, duration: 4.9758 s, snr: 6.35
noise: Telephone_630_1, start: 193.7384 s end: 204.3327 s, duration: 10.5942 s, snr: 5.13
noise: Writing_36_0, start: 194.0306 s end: 206.1969 s, duration: 12.1663 s, snr: 7.42
noise: Telephone_140_2, start: 210.0255 s end: 214.3440 s, duration: 4.3185 s, snr: 6.78
noise: Computer_943_4, start: 239.1232 s end: 242.1994 s, duration: 3.0762 s, snr: 3.64
noise: Street_46_1, start: 253.7507 s end: 257.2961 s, duration: 3.5454 s, snr: 0.03
noise: Writing_10_3, start: 260.5089 s end: 263.7354 s, duration: 3.2265 s, snr: 6.83
noise: Street_60_0, start: 267.3111 s end: 270.8401 s, duration: 3.5290 s, snr: 0.10
noise: Street_140_2, start: 292.2898 s end: 302.8352 s, duration: 10.5454 s, snr: 3.86
noise: Computer_646_1, start: 296.0213 s end: 300.3352 s, duration: 4.3140 s, snr: 8.19
noise: Writing_209_0, start: 302.6062 s end: 306.6131 s, duration: 4.0069 s, snr: 7.70
noise: Drawer_140_0, start: 327.0518 s end: 349.3201 s, duration: 22.2683 s, snr: 9.60
noise: Knock_147_1, start: 331.9590 s end: 342.6479 s, duration: 10.6889 s, snr: 7.59
noise: Drawer_100_3, start: 343.7439 s end: 368.6513 s, duration: 24.9074 s, snr: 5.43
noise: Computer_1233_0, start: 406.4865 s end: 412.1456 s, duration: 5.6591 s, snr: 2.92
noise: Knock_1591_3, start: 407.1024 s end: 412.0571 s, duration: 4.9547 s, snr: 3.32
noise: Computer_1105_4, start: 409.2283 s end: 424.4210 s, duration: 15.1927 s, snr: 6.87
noise: Squeak_227_2, start: 420.9821 s end: 429.4899 s, duration: 8.5077 s, snr: 9.00
noise: Street_0_3, start: 453.8731 s end: 476.7009 s, duration: 22.8279 s, snr: 3.50
noise: Computer_769_2, start: 459.9572 s end: 465.8489 s, duration: 5.8918 s, snr: 7.22
noise: Babble_182_0, start: 479.4819 s end: 500.0273 s, duration: 20.5454 s, snr: 21.34
noise: Squeak_233_2, start: 505.3686 s end: 515.8945 s, duration: 10.5259 s, snr: 2.51
noise: Writing_155_2, start: 506.4984 s end: 534.6448 s, duration: 28.1464 s, snr: 5.99
noise: Telephone_804_4, start: 534.8606 s end: 544.7755 s, duration: 9.9149 s, snr: 1.96
noise: Street_72_3, start: 563.3711 s end: 566.4656 s, duration: 3.0945 s, snr: 3.28
noise: Writing_91_1, start: 594.5525 s end: 615.3987 s, duration: 20.8462 s, snr: 6.31
noise: Drawer_85_2, start: 612.2187 s end: 615.7782 s, duration: 3.5595 s, snr: 9.02
noise: Telephone_194_1, start: 638.1611 s end: 644.6137 s, duration: 6.4526 s, snr: 5.84
noise: Telephone_696_2, start: 665.5053 s end: 669.4541 s, duration: 3.9488 s, snr: 2.08
noise: Squeak_258_4, start: 681.4812 s end: 684.7051 s, duration: 3.2239 s, snr: 6.43
noise: Door_325_4, start: 685.6922 s end: 690.3367 s, duration: 4.6445 s, snr: 0.48
noise: Scissors_44_3, start: 696.6151 s end: 723.1428 s, duration: 26.5277 s, snr: 6.24
noise: Computer_272_3, start: 708.3672 s end: 714.8412 s, duration: 6.4740 s, snr: 3.63
noise: Telephone_116_3, start: 717.9622 s end: 724.3308 s, duration: 6.3686 s, snr: 7.23
noise: Signalization_122_2, start: 740.4379 s end: 750.9650 s, duration: 10.5271 s, snr: 7.54
noise: Writing_40_4, start: 743.2907 s end: 746.7336 s, duration: 3.4429 s, snr: 3.19
noise: Babble_148_2, start: 779.7812 s end: 790.3138 s, duration: 10.5325 s, snr: 12.08
noise: Computer_640_1, start: 782.5576 s end: 786.3243 s, duration: 3.7668 s, snr: 6.24
noise: Computer_654_4, start: 789.2727 s end: 793.1615 s, duration: 3.8888 s, snr: 2.33
noise: Street_12_0, start: 827.6259 s end: 831.1713 s, duration: 3.5454 s, snr: 8.20
noise: Knock_1088_0, start: 877.0629 s end: 882.3929 s, duration: 5.3300 s, snr: 8.22
noise: Knock_1281_1, start: 932.6197 s end: 937.6579 s, duration: 5.0382 s, snr: 2.60
