IS1000c, length = 2114.65 s, percent_of_speech = 0.87, percent_of_noises = 0.59
noise: Telephone_23_4, start: 6.2959 s end: 17.5267 s, duration: 11.2309 s, snr: 6.07
noise: Door_729_0, start: 14.0434 s end: 19.6459 s, duration: 5.6025 s, snr: 7.19
noise: Scissors_7_3, start: 18.8866 s end: 24.3394 s, duration: 5.4528 s, snr: 3.02
noise: Tool_2805_1, start: 24.8569 s end: 29.3858 s, duration: 4.5289 s, snr: 1.85
noise: Computer_734_2, start: 25.1949 s end: 28.2604 s, duration: 3.0655 s, snr: 2.15
noise: Squeak_218_4, start: 43.9789 s end: 47.3006 s, duration: 3.3217 s, snr: 5.91
noise: Computer_264_0, start: 49.8730 s end: 58.8415 s, duration: 8.9685 s, snr: 1.91
noise: Tool_3960_3, start: 62.2831 s end: 66.8140 s, duration: 4.5309 s, snr: 4.22
noise: Street_12_3, start: 67.1851 s end: 70.7291 s, duration: 3.5440 s, snr: 3.30
noise: Gunshot_14_2, start: 79.4310 s end: 82.8550 s, duration: 3.4240 s, snr: 4.33
noise: Telephone_352_3, start: 81.7817 s end: 85.5404 s, duration: 3.7587 s, snr: 10.44
noise: Babble_102_3, start: 112.8630 s end: 118.4084 s, duration: 5.5454 s, snr: 14.04
noise: Squeak_100_1, start: 121.8758 s end: 125.9054 s, duration: 4.0296 s, snr: 4.95
noise: Telephone_825_1, start: 154.6855 s end: 166.1965 s, duration: 11.5110 s, snr: 1.35
noise: Babble_64_4, start: 170.1165 s end: 175.6619 s, duration: 5.5454 s, snr: 13.56
noise: Drawer_152_4, start: 177.7915 s end: 181.5785 s, duration: 3.7870 s, snr: 5.80
noise: Scissors_80_3, start: 183.6374 s end: 200.9834 s, duration: 17.3460 s, snr: 1.02
noise: Computer_115_3, start: 190.0167 s end: 199.2029 s, duration: 9.1863 s, snr: 3.39
noise: Telephone_338_2, start: 199.0494 s end: 226.6533 s, duration: 27.6039 s, snr: 6.28
noise: Knock_935_3, start: 200.6260 s end: 206.2700 s, duration: 5.6440 s, snr: 8.07
noise: Knock_1286_0, start: 234.4499 s end: 237.4604 s, duration: 3.0105 s, snr: 3.59
noise: Telephone_228_4, start: 255.2970 s end: 281.8831 s, duration: 26.5861 s, snr: 8.43
noise: Signalization_17_3, start: 270.1641 s end: 292.9725 s, duration: 22.8084 s, snr: 8.57
noise: Telephone_387_4, start: 276.3494 s end: 289.6756 s, duration: 13.3263 s, snr: 4.49
noise: Telephone_620_0, start: 291.3143 s end: 301.9538 s, duration: 10.6395 s, snr: 8.16
noise: Street_131_4, start: 295.0401 s end: 305.5720 s, duration: 10.5319 s, snr: -0.28
noise: Scissors_4_0, start: 299.4182 s end: 303.0307 s, duration: 3.6125 s, snr: 9.74
noise: Telephone_393_1, start: 346.2544 s end: 358.1175 s, duration: 11.8631 s, snr: 4.13
noise: Door_1908_2, start: 348.6924 s end: 351.9404 s, duration: 3.2480 s, snr: 5.08
noise: Tool_3816_2, start: 361.6416 s end: 366.1696 s, duration: 4.5280 s, snr: 2.85
noise: Door_2246_1, start: 363.0651 s end: 366.1082 s, duration: 3.0431 s, snr: 7.65
noise: Computer_92_4, start: 401.1041 s end: 428.9502 s, duration: 27.8461 s, snr: 2.50
noise: Scissors_42_3, start: 409.6897 s end: 413.3137 s, duration: 3.6240 s, snr: 2.99
noise: Telephone_610_0, start: 410.6020 s end: 421.2451 s, duration: 10.6431 s, snr: 1.83
noise: Babble_7_3, start: 417.6209 s end: 478.1589 s, duration: 60.5380 s, snr: 8.74
noise: Signalization_39_3, start: 449.7526 s end: 453.2804 s, duration: 3.5277 s, snr: 4.86
noise: Computer_332_0, start: 471.0478 s end: 475.7031 s, duration: 4.6552 s, snr: 10.92
noise: Knock_393_3, start: 501.5879 s end: 507.3951 s, duration: 5.8071 s, snr: 8.46
noise: Squeak_16_4, start: 504.2492 s end: 508.7752 s, duration: 4.5260 s, snr: 7.31
noise: Street_119_3, start: 562.3346 s end: 566.3202 s, duration: 3.9856 s, snr: 4.31
noise: Scissors_12_1, start: 591.0504 s end: 594.1296 s, duration: 3.0791 s, snr: 6.39
noise: Street_17_2, start: 591.4214 s end: 594.9597 s, duration: 3.5382 s, snr: 8.25
noise: Knock_1659_3, start: 603.6920 s end: 608.8596 s, duration: 5.1676 s, snr: 1.98
noise: Knock_1272_1, start: 622.3230 s end: 626.9205 s, duration: 4.5975 s, snr: 0.97
noise: Writing_249_0, start: 658.0184 s end: 675.2846 s, duration: 17.2663 s, snr: 3.89
noise: Door_2386_0, start: 659.7554 s end: 663.1789 s, duration: 3.4235 s, snr: 3.55
noise: Telephone_712_4, start: 669.8254 s end: 673.7892 s, duration: 3.9638 s, snr: 3.89
noise: Babble_29_4, start: 672.5555 s end: 678.0880 s, duration: 5.5325 s, snr: 12.95
noise: Writing_43_4, start: 675.7911 s end: 683.9989 s, duration: 8.2078 s, snr: 4.55
noise: Writing_245_3, start: 680.0454 s end: 686.3112 s, duration: 6.2659 s, snr: 8.19
noise: Scissors_18_2, start: 685.6986 s end: 690.6647 s, duration: 4.9661 s, snr: 8.31
noise: Computer_219_1, start: 693.2493 s end: 698.3021 s, duration: 5.0528 s, snr: 11.47
noise: Door_4372_2, start: 705.7592 s end: 710.3913 s, duration: 4.6320 s, snr: 0.49
noise: Writing_96_2, start: 707.4245 s end: 711.1967 s, duration: 3.7722 s, snr: 6.52
noise: Telephone_21_1, start: 716.0938 s end: 719.4204 s, duration: 3.3266 s, snr: 4.54
noise: Knock_1467_4, start: 723.6968 s end: 727.9426 s, duration: 4.2458 s, snr: 5.62
noise: Door_1379_2, start: 729.2423 s end: 733.0413 s, duration: 3.7990 s, snr: 6.51
noise: Writing_154_1, start: 730.3884 s end: 734.7549 s, duration: 4.3665 s, snr: 5.53
noise: Telephone_457_3, start: 746.9269 s end: 750.4871 s, duration: 3.5601 s, snr: 7.33
noise: Computer_233_0, start: 752.3484 s end: 757.9799 s, duration: 5.6315 s, snr: 3.83
noise: Signalization_79_4, start: 780.3474 s end: 783.8793 s, duration: 3.5319 s, snr: 0.91
noise: Scissors_28_2, start: 819.3608 s end: 825.3083 s, duration: 5.9475 s, snr: 6.00
noise: Drawer_63_3, start: 839.1941 s end: 842.8177 s, duration: 3.6236 s, snr: 4.26
noise: Gunshot_108_4, start: 848.6983 s end: 876.8459 s, duration: 28.1476 s, snr: 7.27
noise: Tool_4045_2, start: 855.6978 s end: 860.2251 s, duration: 4.5274 s, snr: -0.73
noise: Signalization_135_0, start: 860.9523 s end: 871.4976 s, duration: 10.5454 s, snr: -0.05
noise: Squeak_289_2, start: 883.8796 s end: 910.6266 s, duration: 26.7470 s, snr: -0.52
noise: Telephone_826_0, start: 896.1730 s end: 904.3816 s, duration: 8.2086 s, snr: 4.94
noise: Telephone_144_2, start: 899.4521 s end: 903.8576 s, duration: 4.4055 s, snr: 6.92
