IS1002c, length = 2080.85 s, percent_of_speech = 0.89, percent_of_noises = 0.41
noise: Writing_217_0, start: 32.6932 s end: 36.7798 s, duration: 4.0866 s, snr: 6.66
noise: Street_16_1, start: 97.1854 s end: 100.7229 s, duration: 3.5375 s, snr: 6.88
noise: Writing_34_4, start: 122.0671 s end: 126.5199 s, duration: 4.4527 s, snr: 5.06
noise: Computer_644_2, start: 125.4145 s end: 129.5264 s, duration: 4.1119 s, snr: 3.84
noise: Telephone_544_1, start: 130.0098 s end: 138.1059 s, duration: 8.0961 s, snr: 0.16
noise: Writing_266_1, start: 156.1759 s end: 161.2279 s, duration: 5.0520 s, snr: 3.76
noise: Street_34_3, start: 213.6445 s end: 217.1813 s, duration: 3.5368 s, snr: 9.23
noise: Signalization_133_1, start: 220.8351 s end: 224.0256 s, duration: 3.1905 s, snr: 6.76
noise: Squeak_79_4, start: 252.0418 s end: 259.3310 s, duration: 7.2893 s, snr: 2.96
noise: Drawer_140_0, start: 308.3538 s end: 330.6221 s, duration: 22.2683 s, snr: 3.21
noise: Knock_1063_0, start: 350.2486 s end: 360.3556 s, duration: 10.1070 s, snr: 2.47
noise: Scissors_24_2, start: 355.9658 s end: 382.2722 s, duration: 26.3065 s, snr: 8.10
noise: Telephone_259_4, start: 364.5139 s end: 377.2099 s, duration: 12.6960 s, snr: 1.93
noise: Computer_1206_2, start: 408.0171 s end: 412.5888 s, duration: 4.5716 s, snr: 4.37
noise: Computer_30_2, start: 431.9965 s end: 455.2425 s, duration: 23.2460 s, snr: 6.98
noise: Scissors_79_4, start: 462.0593 s end: 480.3255 s, duration: 18.2662 s, snr: 1.23
noise: Door_4198_0, start: 464.2853 s end: 467.9897 s, duration: 3.7044 s, snr: 6.05
noise: Scissors_52_0, start: 490.8352 s end: 509.8019 s, duration: 18.9667 s, snr: -0.13
noise: Telephone_829_0, start: 523.7373 s end: 532.0062 s, duration: 8.2689 s, snr: 3.55
noise: Squeak_252_1, start: 530.2752 s end: 537.0266 s, duration: 6.7514 s, snr: 8.19
noise: Babble_107_3, start: 556.6115 s end: 562.1569 s, duration: 5.5454 s, snr: 13.41
noise: Squeak_120_4, start: 564.7301 s end: 570.7578 s, duration: 6.0277 s, snr: 3.11
noise: Computer_856_1, start: 585.2964 s end: 588.8482 s, duration: 3.5517 s, snr: 4.15
noise: Computer_1175_0, start: 631.4602 s end: 636.2419 s, duration: 4.7816 s, snr: 4.69
noise: Computer_740_3, start: 638.6106 s end: 642.3746 s, duration: 3.7640 s, snr: 1.30
noise: Street_87_1, start: 666.5798 s end: 672.1131 s, duration: 5.5332 s, snr: 7.07
noise: Street_31_3, start: 735.8868 s end: 739.4193 s, duration: 3.5325 s, snr: 3.98
noise: Writing_201_2, start: 802.2802 s end: 805.4793 s, duration: 3.1991 s, snr: 7.43
noise: Tool_2631_2, start: 831.2706 s end: 835.7977 s, duration: 4.5271 s, snr: 3.64
noise: Door_509_0, start: 841.4024 s end: 846.7577 s, duration: 5.3552 s, snr: -1.00
noise: Signalization_5_3, start: 842.8171 s end: 854.3994 s, duration: 11.5824 s, snr: 1.60
noise: Telephone_251_1, start: 851.5049 s end: 864.2025 s, duration: 12.6976 s, snr: 7.68
noise: Computer_1124_0, start: 857.9644 s end: 864.1459 s, duration: 6.1815 s, snr: -0.10
