ES2012b, length = 2239.67 s, percent_of_speech = 0.83, percent_of_noises = 0.54
noise: Scissors_14_2, start: 94.7505 s end: 118.5768 s, duration: 23.8263 s, snr: 2.08
noise: Gunshot_107_3, start: 106.9078 s end: 114.3532 s, duration: 7.4454 s, snr: 3.96
noise: Babble_149_2, start: 106.9774 s end: 117.5228 s, duration: 10.5454 s, snr: 18.01
noise: Writing_217_4, start: 120.9502 s end: 125.0361 s, duration: 4.0859 s, snr: 6.09
noise: Drawer_24_4, start: 128.0093 s end: 133.6792 s, duration: 5.6699 s, snr: 8.12
noise: Knock_414_3, start: 132.1053 s end: 137.4068 s, duration: 5.3015 s, snr: 7.20
noise: Telephone_691_2, start: 142.7498 s end: 147.5691 s, duration: 4.8193 s, snr: 2.81
noise: Computer_610_1, start: 154.3970 s end: 158.9540 s, duration: 4.5570 s, snr: 4.77
noise: Knock_1463_0, start: 176.8567 s end: 180.0267 s, duration: 3.1700 s, snr: 9.28
noise: Telephone_805_4, start: 177.8706 s end: 190.4976 s, duration: 12.6270 s, snr: 3.46
noise: Babble_160_0, start: 190.0647 s end: 200.5919 s, duration: 10.5273 s, snr: 15.90
noise: Computer_604_0, start: 195.3365 s end: 199.7370 s, duration: 4.4005 s, snr: 6.42
noise: Telephone_408_2, start: 202.5542 s end: 212.2036 s, duration: 9.6494 s, snr: 2.61
noise: Squeak_85_3, start: 230.2934 s end: 233.8633 s, duration: 3.5699 s, snr: 8.24
noise: Squeak_33_1, start: 240.1277 s end: 243.9883 s, duration: 3.8606 s, snr: 5.03
noise: Computer_315_1, start: 248.2171 s end: 251.5852 s, duration: 3.3681 s, snr: 1.57
noise: Telephone_560_2, start: 251.7423 s end: 259.8383 s, duration: 8.0960 s, snr: 6.39
noise: Telephone_120_4, start: 261.7272 s end: 272.2101 s, duration: 10.4829 s, snr: -1.00
noise: Signalization_29_4, start: 294.9728 s end: 298.4994 s, duration: 3.5266 s, snr: 8.05
noise: Drawer_134_4, start: 298.5769 s end: 308.9842 s, duration: 10.4073 s, snr: 0.27
noise: Door_4658_1, start: 306.6143 s end: 311.1463 s, duration: 4.5320 s, snr: 6.42
noise: Writing_142_1, start: 359.8046 s end: 372.9112 s, duration: 13.1066 s, snr: 4.22
noise: Computer_693_3, start: 375.3174 s end: 379.8002 s, duration: 4.4828 s, snr: -0.01
noise: Telephone_280_1, start: 422.1569 s end: 440.6920 s, duration: 18.5351 s, snr: 8.33
noise: Street_42_0, start: 459.3476 s end: 462.8832 s, duration: 3.5356 s, snr: 6.74
noise: Babble_95_3, start: 475.6425 s end: 481.1750 s, duration: 5.5325 s, snr: 11.92
noise: Drawer_133_3, start: 492.2330 s end: 501.6621 s, duration: 9.4291 s, snr: 2.55
noise: Gunshot_79_0, start: 493.4250 s end: 505.6575 s, duration: 12.2325 s, snr: 3.60
noise: Computer_990_2, start: 512.0730 s end: 515.3499 s, duration: 3.2769 s, snr: 3.68
noise: Babble_7_3, start: 515.4831 s end: 576.0211 s, duration: 60.5380 s, snr: 17.69
noise: Writing_183_4, start: 519.7469 s end: 522.9741 s, duration: 3.2271 s, snr: 8.43
noise: Signalization_59_4, start: 539.0086 s end: 542.5351 s, duration: 3.5265 s, snr: 7.14
noise: Telephone_810_1, start: 548.4633 s end: 554.0859 s, duration: 5.6226 s, snr: 4.75
noise: Door_4411_2, start: 556.9817 s end: 560.1448 s, duration: 3.1631 s, snr: 6.11
noise: Writing_117_4, start: 557.4989 s end: 573.5252 s, duration: 16.0263 s, snr: 4.88
noise: Computer_538_2, start: 580.1407 s end: 586.1998 s, duration: 6.0591 s, snr: 8.53
noise: Telephone_245_1, start: 604.6269 s end: 617.3266 s, duration: 12.6996 s, snr: 7.98
noise: Telephone_634_4, start: 614.1781 s end: 622.8343 s, duration: 8.6562 s, snr: 5.85
noise: Scissors_23_2, start: 631.4661 s end: 639.7121 s, duration: 8.2460 s, snr: 4.64
noise: Drawer_107_0, start: 686.8967 s end: 690.9897 s, duration: 4.0930 s, snr: 1.17
noise: Scissors_30_4, start: 711.1717 s end: 723.9579 s, duration: 12.7862 s, snr: 4.09
noise: Drawer_105_3, start: 734.5751 s end: 739.7833 s, duration: 5.2083 s, snr: 3.24
noise: Squeak_285_1, start: 747.6702 s end: 756.1983 s, duration: 8.5281 s, snr: 3.97
noise: Street_37_2, start: 789.6216 s end: 793.1486 s, duration: 3.5270 s, snr: 6.26
noise: Computer_587_3, start: 793.0807 s end: 796.8713 s, duration: 3.7906 s, snr: 10.31
noise: Door_645_0, start: 809.0558 s end: 813.0438 s, duration: 3.9880 s, snr: 1.55
noise: Signalization_61_0, start: 884.1015 s end: 887.6469 s, duration: 3.5454 s, snr: 3.45
noise: Knock_403_0, start: 898.4069 s end: 903.0563 s, duration: 4.6494 s, snr: 4.87
noise: Knock_466_3, start: 905.4668 s end: 909.2739 s, duration: 3.8071 s, snr: 7.65
