ES2016a, length = 1384.19 s, percent_of_speech = 0.77, percent_of_noises = 0.59
noise: Telephone_348_1, start: 32.1975 s end: 35.5320 s, duration: 3.3345 s, snr: 11.92
noise: Knock_340_0, start: 50.5607 s end: 54.3213 s, duration: 3.7606 s, snr: 1.42
noise: Squeak_107_1, start: 55.9749 s end: 59.8389 s, duration: 3.8640 s, snr: 1.01
noise: Squeak_97_4, start: 56.9412 s end: 62.9889 s, duration: 6.0476 s, snr: 6.04
noise: Telephone_39_2, start: 57.8881 s end: 79.7605 s, duration: 21.8724 s, snr: 1.36
noise: Drawer_107_0, start: 69.9667 s end: 74.0597 s, duration: 4.0930 s, snr: 10.65
noise: Knock_1823_0, start: 107.7426 s end: 113.2377 s, duration: 5.4951 s, snr: 7.26
noise: Computer_1041_3, start: 122.0620 s end: 131.0934 s, duration: 9.0314 s, snr: 6.45
noise: Tool_4076_0, start: 129.2360 s end: 133.7704 s, duration: 4.5344 s, snr: 6.53
noise: Street_45_0, start: 153.7665 s end: 157.2970 s, duration: 3.5305 s, snr: 7.07
noise: Telephone_796_1, start: 163.3310 s end: 167.9387 s, duration: 4.6078 s, snr: 7.98
noise: Telephone_117_3, start: 169.9911 s end: 178.8814 s, duration: 8.8904 s, snr: 7.96
noise: Writing_152_1, start: 198.7885 s end: 204.2545 s, duration: 5.4660 s, snr: 7.71
noise: Babble_95_1, start: 228.7529 s end: 234.2849 s, duration: 5.5320 s, snr: 16.42
noise: Writing_162_0, start: 242.2114 s end: 260.7579 s, duration: 18.5465 s, snr: 7.85
noise: Computer_324_0, start: 248.3862 s end: 252.7829 s, duration: 4.3966 s, snr: 6.72
noise: Computer_766_4, start: 266.3571 s end: 271.2286 s, duration: 4.8715 s, snr: 0.66
noise: Squeak_224_0, start: 294.5158 s end: 320.0820 s, duration: 25.5662 s, snr: 8.92
noise: Telephone_483_4, start: 296.0496 s end: 309.6359 s, duration: 13.5863 s, snr: 6.96
noise: Gunshot_80_0, start: 327.4939 s end: 332.7193 s, duration: 5.2254 s, snr: 4.06
noise: Telephone_601_4, start: 352.2649 s end: 358.1786 s, duration: 5.9136 s, snr: 6.19
noise: Computer_706_2, start: 354.0143 s end: 357.5892 s, duration: 3.5749 s, snr: 0.44
noise: Knock_1813_2, start: 384.3277 s end: 387.5989 s, duration: 3.2711 s, snr: 5.71
noise: Writing_79_3, start: 424.7295 s end: 436.7755 s, duration: 12.0460 s, snr: 1.39
noise: Street_32_0, start: 425.4574 s end: 428.9885 s, duration: 3.5311 s, snr: 7.98
noise: Computer_108_1, start: 430.4769 s end: 440.5637 s, duration: 10.0867 s, snr: 7.59
noise: Drawer_16_4, start: 434.1769 s end: 440.6463 s, duration: 6.4694 s, snr: 4.25
noise: Door_777_1, start: 453.7810 s end: 458.3702 s, duration: 4.5892 s, snr: 8.09
noise: Squeak_281_0, start: 473.8064 s end: 477.0536 s, duration: 3.2473 s, snr: -1.00
noise: Scissors_8_4, start: 475.9546 s end: 483.8006 s, duration: 7.8460 s, snr: 4.50
noise: Telephone_198_2, start: 483.3287 s end: 488.7002 s, duration: 5.3715 s, snr: 5.53
