ES2008a, length = 1043.36 s, percent_of_speech = 0.78, percent_of_noises = 0.53
noise: Drawer_141_3, start: 2.1367 s end: 24.4231 s, duration: 22.2864 s, snr: 7.32
noise: Writing_46_1, start: 3.6359 s end: 27.9021 s, duration: 24.2661 s, snr: 5.49
noise: Telephone_143_3, start: 24.5174 s end: 28.7500 s, duration: 4.2326 s, snr: 3.88
noise: Door_285_3, start: 29.6316 s end: 33.3716 s, duration: 3.7400 s, snr: 3.97
noise: Tool_3846_0, start: 30.5909 s end: 35.1171 s, duration: 4.5263 s, snr: 2.09
noise: Tool_3084_4, start: 72.0872 s end: 77.1210 s, duration: 5.0337 s, snr: 4.50
noise: Squeak_265_0, start: 74.6908 s end: 78.6214 s, duration: 3.9306 s, snr: 8.29
noise: Computer_438_2, start: 79.0853 s end: 88.2518 s, duration: 9.1665 s, snr: 5.48
noise: Babble_124_1, start: 113.2495 s end: 116.8752 s, duration: 3.6257 s, snr: 14.88
noise: Scissors_12_0, start: 114.2510 s end: 117.3290 s, duration: 3.0780 s, snr: 3.95
noise: Computer_1062_3, start: 128.2352 s end: 136.2227 s, duration: 7.9875 s, snr: 4.96
noise: Scissors_17_0, start: 155.7272 s end: 161.1817 s, duration: 5.4545 s, snr: 12.81
noise: Tool_2785_3, start: 168.4844 s end: 173.0153 s, duration: 4.5309 s, snr: 7.72
noise: Writing_264_2, start: 171.0329 s end: 175.8204 s, duration: 4.7875 s, snr: 6.52
noise: Scissors_80_0, start: 172.9406 s end: 190.2866 s, duration: 17.3460 s, snr: 4.04
noise: Writing_264_0, start: 176.3580 s end: 181.1441 s, duration: 4.7861 s, snr: 4.81
noise: Scissors_63_1, start: 177.4759 s end: 181.3346 s, duration: 3.8587 s, snr: -1.00
noise: Door_1780_3, start: 184.5523 s end: 188.0396 s, duration: 3.4872 s, snr: 1.25
noise: Computer_473_0, start: 210.9224 s end: 218.8290 s, duration: 7.9066 s, snr: 11.94
noise: Computer_890_4, start: 213.5374 s end: 217.6607 s, duration: 4.1232 s, snr: 7.82
noise: Squeak_19_4, start: 240.3941 s end: 251.3003 s, duration: 10.9062 s, snr: 5.98
noise: Door_4333_2, start: 278.7141 s end: 282.1751 s, duration: 3.4610 s, snr: 6.99
noise: Scissors_73_3, start: 287.9349 s end: 293.4614 s, duration: 5.5265 s, snr: 4.52
noise: Drawer_86_0, start: 326.9932 s end: 330.2858 s, duration: 3.2925 s, snr: 7.71
noise: Signalization_107_0, start: 340.8844 s end: 346.4203 s, duration: 5.5359 s, snr: 5.90
noise: Scissors_23_1, start: 343.4154 s end: 351.6619 s, duration: 8.2465 s, snr: 4.14
noise: Telephone_453_0, start: 349.8851 s end: 398.1262 s, duration: 48.2411 s, snr: 8.44
noise: Door_1269_3, start: 370.9715 s end: 374.7935 s, duration: 3.8220 s, snr: 7.20
