ES2009d, length = 2114.94 s, percent_of_speech = 0.91, percent_of_noises = 0.53
noise: Scissors_48_4, start: 18.9304 s end: 29.1771 s, duration: 10.2466 s, snr: 7.60
noise: Drawer_37_2, start: 34.2806 s end: 39.8536 s, duration: 5.5730 s, snr: 8.17
noise: Telephone_587_0, start: 44.6933 s end: 50.9194 s, duration: 6.2261 s, snr: 1.70
noise: Signalization_5_0, start: 51.3651 s end: 62.9603 s, duration: 11.5953 s, snr: 5.63
noise: Writing_121_3, start: 73.2653 s end: 89.2118 s, duration: 15.9465 s, snr: 1.88
noise: Scissors_83_0, start: 87.3331 s end: 103.9594 s, duration: 16.6264 s, snr: 2.40
noise: Drawer_136_3, start: 103.8074 s end: 107.4895 s, duration: 3.6821 s, snr: 9.54
noise: Scissors_74_0, start: 129.1989 s end: 135.6859 s, duration: 6.4870 s, snr: 8.72
noise: Drawer_97_1, start: 129.5284 s end: 133.1811 s, duration: 3.6527 s, snr: 4.49
noise: Drawer_61_2, start: 144.2186 s end: 154.7862 s, duration: 10.5676 s, snr: -0.50
noise: Writing_132_0, start: 166.1299 s end: 179.4158 s, duration: 13.2859 s, snr: 6.04
noise: Computer_1103_2, start: 177.5423 s end: 194.0189 s, duration: 16.4766 s, snr: 7.78
noise: Gunshot_124_3, start: 213.0809 s end: 225.7320 s, duration: 12.6511 s, snr: 9.73
noise: Babble_91_4, start: 227.1779 s end: 232.7233 s, duration: 5.5454 s, snr: 17.94
noise: Door_2519_0, start: 230.1112 s end: 233.3462 s, duration: 3.2350 s, snr: 5.15
noise: Door_1220_3, start: 240.2672 s end: 244.9767 s, duration: 4.7095 s, snr: 2.29
noise: Computer_1149_0, start: 253.3332 s end: 260.9861 s, duration: 7.6529 s, snr: 6.63
noise: Door_4971_2, start: 281.2105 s end: 285.0568 s, duration: 3.8462 s, snr: 1.38
noise: Gunshot_117_0, start: 301.1433 s end: 314.9896 s, duration: 13.8464 s, snr: 9.27
noise: Door_1820_3, start: 337.7567 s end: 340.8407 s, duration: 3.0840 s, snr: 3.16
noise: Knock_1171_3, start: 350.6433 s end: 355.8010 s, duration: 5.1577 s, snr: 3.39
noise: Street_11_2, start: 363.8538 s end: 367.3863 s, duration: 3.5325 s, snr: 1.28
noise: Telephone_201_1, start: 372.0039 s end: 393.9751 s, duration: 21.9712 s, snr: 2.94
noise: Tool_3143_2, start: 406.9316 s end: 410.0364 s, duration: 3.1048 s, snr: 7.72
noise: Drawer_56_1, start: 409.5111 s end: 415.6374 s, duration: 6.1263 s, snr: 9.21
noise: Signalization_123_1, start: 417.2956 s end: 422.3401 s, duration: 5.0445 s, snr: 6.43
noise: Computer_697_3, start: 439.0374 s end: 442.2901 s, duration: 3.2526 s, snr: 5.95
noise: Door_1847_3, start: 449.4658 s end: 452.9741 s, duration: 3.5082 s, snr: 6.63
noise: Signalization_109_0, start: 452.2618 s end: 457.8072 s, duration: 5.5454 s, snr: 4.20
noise: Telephone_11_4, start: 455.2116 s end: 476.0704 s, duration: 20.8587 s, snr: 6.49
noise: Scissors_41_0, start: 460.0372 s end: 470.0242 s, duration: 9.9870 s, snr: 4.39
noise: Squeak_82_3, start: 508.9728 s end: 512.1808 s, duration: 3.2080 s, snr: 7.13
noise: Drawer_59_1, start: 526.8416 s end: 530.7378 s, duration: 3.8963 s, snr: 3.62
noise: Street_101_0, start: 554.6824 s end: 560.2278 s, duration: 5.5454 s, snr: 7.26
noise: Computer_904_2, start: 563.5441 s end: 568.1361 s, duration: 4.5920 s, snr: 0.36
noise: Door_2339_4, start: 586.5541 s end: 590.4846 s, duration: 3.9305 s, snr: 5.98
noise: Telephone_233_1, start: 604.0508 s end: 631.1409 s, duration: 27.0901 s, snr: 4.93
noise: Door_1_3, start: 612.7157 s end: 621.3284 s, duration: 8.6128 s, snr: 1.44
noise: Telephone_210_1, start: 621.6034 s end: 646.6441 s, duration: 25.0408 s, snr: 7.49
noise: Telephone_553_4, start: 625.6283 s end: 633.7243 s, duration: 8.0960 s, snr: 4.51
noise: Computer_1126_1, start: 626.2711 s end: 631.7014 s, duration: 5.4304 s, snr: 2.20
noise: Scissors_62_3, start: 636.0459 s end: 644.6131 s, duration: 8.5671 s, snr: 4.78
noise: Telephone_196_1, start: 640.6456 s end: 648.2145 s, duration: 7.5689 s, snr: 5.05
noise: Computer_928_2, start: 653.6969 s end: 658.2167 s, duration: 4.5198 s, snr: 3.69
noise: Knock_401_2, start: 721.0759 s end: 726.9380 s, duration: 5.8621 s, snr: 4.58
noise: Knock_1022_4, start: 779.4686 s end: 784.7203 s, duration: 5.2518 s, snr: 6.18
noise: Drawer_93_1, start: 782.1097 s end: 787.6584 s, duration: 5.5486 s, snr: 6.84
noise: Babble_78_3, start: 791.9478 s end: 797.4932 s, duration: 5.5454 s, snr: 21.94
noise: Squeak_34_4, start: 819.7228 s end: 823.7763 s, duration: 4.0535 s, snr: 7.41
noise: Writing_127_3, start: 846.7309 s end: 850.3836 s, duration: 3.6528 s, snr: 8.99
noise: Squeak_146_1, start: 846.7430 s end: 866.5091 s, duration: 19.7661 s, snr: 3.16
noise: Drawer_83_1, start: 862.2300 s end: 871.1191 s, duration: 8.8891 s, snr: 10.03
noise: Door_4245_4, start: 890.2280 s end: 893.3125 s, duration: 3.0845 s, snr: 3.31
noise: Scissors_68_4, start: 894.7003 s end: 898.0828 s, duration: 3.3825 s, snr: 7.71
noise: Signalization_58_3, start: 917.3561 s end: 920.9001 s, duration: 3.5440 s, snr: 6.83
noise: Drawer_93_1, start: 927.0967 s end: 932.6453 s, duration: 5.5486 s, snr: 4.06
noise: Drawer_0_3, start: 954.8592 s end: 959.0858 s, duration: 4.2266 s, snr: 2.85
noise: Telephone_437_1, start: 982.0547 s end: 1015.4443 s, duration: 33.3896 s, snr: 10.31
noise: Drawer_155_2, start: 983.8994 s end: 988.3472 s, duration: 4.4478 s, snr: 2.90
noise: Knock_1300_0, start: 1016.2008 s end: 1019.9479 s, duration: 3.7471 s, snr: 2.20
noise: Telephone_286_2, start: 1087.9639 s end: 1104.5995 s, duration: 16.6356 s, snr: 5.81
noise: Squeak_169_0, start: 1115.3916 s end: 1142.5193 s, duration: 27.1276 s, snr: -0.24
noise: Telephone_445_1, start: 1118.4147 s end: 1151.8043 s, duration: 33.3896 s, snr: 2.71
