IS1002d, length = 1263.19 s, percent_of_speech = 0.85, percent_of_noises = 0.56
noise: Squeak_125_2, start: 16.9384 s end: 28.4907 s, duration: 11.5523 s, snr: 2.04
noise: Squeak_160_1, start: 21.2826 s end: 26.7416 s, duration: 5.4590 s, snr: 6.53
noise: Telephone_47_0, start: 33.3272 s end: 36.3919 s, duration: 3.0647 s, snr: 3.30
noise: Door_525_0, start: 38.0613 s end: 42.2575 s, duration: 4.1962 s, snr: 4.19
noise: Computer_1271_2, start: 50.1142 s end: 59.7621 s, duration: 9.6479 s, snr: 6.32
noise: Tool_3085_2, start: 97.0367 s end: 101.5662 s, duration: 4.5295 s, snr: 7.48
noise: Babble_154_1, start: 99.8972 s end: 110.4313 s, duration: 10.5341 s, snr: 16.71
noise: Telephone_513_2, start: 123.1389 s end: 129.1319 s, duration: 5.9930 s, snr: 1.86
noise: Telephone_367_1, start: 147.8098 s end: 160.3013 s, duration: 12.4915 s, snr: 7.02
noise: Writing_99_3, start: 149.1142 s end: 154.3680 s, duration: 5.2537 s, snr: 1.07
noise: Street_8_3, start: 177.0495 s end: 207.5844 s, duration: 30.5349 s, snr: 6.26
noise: Computer_847_2, start: 184.0040 s end: 189.7488 s, duration: 5.7448 s, snr: 9.59
noise: Telephone_211_0, start: 213.5842 s end: 231.3341 s, duration: 17.7499 s, snr: 6.58
noise: Knock_1836_0, start: 213.8564 s end: 217.9889 s, duration: 4.1325 s, snr: 6.85
noise: Door_4379_3, start: 216.3196 s end: 220.0864 s, duration: 3.7668 s, snr: 12.08
noise: Squeak_87_4, start: 235.1984 s end: 238.7314 s, duration: 3.5330 s, snr: 4.70
noise: Scissors_29_1, start: 238.2166 s end: 241.9430 s, duration: 3.7264 s, snr: 4.96
noise: Knock_1915_4, start: 249.1867 s end: 254.8002 s, duration: 5.6135 s, snr: 4.88
noise: Writing_25_1, start: 249.2121 s end: 253.4248 s, duration: 4.2127 s, snr: 8.40
noise: Door_1926_2, start: 277.0651 s end: 281.4268 s, duration: 4.3616 s, snr: 7.33
noise: Writing_255_3, start: 290.8904 s end: 300.8567 s, duration: 9.9663 s, snr: 2.30
noise: Scissors_84_2, start: 337.7159 s end: 353.5430 s, duration: 15.8271 s, snr: 6.36
noise: Telephone_612_0, start: 356.0991 s end: 366.1168 s, duration: 10.0176 s, snr: 7.40
noise: Door_1724_2, start: 389.3559 s end: 392.6591 s, duration: 3.3032 s, snr: 4.87
noise: Squeak_154_2, start: 393.3836 s end: 420.3918 s, duration: 27.0083 s, snr: 1.20
noise: Scissors_88_0, start: 420.4994 s end: 436.2661 s, duration: 15.7666 s, snr: 6.10
noise: Computer_19_0, start: 427.4379 s end: 433.8639 s, duration: 6.4260 s, snr: 6.90
noise: Knock_1077_2, start: 442.1310 s end: 449.8759 s, duration: 7.7449 s, snr: 3.58
noise: Scissors_70_2, start: 459.3918 s end: 464.8438 s, duration: 5.4520 s, snr: 4.94
noise: Scissors_77_4, start: 504.2889 s end: 510.4349 s, duration: 6.1460 s, snr: 8.98
noise: Squeak_157_2, start: 543.7283 s end: 552.5384 s, duration: 8.8101 s, snr: 1.15
noise: Telephone_45_1, start: 544.9624 s end: 548.5319 s, duration: 3.5695 s, snr: 1.01
noise: Telephone_165_3, start: 549.3678 s end: 561.4412 s, duration: 12.0735 s, snr: 12.43
noise: Drawer_130_4, start: 582.6791 s end: 604.3889 s, duration: 21.7099 s, snr: 2.87
noise: Babble_192_3, start: 585.6729 s end: 616.2183 s, duration: 30.5454 s, snr: 17.16
