TS3008a, length = 1352.23 s, percent_of_speech = 0.70, percent_of_noises = 0.54
noise: Door_2309_4, start: 83.9741 s end: 87.0420 s, duration: 3.0679 s, snr: 2.51
noise: Computer_823_0, start: 97.2506 s end: 102.3723 s, duration: 5.1218 s, snr: 12.81
noise: Door_4634_4, start: 101.0057 s end: 107.2171 s, duration: 6.2114 s, snr: 1.95
noise: Telephone_444_4, start: 106.2588 s end: 139.6478 s, duration: 33.3890 s, snr: 9.00
noise: Scissors_80_3, start: 117.5842 s end: 134.9302 s, duration: 17.3460 s, snr: 7.47
noise: Knock_841_0, start: 123.4289 s end: 129.1387 s, duration: 5.7097 s, snr: 2.66
noise: Telephone_304_3, start: 123.6761 s end: 128.2998 s, duration: 4.6238 s, snr: 6.86
noise: Writing_226_0, start: 133.7696 s end: 155.1967 s, duration: 21.4271 s, snr: 3.86
noise: Babble_170_3, start: 161.6149 s end: 182.1603 s, duration: 20.5454 s, snr: 25.64
noise: Scissors_9_3, start: 208.3406 s end: 219.7272 s, duration: 11.3866 s, snr: 0.38
noise: Computer_917_1, start: 216.3830 s end: 222.1407 s, duration: 5.7577 s, snr: 1.39
noise: Knock_820_4, start: 233.6396 s end: 239.1444 s, duration: 5.5048 s, snr: 9.43
noise: Squeak_102_1, start: 242.4709 s end: 253.4369 s, duration: 10.9660 s, snr: 4.96
noise: Squeak_268_1, start: 245.5904 s end: 266.9008 s, duration: 21.3104 s, snr: 9.97
noise: Door_660_3, start: 247.2426 s end: 251.5501 s, duration: 4.3075 s, snr: 8.70
noise: Door_1626_4, start: 253.4546 s end: 256.8563 s, duration: 3.4017 s, snr: 5.78
noise: Knock_810_4, start: 268.6838 s end: 271.9229 s, duration: 3.2391 s, snr: 4.64
noise: Street_25_4, start: 275.4234 s end: 278.9632 s, duration: 3.5398 s, snr: 5.60
noise: Squeak_283_0, start: 283.3918 s end: 303.4241 s, duration: 20.0324 s, snr: 1.16
noise: Gunshot_102_2, start: 286.9384 s end: 290.8709 s, duration: 3.9325 s, snr: 7.65
noise: Squeak_13_3, start: 296.0833 s end: 303.3942 s, duration: 7.3109 s, snr: 4.22
noise: Babble_22_2, start: 298.9456 s end: 357.6215 s, duration: 58.6759 s, snr: 18.84
noise: Door_1210_2, start: 303.3891 s end: 308.6583 s, duration: 5.2692 s, snr: 0.17
noise: Computer_638_3, start: 305.1099 s end: 308.7577 s, duration: 3.6477 s, snr: 6.18
noise: Telephone_448_4, start: 306.6533 s end: 340.0387 s, duration: 33.3855 s, snr: 4.30
noise: Signalization_83_2, start: 358.0319 s end: 363.5592 s, duration: 5.5272 s, snr: 6.47
noise: Telephone_381_0, start: 365.6586 s end: 378.8206 s, duration: 13.1620 s, snr: 8.09
noise: Signalization_6_1, start: 391.4444 s end: 397.8317 s, duration: 6.3872 s, snr: 3.66
noise: Knock_1064_0, start: 411.7176 s end: 421.0953 s, duration: 9.3776 s, snr: 8.92
noise: Knock_974_3, start: 462.3841 s end: 465.7301 s, duration: 3.3460 s, snr: 0.96
noise: Tool_3716_4, start: 530.9284 s end: 535.4621 s, duration: 4.5338 s, snr: 1.92
noise: Computer_787_0, start: 554.3103 s end: 559.2836 s, duration: 4.9733 s, snr: 0.14
noise: Signalization_74_2, start: 588.5620 s end: 592.0945 s, duration: 3.5325 s, snr: -0.73
noise: Door_1592_1, start: 624.1786 s end: 627.4484 s, duration: 3.2698 s, snr: 3.21
noise: Drawer_23_2, start: 636.3681 s end: 641.3545 s, duration: 4.9864 s, snr: 2.10
noise: Computer_563_2, start: 643.3922 s end: 648.9163 s, duration: 5.5241 s, snr: 4.15
noise: Scissors_58_2, start: 651.6449 s end: 676.2112 s, duration: 24.5664 s, snr: 4.83
noise: Computer_1207_0, start: 701.0876 s end: 706.3809 s, duration: 5.2932 s, snr: 3.12
