TS3012b, length = 2457.41 s, percent_of_speech = 0.91, percent_of_noises = 0.58
noise: Computer_634_2, start: 46.5027 s end: 50.6677 s, duration: 4.1650 s, snr: 6.05
noise: Telephone_132_3, start: 88.0897 s end: 91.7313 s, duration: 3.6416 s, snr: 5.51
noise: Telephone_518_1, start: 124.7408 s end: 129.8476 s, duration: 5.1068 s, snr: 5.85
noise: Computer_149_0, start: 146.2543 s end: 152.6604 s, duration: 6.4061 s, snr: 5.20
noise: Door_2_2, start: 148.9717 s end: 154.0829 s, duration: 5.1111 s, snr: -1.00
noise: Telephone_671_0, start: 153.8198 s end: 181.0702 s, duration: 27.2504 s, snr: 4.15
noise: Scissors_56_1, start: 156.5009 s end: 161.8762 s, duration: 5.3752 s, snr: 5.11
noise: Squeak_89_1, start: 162.6167 s end: 176.2491 s, duration: 13.6324 s, snr: 4.79
noise: Computer_1115_1, start: 162.7356 s end: 171.4928 s, duration: 8.7573 s, snr: 8.35
noise: Gunshot_76_0, start: 165.2587 s end: 168.4694 s, duration: 3.2107 s, snr: 4.05
noise: Drawer_89_1, start: 197.5212 s end: 205.9682 s, duration: 8.4470 s, snr: 8.04
noise: Tool_4037_0, start: 208.4337 s end: 212.9661 s, duration: 4.5324 s, snr: 4.49
noise: Writing_93_4, start: 214.1849 s end: 242.8310 s, duration: 28.6461 s, snr: 5.13
noise: Telephone_341_4, start: 229.3959 s end: 256.5415 s, duration: 27.1456 s, snr: 2.53
noise: Babble_148_1, start: 249.7544 s end: 260.2869 s, duration: 10.5325 s, snr: 17.92
noise: Computer_118_1, start: 256.4287 s end: 260.0814 s, duration: 3.6527 s, snr: 6.59
noise: Computer_516_4, start: 263.1374 s end: 268.2502 s, duration: 5.1128 s, snr: 3.46
noise: Knock_461_1, start: 285.6830 s end: 290.9810 s, duration: 5.2980 s, snr: 4.37
noise: Door_223_4, start: 298.6276 s end: 303.0989 s, duration: 4.4712 s, snr: 8.98
noise: Door_1648_1, start: 311.8204 s end: 315.5544 s, duration: 3.7340 s, snr: 5.28
noise: Computer_458_3, start: 357.2334 s end: 377.2084 s, duration: 19.9750 s, snr: 2.49
noise: Gunshot_1_3, start: 367.3890 s end: 392.0461 s, duration: 24.6571 s, snr: 5.58
noise: Squeak_65_3, start: 371.3097 s end: 387.2993 s, duration: 15.9896 s, snr: 4.88
noise: Gunshot_66_0, start: 389.9913 s end: 396.8132 s, duration: 6.8219 s, snr: 10.11
noise: Computer_879_0, start: 398.7815 s end: 403.7973 s, duration: 5.0158 s, snr: 3.24
noise: Tool_3399_2, start: 401.5133 s end: 406.0457 s, duration: 4.5324 s, snr: 0.87
noise: Squeak_188_4, start: 415.7967 s end: 420.3694 s, duration: 4.5727 s, snr: 1.10
noise: Knock_1906_2, start: 416.1259 s end: 420.4189 s, duration: 4.2930 s, snr: 5.89
noise: Babble_94_1, start: 449.9767 s end: 455.5043 s, duration: 5.5275 s, snr: 9.05
noise: Computer_832_2, start: 454.7933 s end: 457.9391 s, duration: 3.1457 s, snr: 4.70
noise: Computer_1067_1, start: 456.7584 s end: 464.3081 s, duration: 7.5498 s, snr: 5.19
noise: Knock_1083_1, start: 465.4036 s end: 471.3064 s, duration: 5.9029 s, snr: 8.67
noise: Computer_683_3, start: 485.2744 s end: 489.4716 s, duration: 4.1972 s, snr: 9.52
noise: Squeak_139_0, start: 501.1901 s end: 504.7173 s, duration: 3.5272 s, snr: 4.59
noise: Knock_1401_4, start: 510.2817 s end: 516.0082 s, duration: 5.7265 s, snr: 7.55
noise: Signalization_45_4, start: 511.3783 s end: 515.8586 s, duration: 4.4802 s, snr: 7.08
noise: Telephone_171_1, start: 512.8265 s end: 521.7125 s, duration: 8.8860 s, snr: 3.52
noise: Scissors_53_4, start: 542.9143 s end: 554.1406 s, duration: 11.2264 s, snr: 2.76
noise: Telephone_688_2, start: 550.7793 s end: 555.6010 s, duration: 4.8217 s, snr: 2.79
noise: Signalization_14_3, start: 553.6071 s end: 584.1396 s, duration: 30.5325 s, snr: 3.75
noise: Squeak_296_1, start: 556.1640 s end: 563.1358 s, duration: 6.9718 s, snr: 2.76
noise: Writing_122_4, start: 570.5414 s end: 593.0876 s, duration: 22.5461 s, snr: 9.00
noise: Squeak_228_1, start: 595.8658 s end: 600.9196 s, duration: 5.0538 s, snr: 5.39
noise: Computer_300_4, start: 639.8981 s end: 644.7119 s, duration: 4.8137 s, snr: 8.87
noise: Telephone_497_0, start: 643.9714 s end: 656.6760 s, duration: 12.7046 s, snr: 6.13
