IS1000d, length = 2618.45 s, percent_of_speech = 0.84, percent_of_noises = 0.47
noise: Telephone_613_1, start: 3.5819 s end: 14.2198 s, duration: 10.6379 s, snr: 6.22
noise: Signalization_131_3, start: 14.3988 s end: 24.9274 s, duration: 10.5286 s, snr: 4.31
noise: Scissors_15_1, start: 52.8975 s end: 60.8634 s, duration: 7.9659 s, snr: 2.55
noise: Street_133_1, start: 62.4836 s end: 71.9036 s, duration: 9.4200 s, snr: 8.26
noise: Babble_45_4, start: 74.4472 s end: 79.9783 s, duration: 5.5310 s, snr: 17.04
noise: Street_111_0, start: 101.9972 s end: 107.5297 s, duration: 5.5325 s, snr: 6.87
noise: Knock_50_4, start: 111.2844 s end: 133.0768 s, duration: 21.7924 s, snr: 2.51
noise: Door_4873_1, start: 142.2596 s end: 147.9401 s, duration: 5.6805 s, snr: 4.02
noise: Computer_644_1, start: 168.8992 s end: 173.0103 s, duration: 4.1111 s, snr: 5.85
noise: Street_98_4, start: 175.9332 s end: 179.4657 s, duration: 3.5325 s, snr: 7.28
noise: Telephone_51_4, start: 179.7620 s end: 182.8667 s, duration: 3.1047 s, snr: 2.06
noise: Squeak_53_2, start: 182.3939 s end: 185.9687 s, duration: 3.5747 s, snr: 3.58
noise: Knock_1456_1, start: 182.8818 s end: 187.5196 s, duration: 4.6378 s, snr: 3.88
noise: Computer_113_4, start: 201.2612 s end: 209.8284 s, duration: 8.5673 s, snr: 4.95
noise: Telephone_1_1, start: 214.8433 s end: 218.4153 s, duration: 3.5720 s, snr: 3.32
noise: Door_2449_2, start: 218.8269 s end: 222.1669 s, duration: 3.3400 s, snr: -0.04
noise: Door_2367_4, start: 234.9925 s end: 238.2599 s, duration: 3.2674 s, snr: 3.86
noise: Door_740_4, start: 239.9592 s end: 245.8410 s, duration: 5.8818 s, snr: -0.29
noise: Babble_142_1, start: 271.3596 s end: 281.8879 s, duration: 10.5284 s, snr: 10.41
noise: Squeak_179_1, start: 295.5435 s end: 299.5190 s, duration: 3.9755 s, snr: 9.38
noise: Drawer_72_4, start: 320.4186 s end: 327.3446 s, duration: 6.9260 s, snr: 6.23
noise: Babble_19_1, start: 417.9800 s end: 423.2515 s, duration: 5.2715 s, snr: 16.25
noise: Telephone_622_3, start: 423.9239 s end: 434.5683 s, duration: 10.6444 s, snr: 6.42
noise: Computer_581_4, start: 537.7046 s end: 541.0616 s, duration: 3.3570 s, snr: 11.63
noise: Squeak_224_3, start: 546.8149 s end: 572.3839 s, duration: 25.5690 s, snr: 8.44
noise: Squeak_40_1, start: 588.4502 s end: 598.8201 s, duration: 10.3699 s, snr: 5.80
