IN1014, length = 3692.95 s, percent_of_speech = 0.92, percent_of_noises = 0.40
noise: Tool_3681_2, start: 11.5669 s end: 16.0976 s, duration: 4.5308 s, snr: 2.89
noise: Computer_759_4, start: 35.2123 s end: 41.2103 s, duration: 5.9980 s, snr: 3.40
noise: Squeak_86_1, start: 36.5088 s end: 41.7311 s, duration: 5.2223 s, snr: 7.55
noise: Drawer_118_3, start: 41.2807 s end: 46.9869 s, duration: 5.7061 s, snr: 8.63
noise: Knock_56_4, start: 46.2435 s end: 50.0415 s, duration: 3.7980 s, snr: -0.57
noise: Telephone_418_2, start: 68.6687 s end: 112.0463 s, duration: 43.3776 s, snr: 5.23
noise: Tool_3262_0, start: 116.6287 s end: 121.1569 s, duration: 4.5281 s, snr: 4.82
noise: Computer_729_4, start: 135.0261 s end: 138.1149 s, duration: 3.0888 s, snr: 1.79
noise: Babble_97_1, start: 143.0089 s end: 148.5467 s, duration: 5.5377 s, snr: 15.52
noise: Door_4707_0, start: 161.8301 s end: 166.5376 s, duration: 4.7075 s, snr: 6.35
noise: Squeak_124_4, start: 230.3419 s end: 237.2094 s, duration: 6.8675 s, snr: 4.79
noise: Writing_108_2, start: 245.4782 s end: 248.5247 s, duration: 3.0465 s, snr: 5.37
noise: Writing_210_0, start: 291.0874 s end: 315.8534 s, duration: 24.7660 s, snr: 4.44
noise: Squeak_84_3, start: 308.7548 s end: 320.5014 s, duration: 11.7466 s, snr: 7.81
noise: Computer_944_2, start: 309.9865 s end: 313.6395 s, duration: 3.6530 s, snr: 6.96
noise: Door_474_1, start: 317.8080 s end: 321.3578 s, duration: 3.5498 s, snr: 3.40
noise: Telephone_802_3, start: 325.7226 s end: 338.1201 s, duration: 12.3975 s, snr: 4.54
noise: Tool_3591_2, start: 367.1239 s end: 371.6563 s, duration: 4.5324 s, snr: 8.95
noise: Gunshot_18_0, start: 405.8931 s end: 426.6256 s, duration: 20.7325 s, snr: 7.05
noise: Scissors_13_4, start: 406.5291 s end: 409.8448 s, duration: 3.3157 s, snr: 1.38
noise: Telephone_291_2, start: 406.9881 s end: 422.7515 s, duration: 15.7634 s, snr: 2.32
noise: Computer_305_0, start: 432.5684 s end: 437.2549 s, duration: 4.6865 s, snr: 3.54
noise: Babble_55_4, start: 476.7316 s end: 482.2654 s, duration: 5.5337 s, snr: 14.76
noise: Signalization_75_1, start: 491.3594 s end: 494.8899 s, duration: 3.5305 s, snr: 5.76
noise: Knock_1115_2, start: 540.6831 s end: 547.0773 s, duration: 6.3941 s, snr: -1.00
noise: Signalization_61_0, start: 604.7816 s end: 608.3269 s, duration: 3.5454 s, snr: 4.56
noise: Telephone_805_4, start: 610.8129 s end: 623.4399 s, duration: 12.6270 s, snr: 4.89
noise: Computer_784_3, start: 612.3904 s end: 618.2579 s, duration: 5.8675 s, snr: 8.63
noise: Telephone_438_2, start: 629.9229 s end: 663.3112 s, duration: 33.3882 s, snr: 3.05
noise: Drawer_142_4, start: 653.4122 s end: 656.8252 s, duration: 3.4130 s, snr: 4.74
noise: Computer_251_0, start: 660.7429 s end: 668.9969 s, duration: 8.2540 s, snr: 4.61
noise: Telephone_462_0, start: 662.5436 s end: 665.7199 s, duration: 3.1762 s, snr: 5.36
noise: Knock_876_3, start: 666.2816 s end: 672.1331 s, duration: 5.8515 s, snr: 11.49
noise: Knock_696_3, start: 669.8690 s end: 676.2112 s, duration: 6.3422 s, snr: 5.46
noise: Gunshot_24_3, start: 679.7103 s end: 684.7753 s, duration: 5.0650 s, snr: 6.95
noise: Street_81_3, start: 683.0121 s end: 688.5446 s, duration: 5.5325 s, snr: -0.44
noise: Babble_19_3, start: 690.8081 s end: 696.0794 s, duration: 5.2713 s, snr: 18.56
noise: Telephone_212_1, start: 704.2489 s end: 726.2234 s, duration: 21.9745 s, snr: 9.06
noise: Writing_34_2, start: 716.8542 s end: 721.3072 s, duration: 4.4530 s, snr: 6.07
noise: Knock_1487_0, start: 743.4406 s end: 748.4658 s, duration: 5.0252 s, snr: 6.51
