ES2016d, length = 1523.25 s, percent_of_speech = 0.81, percent_of_noises = 0.56
noise: Scissors_27_2, start: 52.2384 s end: 62.8856 s, duration: 10.6471 s, snr: 0.90
noise: Squeak_144_0, start: 55.7344 s end: 59.5087 s, duration: 3.7743 s, snr: 8.26
noise: Knock_781_3, start: 72.5794 s end: 75.6618 s, duration: 3.0824 s, snr: 6.73
noise: Computer_148_0, start: 95.9763 s end: 102.2749 s, duration: 6.2986 s, snr: 2.83
noise: Knock_401_3, start: 104.2322 s end: 110.0863 s, duration: 5.8540 s, snr: 6.22
noise: Telephone_780_2, start: 132.1748 s end: 138.9417 s, duration: 6.7669 s, snr: 10.46
noise: Drawer_120_3, start: 182.7787 s end: 186.8242 s, duration: 4.0455 s, snr: -1.00
noise: Street_162_1, start: 190.1416 s end: 197.9694 s, duration: 7.8279 s, snr: 5.69
noise: Telephone_583_0, start: 202.1742 s end: 223.1343 s, duration: 20.9601 s, snr: 5.87
noise: Squeak_149_3, start: 204.2230 s end: 211.0134 s, duration: 6.7904 s, snr: 6.32
noise: Computer_1156_4, start: 215.1972 s end: 223.7534 s, duration: 8.5561 s, snr: 9.28
noise: Street_141_3, start: 248.8299 s end: 259.3564 s, duration: 10.5265 s, snr: 10.30
noise: Knock_515_0, start: 261.9975 s end: 266.8385 s, duration: 4.8410 s, snr: 2.60
noise: Computer_842_1, start: 262.1475 s end: 266.7260 s, duration: 4.5785 s, snr: 0.89
noise: Writing_32_0, start: 292.7994 s end: 295.8521 s, duration: 3.0528 s, snr: 7.13
noise: Babble_201_2, start: 301.0353 s end: 331.5677 s, duration: 30.5325 s, snr: 13.33
noise: Computer_173_1, start: 347.8477 s end: 352.2394 s, duration: 4.3918 s, snr: -0.06
noise: Writing_65_0, start: 362.1846 s end: 365.9198 s, duration: 3.7352 s, snr: 6.16
noise: Knock_1005_0, start: 365.5097 s end: 368.9726 s, duration: 3.4629 s, snr: 3.06
noise: Telephone_574_1, start: 373.6928 s end: 389.3083 s, duration: 15.6155 s, snr: 4.99
noise: Computer_968_1, start: 380.7215 s end: 383.7247 s, duration: 3.0032 s, snr: 3.95
