TS3011d, length = 2157.41 s, percent_of_speech = 0.74, percent_of_noises = 0.54
noise: Drawer_131_2, start: 31.7539 s end: 44.3399 s, duration: 12.5860 s, snr: 7.51
noise: Telephone_68_4, start: 44.5037 s end: 51.5901 s, duration: 7.0864 s, snr: 4.48
noise: Gunshot_60_2, start: 52.3068 s end: 56.3429 s, duration: 4.0361 s, snr: 6.74
noise: Telephone_741_2, start: 54.8871 s end: 85.4181 s, duration: 30.5310 s, snr: 5.69
noise: Computer_3_2, start: 60.3384 s end: 84.8658 s, duration: 24.5274 s, snr: 6.25
noise: Signalization_33_0, start: 73.3601 s end: 76.9054 s, duration: 3.5454 s, snr: 10.63
noise: Door_251_1, start: 82.4163 s end: 86.6268 s, duration: 4.2105 s, snr: 3.36
noise: Door_213_0, start: 130.6683 s end: 134.1005 s, duration: 3.4323 s, snr: 2.41
noise: Squeak_229_4, start: 140.1632 s end: 143.8747 s, duration: 3.7115 s, snr: 5.06
noise: Scissors_40_2, start: 185.1228 s end: 200.8698 s, duration: 15.7470 s, snr: -1.00
noise: Scissors_59_3, start: 198.4625 s end: 219.9478 s, duration: 21.4853 s, snr: 8.67
noise: Knock_903_2, start: 210.1709 s end: 213.7855 s, duration: 3.6146 s, snr: 5.01
noise: Telephone_561_2, start: 216.8239 s end: 225.3889 s, duration: 8.5650 s, snr: 5.28
noise: Tool_3067_1, start: 237.0079 s end: 241.1603 s, duration: 4.1524 s, snr: 3.41
noise: Babble_203_3, start: 275.8856 s end: 306.4203 s, duration: 30.5346 s, snr: 18.01
noise: Door_2469_0, start: 278.4651 s end: 281.6186 s, duration: 3.1535 s, snr: 1.60
noise: Computer_666_3, start: 279.4019 s end: 284.2704 s, duration: 4.8685 s, snr: 7.27
noise: Squeak_129_1, start: 283.6526 s end: 292.0011 s, duration: 8.3485 s, snr: 8.27
noise: Street_158_0, start: 287.8856 s end: 303.4181 s, duration: 15.5325 s, snr: 11.72
noise: Squeak_140_1, start: 295.9107 s end: 299.7697 s, duration: 3.8590 s, snr: 4.26
noise: Computer_1024_4, start: 338.2045 s end: 347.5505 s, duration: 9.3460 s, snr: 5.40
noise: Writing_68_1, start: 342.4932 s end: 345.6993 s, duration: 3.2060 s, snr: 2.06
noise: Drawer_110_3, start: 356.4885 s end: 369.5360 s, duration: 13.0475 s, snr: 2.68
noise: Babble_128_2, start: 380.6506 s end: 391.1769 s, duration: 10.5264 s, snr: 20.80
noise: Babble_69_3, start: 395.9966 s end: 401.5289 s, duration: 5.5324 s, snr: 18.18
noise: Door_2386_2, start: 407.0884 s end: 410.5544 s, duration: 3.4660 s, snr: 4.25
noise: Computer_744_2, start: 415.5222 s end: 418.5561 s, duration: 3.0339 s, snr: 3.32
noise: Tool_3926_2, start: 459.5008 s end: 464.0292 s, duration: 4.5284 s, snr: 3.70
noise: Telephone_604_3, start: 469.9494 s end: 476.1728 s, duration: 6.2234 s, snr: 9.21
noise: Squeak_67_3, start: 498.8300 s end: 502.4110 s, duration: 3.5810 s, snr: 9.96
noise: Knock_649_2, start: 536.8024 s end: 542.6412 s, duration: 5.8388 s, snr: 3.54
noise: Drawer_133_4, start: 547.8806 s end: 557.3083 s, duration: 9.4278 s, snr: 7.94
noise: Scissors_83_4, start: 563.6171 s end: 580.2429 s, duration: 16.6259 s, snr: 5.77
noise: Scissors_80_3, start: 565.2165 s end: 582.5625 s, duration: 17.3460 s, snr: 5.26
noise: Squeak_30_4, start: 567.8550 s end: 571.0700 s, duration: 3.2150 s, snr: 2.69
noise: Babble_199_3, start: 580.2092 s end: 610.7418 s, duration: 30.5325 s, snr: 17.44
noise: Squeak_98_2, start: 598.7553 s end: 603.2848 s, duration: 4.5295 s, snr: 2.14
noise: Door_1984_1, start: 671.3737 s end: 675.1166 s, duration: 3.7429 s, snr: 8.09
noise: Door_1439_0, start: 676.6562 s end: 681.5557 s, duration: 4.8995 s, snr: 10.52
noise: Computer_1083_1, start: 700.1479 s end: 714.7280 s, duration: 14.5801 s, snr: 2.10
noise: Babble_118_2, start: 708.9573 s end: 714.4859 s, duration: 5.5286 s, snr: 18.34
noise: Door_518_1, start: 722.2763 s end: 725.6392 s, duration: 3.3630 s, snr: 8.11
noise: Telephone_387_0, start: 756.1221 s end: 769.4538 s, duration: 13.3316 s, snr: 1.11
noise: Telephone_510_4, start: 772.7687 s end: 775.9829 s, duration: 3.2141 s, snr: 6.78
noise: Telephone_181_0, start: 825.8271 s end: 833.3959 s, duration: 7.5688 s, snr: 7.38
noise: Scissors_77_4, start: 828.3324 s end: 834.4784 s, duration: 6.1460 s, snr: 3.78
noise: Squeak_128_3, start: 870.2411 s end: 899.0881 s, duration: 28.8470 s, snr: 3.72
noise: Knock_1536_1, start: 887.3238 s end: 891.2858 s, duration: 3.9620 s, snr: 4.34
noise: Knock_1073_0, start: 895.1797 s end: 905.1989 s, duration: 10.0193 s, snr: 3.95
noise: Telephone_298_1, start: 916.4289 s end: 930.3639 s, duration: 13.9350 s, snr: 7.30
noise: Drawer_18_2, start: 925.1105 s end: 953.4781 s, duration: 28.3676 s, snr: 3.01
noise: Signalization_26_1, start: 930.2391 s end: 933.7716 s, duration: 3.5325 s, snr: 7.99
noise: Telephone_168_3, start: 956.5604 s end: 965.4462 s, duration: 8.8859 s, snr: 5.63
noise: Knock_1603_3, start: 960.4837 s end: 963.7675 s, duration: 3.2838 s, snr: 8.15
noise: Signalization_15_4, start: 983.4450 s end: 988.6510 s, duration: 5.2060 s, snr: 7.60
noise: Telephone_82_1, start: 1077.9170 s end: 1081.6094 s, duration: 3.6924 s, snr: -0.76
noise: Babble_47_4, start: 1101.0596 s end: 1106.5921 s, duration: 5.5325 s, snr: 12.64
noise: Computer_722_2, start: 1109.8603 s end: 1114.1633 s, duration: 4.3030 s, snr: 5.30
noise: Squeak_275_4, start: 1114.0351 s end: 1119.2544 s, duration: 5.2192 s, snr: 5.60
noise: Drawer_90_0, start: 1117.8697 s end: 1123.7242 s, duration: 5.8545 s, snr: 7.44
noise: Babble_80_2, start: 1127.2938 s end: 1132.8231 s, duration: 5.5293 s, snr: 16.03
noise: Tool_2992_1, start: 1132.7901 s end: 1137.3181 s, duration: 4.5280 s, snr: 3.51
noise: Door_1508_1, start: 1150.8115 s end: 1154.0853 s, duration: 3.2738 s, snr: 5.06
noise: Scissors_64_2, start: 1152.9075 s end: 1165.3339 s, duration: 12.4264 s, snr: 9.38
