ES2002b, length = 2279.75 s, percent_of_speech = 0.87, percent_of_noises = 0.44
noise: Signalization_48_0, start: 8.3378 s end: 11.8688 s, duration: 3.5310 s, snr: 3.16
noise: Writing_171_4, start: 31.2039 s end: 38.9899 s, duration: 7.7860 s, snr: 4.04
noise: Computer_342_1, start: 46.5806 s end: 51.5129 s, duration: 4.9323 s, snr: 8.73
noise: Street_135_3, start: 60.1932 s end: 70.7258 s, duration: 10.5325 s, snr: 6.71
noise: Street_113_4, start: 82.4005 s end: 87.9271 s, duration: 5.5266 s, snr: 3.05
noise: Tool_3115_3, start: 100.5189 s end: 105.0512 s, duration: 4.5324 s, snr: 4.51
noise: Telephone_552_2, start: 104.4398 s end: 112.9163 s, duration: 8.4765 s, snr: 1.33
noise: Computer_1001_1, start: 142.2869 s end: 149.7543 s, duration: 7.4674 s, snr: 7.45
noise: Computer_420_4, start: 152.0101 s end: 171.1785 s, duration: 19.1684 s, snr: 1.12
noise: Gunshot_12_2, start: 155.7999 s end: 160.0453 s, duration: 4.2454 s, snr: 7.98
noise: Telephone_332_1, start: 229.8938 s end: 253.8411 s, duration: 23.9472 s, snr: 7.41
noise: Squeak_104_0, start: 245.6223 s end: 250.5998 s, duration: 4.9775 s, snr: 7.26
noise: Babble_203_1, start: 262.1921 s end: 292.7375 s, duration: 30.5454 s, snr: 16.37
noise: Drawer_105_4, start: 281.3297 s end: 286.5393 s, duration: 5.2096 s, snr: 4.90
noise: Squeak_65_3, start: 285.8607 s end: 301.8503 s, duration: 15.9896 s, snr: 0.56
noise: Writing_174_2, start: 290.8638 s end: 301.0297 s, duration: 10.1659 s, snr: 2.90
noise: Tool_2649_3, start: 315.1412 s end: 319.6717 s, duration: 4.5305 s, snr: 5.14
noise: Drawer_37_4, start: 366.2188 s end: 371.7942 s, duration: 5.5755 s, snr: -1.00
noise: Street_67_4, start: 370.7249 s end: 374.2574 s, duration: 3.5325 s, snr: 3.59
noise: Squeak_197_3, start: 375.4716 s end: 381.7379 s, duration: 6.2664 s, snr: 5.72
noise: Computer_1250_1, start: 424.7255 s end: 436.6124 s, duration: 11.8869 s, snr: 6.69
noise: Computer_1188_3, start: 451.7146 s end: 456.0210 s, duration: 4.3064 s, snr: 10.81
noise: Computer_147_1, start: 454.3621 s end: 458.8710 s, duration: 4.5089 s, snr: 8.03
noise: Squeak_289_2, start: 467.6782 s end: 494.4252 s, duration: 26.7470 s, snr: 4.15
