ES2011d, length = 1982.33 s, percent_of_speech = 0.77, percent_of_noises = 0.49
noise: Writing_5_4, start: 1.1362 s end: 5.3622 s, duration: 4.2260 s, snr: 8.19
noise: Gunshot_146_0, start: 25.4061 s end: 28.5186 s, duration: 3.1125 s, snr: 2.82
noise: Door_583_4, start: 26.7756 s end: 32.5241 s, duration: 5.7485 s, snr: 3.84
noise: Writing_171_1, start: 73.7050 s end: 81.4912 s, duration: 7.7862 s, snr: 8.18
noise: Squeak_212_3, start: 95.1972 s end: 104.5838 s, duration: 9.3866 s, snr: 4.03
noise: Street_142_4, start: 150.4811 s end: 161.0136 s, duration: 10.5325 s, snr: 6.74
noise: Knock_1305_0, start: 152.7133 s end: 156.8818 s, duration: 4.1685 s, snr: 8.37
noise: Gunshot_31_0, start: 157.5014 s end: 172.5867 s, duration: 15.0854 s, snr: 4.69
noise: Telephone_581_0, start: 159.1841 s end: 178.7091 s, duration: 19.5250 s, snr: 2.90
noise: Squeak_212_1, start: 177.0002 s end: 186.3866 s, duration: 9.3864 s, snr: 7.07
noise: Door_1475_2, start: 220.5129 s end: 223.8949 s, duration: 3.3820 s, snr: 6.26
noise: Door_204_3, start: 254.9476 s end: 259.8511 s, duration: 4.9035 s, snr: 2.26
noise: Computer_262_1, start: 262.6893 s end: 270.2019 s, duration: 7.5126 s, snr: 6.89
noise: Writing_105_2, start: 299.8514 s end: 310.2374 s, duration: 10.3860 s, snr: 5.59
noise: Squeak_282_3, start: 323.2464 s end: 329.5331 s, duration: 6.2866 s, snr: 9.60
noise: Babble_151_3, start: 353.9606 s end: 364.5059 s, duration: 10.5454 s, snr: 13.73
noise: Writing_185_4, start: 355.9185 s end: 362.0046 s, duration: 6.0861 s, snr: 4.70
noise: Babble_12_2, start: 385.9376 s end: 446.4654 s, duration: 60.5277 s, snr: 14.82
noise: Computer_572_2, start: 395.3499 s end: 401.3380 s, duration: 5.9881 s, snr: 9.47
noise: Signalization_58_3, start: 426.0665 s end: 429.6105 s, duration: 3.5440 s, snr: 7.99
noise: Squeak_41_2, start: 461.3519 s end: 464.5521 s, duration: 3.2002 s, snr: 0.43
noise: Knock_1364_0, start: 517.7668 s end: 523.2470 s, duration: 5.4802 s, snr: 6.59
noise: Street_90_1, start: 548.3119 s end: 553.8461 s, duration: 5.5343 s, snr: 4.16
noise: Computer_294_4, start: 574.0215 s end: 579.2711 s, duration: 5.2496 s, snr: 4.15
noise: Gunshot_142_0, start: 577.8379 s end: 581.0201 s, duration: 3.1822 s, snr: 6.78
noise: Scissors_52_0, start: 588.2637 s end: 607.2305 s, duration: 18.9668 s, snr: 1.90
noise: Computer_637_1, start: 589.6095 s end: 594.8615 s, duration: 5.2520 s, snr: 6.04
noise: Babble_114_4, start: 607.3211 s end: 612.8536 s, duration: 5.5325 s, snr: 12.30
noise: Drawer_115_3, start: 627.4153 s end: 631.5941 s, duration: 4.1787 s, snr: 6.72
noise: Drawer_116_1, start: 642.7085 s end: 648.4818 s, duration: 5.7733 s, snr: 7.93
noise: Knock_629_3, start: 651.1936 s end: 655.1363 s, duration: 3.9428 s, snr: 4.91
noise: Babble_124_4, start: 663.4429 s end: 667.0937 s, duration: 3.6508 s, snr: 14.15
noise: Scissors_80_4, start: 696.2309 s end: 713.5769 s, duration: 17.3460 s, snr: 5.88
