IN1016, length = 3604.38 s, percent_of_speech = 0.96, percent_of_noises = 0.46
noise: Telephone_216_4, start: 14.1425 s end: 34.6061 s, duration: 20.4636 s, snr: 2.12
noise: Scissors_3_1, start: 56.1527 s end: 60.6790 s, duration: 4.5263 s, snr: 10.64
noise: Writing_125_1, start: 56.6990 s end: 82.2669 s, duration: 25.5679 s, snr: 6.40
noise: Squeak_197_2, start: 60.1148 s end: 66.3849 s, duration: 6.2701 s, snr: 5.51
noise: Scissors_40_4, start: 63.6665 s end: 79.4125 s, duration: 15.7460 s, snr: 8.40
noise: Computer_430_2, start: 99.8074 s end: 119.8181 s, duration: 20.0106 s, snr: 7.01
noise: Babble_10_3, start: 99.9556 s end: 160.4847 s, duration: 60.5291 s, snr: 13.69
noise: Door_2267_4, start: 191.8287 s end: 195.4737 s, duration: 3.6450 s, snr: 1.93
noise: Drawer_4_0, start: 194.7815 s end: 197.8606 s, duration: 3.0791 s, snr: 4.66
noise: Telephone_227_2, start: 249.5841 s end: 275.1303 s, duration: 25.5463 s, snr: 5.33
noise: Street_77_4, start: 271.9664 s end: 277.4934 s, duration: 5.5270 s, snr: 9.13
noise: Drawer_37_0, start: 277.4848 s end: 283.0593 s, duration: 5.5745 s, snr: 1.14
noise: Street_49_4, start: 283.8130 s end: 287.3584 s, duration: 3.5454 s, snr: 8.20
noise: Drawer_25_1, start: 302.7226 s end: 311.4294 s, duration: 8.7067 s, snr: 3.44
noise: Computer_1220_3, start: 323.6479 s end: 327.9838 s, duration: 4.3359 s, snr: 6.45
noise: Door_1351_1, start: 331.1830 s end: 335.2672 s, duration: 4.0842 s, snr: 8.34
noise: Squeak_94_4, start: 334.0010 s end: 340.9874 s, duration: 6.9864 s, snr: 5.75
noise: Telephone_220_3, start: 357.0240 s end: 377.9391 s, duration: 20.9151 s, snr: -0.46
noise: Babble_155_4, start: 368.9748 s end: 379.5148 s, duration: 10.5400 s, snr: 13.58
noise: Signalization_126_2, start: 398.5373 s end: 401.7021 s, duration: 3.1648 s, snr: 5.67
noise: Computer_720_1, start: 404.4539 s end: 408.8089 s, duration: 4.3550 s, snr: 5.64
noise: Knock_1389_2, start: 405.0377 s end: 408.7584 s, duration: 3.7208 s, snr: 6.98
noise: Door_811_2, start: 411.8793 s end: 415.6843 s, duration: 3.8050 s, snr: 7.84
noise: Telephone_200_1, start: 434.6553 s end: 444.4735 s, duration: 9.8182 s, snr: 7.85
noise: Telephone_21_2, start: 438.3728 s end: 441.6912 s, duration: 3.3184 s, snr: 4.08
noise: Telephone_148_0, start: 459.1255 s end: 466.1751 s, duration: 7.0496 s, snr: 6.66
noise: Tool_2893_2, start: 474.3056 s end: 478.8343 s, duration: 4.5288 s, snr: 5.45
noise: Street_138_3, start: 482.4603 s end: 493.0057 s, duration: 10.5454 s, snr: 4.25
noise: Door_1169_4, start: 493.7461 s end: 498.6244 s, duration: 4.8782 s, snr: 11.07
noise: Drawer_47_2, start: 507.5503 s end: 514.5979 s, duration: 7.0476 s, snr: 6.47
noise: Squeak_190_3, start: 552.6958 s end: 557.8639 s, duration: 5.1681 s, snr: 3.04
noise: Street_36_3, start: 552.9609 s end: 556.4982 s, duration: 3.5374 s, snr: 8.95
noise: Computer_762_3, start: 567.4562 s end: 573.0239 s, duration: 5.5677 s, snr: 7.93
noise: Telephone_305_4, start: 591.1071 s end: 596.0457 s, duration: 4.9386 s, snr: 3.37
noise: Babble_149_4, start: 596.1262 s end: 606.6589 s, duration: 10.5327 s, snr: 17.22
noise: Computer_795_3, start: 613.2491 s end: 618.6656 s, duration: 5.4165 s, snr: 9.99
noise: Squeak_240_0, start: 616.2834 s end: 629.5919 s, duration: 13.3085 s, snr: 0.68
noise: Door_4664_2, start: 621.0650 s end: 624.4065 s, duration: 3.3415 s, snr: 5.02
noise: Knock_98_0, start: 647.7474 s end: 651.3140 s, duration: 3.5666 s, snr: 4.32
noise: Drawer_30_3, start: 649.0115 s end: 652.2283 s, duration: 3.2168 s, snr: 9.02
noise: Squeak_289_4, start: 651.1154 s end: 677.8648 s, duration: 26.7494 s, snr: 0.93
noise: Telephone_490_0, start: 681.5057 s end: 695.0969 s, duration: 13.5912 s, snr: 4.81
noise: Computer_110_3, start: 682.5831 s end: 687.6494 s, duration: 5.0664 s, snr: 6.42
noise: Knock_910_1, start: 686.5199 s end: 692.4154 s, duration: 5.8955 s, snr: 5.69
noise: Writing_165_4, start: 707.5478 s end: 721.3341 s, duration: 13.7862 s, snr: 6.14
noise: Door_4765_0, start: 713.3547 s end: 716.6619 s, duration: 3.3073 s, snr: 10.34
noise: Writing_247_4, start: 785.0956 s end: 809.1019 s, duration: 24.0064 s, snr: 0.27
noise: Knock_464_0, start: 797.5075 s end: 800.8148 s, duration: 3.3072 s, snr: 7.02
noise: Scissors_36_2, start: 826.2935 s end: 840.4195 s, duration: 14.1260 s, snr: 7.87
noise: Knock_569_3, start: 832.6743 s end: 837.0211 s, duration: 4.3467 s, snr: 5.80
noise: Computer_918_1, start: 867.7809 s end: 871.7796 s, duration: 3.9987 s, snr: -0.90
noise: Door_1914_0, start: 897.3922 s end: 900.5927 s, duration: 3.2005 s, snr: 6.84
noise: Scissors_41_0, start: 998.8172 s end: 1008.8042 s, duration: 9.9870 s, snr: 7.31
noise: Signalization_25_4, start: 1009.1827 s end: 1012.7278 s, duration: 3.5451 s, snr: 3.44
noise: Computer_674_4, start: 1079.6114 s end: 1083.1915 s, duration: 3.5801 s, snr: 6.82
noise: Scissors_14_3, start: 1104.4887 s end: 1128.3163 s, duration: 23.8276 s, snr: 2.48
noise: Door_531_4, start: 1158.1304 s end: 1164.1660 s, duration: 6.0356 s, snr: 8.86
noise: Knock_5_4, start: 1189.8584 s end: 1192.9307 s, duration: 3.0724 s, snr: 7.85
noise: Knock_1116_1, start: 1228.7574 s end: 1236.1015 s, duration: 7.3441 s, snr: 10.08
noise: Scissors_54_4, start: 1231.2566 s end: 1241.2831 s, duration: 10.0265 s, snr: 7.89
noise: Knock_1843_1, start: 1274.5654 s end: 1278.6489 s, duration: 4.0835 s, snr: 7.96
noise: Door_1044_4, start: 1297.3356 s end: 1301.4432 s, duration: 4.1076 s, snr: 11.52
noise: Squeak_139_3, start: 1310.9817 s end: 1314.5162 s, duration: 3.5345 s, snr: 0.70
noise: Door_1093_0, start: 1317.6953 s end: 1323.5353 s, duration: 5.8400 s, snr: 7.64
noise: Tool_3109_0, start: 1329.4793 s end: 1334.0091 s, duration: 4.5297 s, snr: 2.69
noise: Computer_890_0, start: 1346.3089 s end: 1350.4321 s, duration: 4.1233 s, snr: 2.80
noise: Knock_472_0, start: 1358.2031 s end: 1364.1726 s, duration: 5.9695 s, snr: 9.30
noise: Signalization_61_0, start: 1360.6256 s end: 1364.1709 s, duration: 3.5454 s, snr: 2.25
noise: Telephone_542_0, start: 1383.8671 s end: 1391.9621 s, duration: 8.0950 s, snr: 5.55
noise: Babble_180_1, start: 1430.4876 s end: 1451.0201 s, duration: 20.5325 s, snr: 14.29
noise: Computer_1091_3, start: 1445.2909 s end: 1454.4967 s, duration: 9.2058 s, snr: 8.28
noise: Drawer_69_2, start: 1452.4141 s end: 1455.7071 s, duration: 3.2930 s, snr: 2.47
noise: Signalization_35_4, start: 1478.6324 s end: 1482.0460 s, duration: 3.4136 s, snr: 2.05
noise: Writing_174_2, start: 1500.2853 s end: 1510.4512 s, duration: 10.1659 s, snr: 6.64
noise: Babble_3_2, start: 1513.3318 s end: 1573.8655 s, duration: 60.5338 s, snr: 18.73
noise: Squeak_51_0, start: 1545.9948 s end: 1549.5638 s, duration: 3.5690 s, snr: 10.95
noise: Computer_42_0, start: 1576.9962 s end: 1588.2241 s, duration: 11.2279 s, snr: 9.10
noise: Telephone_442_4, start: 1580.7671 s end: 1609.1899 s, duration: 28.4227 s, snr: 7.98
noise: Signalization_49_0, start: 1713.5455 s end: 1717.0753 s, duration: 3.5298 s, snr: 5.55
noise: Knock_1022_0, start: 1725.3908 s end: 1730.6491 s, duration: 5.2584 s, snr: 8.71
noise: Door_1387_3, start: 1733.5267 s end: 1737.4280 s, duration: 3.9013 s, snr: 7.65
noise: Drawer_116_0, start: 1733.7016 s end: 1739.4756 s, duration: 5.7740 s, snr: 6.95
noise: Computer_1277_2, start: 1767.4336 s end: 1774.5871 s, duration: 7.1535 s, snr: 6.32
noise: Knock_433_2, start: 1791.4999 s end: 1797.2957 s, duration: 5.7959 s, snr: 5.45
noise: Babble_138_0, start: 1813.1649 s end: 1823.6974 s, duration: 10.5325 s, snr: 11.28
noise: Door_383_0, start: 1829.0350 s end: 1834.2796 s, duration: 5.2446 s, snr: 8.94
noise: Computer_88_0, start: 1833.6319 s end: 1854.8983 s, duration: 21.2664 s, snr: 8.92
