TS3006a, length = 1252.86 s, percent_of_speech = 0.80, percent_of_noises = 0.49
noise: Telephone_652_3, start: 5.6647 s end: 36.2046 s, duration: 30.5399 s, snr: 8.18
noise: Squeak_202_1, start: 19.7579 s end: 24.0254 s, duration: 4.2675 s, snr: 7.29
noise: Writing_166_0, start: 25.0128 s end: 32.3392 s, duration: 7.3265 s, snr: 1.11
noise: Street_82_3, start: 34.4955 s end: 40.0409 s, duration: 5.5454 s, snr: 9.05
noise: Computer_376_4, start: 40.3866 s end: 63.6399 s, duration: 23.2534 s, snr: 0.22
noise: Knock_1224_0, start: 57.0045 s end: 62.6530 s, duration: 5.6485 s, snr: 1.28
noise: Signalization_18_4, start: 80.8056 s end: 84.1477 s, duration: 3.3421 s, snr: 2.40
noise: Squeak_8_0, start: 89.4723 s end: 94.9266 s, duration: 5.4543 s, snr: 6.35
noise: Scissors_31_2, start: 94.6967 s end: 99.6687 s, duration: 4.9720 s, snr: 4.61
noise: Squeak_159_3, start: 163.8778 s end: 167.6867 s, duration: 3.8089 s, snr: 2.20
noise: Door_2162_2, start: 274.3768 s end: 277.9100 s, duration: 3.5333 s, snr: 0.21
noise: Tool_3231_3, start: 311.6615 s end: 316.1939 s, duration: 4.5324 s, snr: 1.59
noise: Telephone_218_4, start: 325.2589 s end: 347.2334 s, duration: 21.9745 s, snr: 7.82
noise: Street_41_4, start: 360.8601 s end: 364.4055 s, duration: 3.5454 s, snr: 9.04
noise: Knock_1899_1, start: 370.3057 s end: 375.0981 s, duration: 4.7924 s, snr: 3.25
noise: Knock_1886_1, start: 378.3487 s end: 382.8182 s, duration: 4.4695 s, snr: 2.13
noise: Telephone_748_0, start: 382.0675 s end: 406.9516 s, duration: 24.8841 s, snr: 2.33
noise: Computer_807_2, start: 398.6680 s end: 402.5551 s, duration: 3.8871 s, snr: 3.67
noise: Gunshot_83_1, start: 401.3208 s end: 404.6891 s, duration: 3.3682 s, snr: -0.45
noise: Writing_191_1, start: 407.1101 s end: 412.3618 s, duration: 5.2517 s, snr: 3.57
noise: Computer_964_0, start: 453.6409 s end: 456.8979 s, duration: 3.2570 s, snr: 3.94
noise: Street_10_0, start: 471.3345 s end: 501.8670 s, duration: 30.5325 s, snr: 9.63
noise: Writing_1_2, start: 474.1961 s end: 478.5711 s, duration: 4.3750 s, snr: 4.87
