TS3010a, length = 1041.02 s, percent_of_speech = 0.50, percent_of_noises = 0.42
noise: Telephone_147_0, start: 10.1611 s end: 17.2073 s, duration: 7.0463 s, snr: 8.08
noise: Scissors_28_4, start: 23.6418 s end: 29.5878 s, duration: 5.9460 s, snr: 5.02
noise: Squeak_279_0, start: 32.3589 s end: 37.4237 s, duration: 5.0647 s, snr: 2.96
noise: Telephone_161_4, start: 51.9499 s end: 70.0651 s, duration: 18.1151 s, snr: 0.06
noise: Door_680_4, start: 60.5506 s end: 65.7691 s, duration: 5.2185 s, snr: 2.05
noise: Drawer_9_1, start: 88.4901 s end: 101.5764 s, duration: 13.0864 s, snr: 7.89
noise: Street_14_3, start: 105.4901 s end: 109.0226 s, duration: 3.5325 s, snr: 2.90
noise: Signalization_86_3, start: 126.9276 s end: 132.4729 s, duration: 5.5454 s, snr: -0.56
noise: Telephone_470_1, start: 134.0187 s end: 137.5798 s, duration: 3.5611 s, snr: 5.30
noise: Telephone_179_0, start: 173.3922 s end: 180.9570 s, duration: 7.5648 s, snr: 1.62
noise: Scissors_43_4, start: 195.8384 s end: 200.4046 s, duration: 4.5661 s, snr: 5.77
noise: Writing_20_1, start: 204.2263 s end: 214.6323 s, duration: 10.4060 s, snr: 0.86
noise: Knock_1518_4, start: 210.1186 s end: 215.3106 s, duration: 5.1920 s, snr: 6.07
noise: Babble_191_4, start: 211.7198 s end: 242.2523 s, duration: 30.5325 s, snr: 17.04
noise: Babble_203_3, start: 212.6287 s end: 243.1633 s, duration: 30.5346 s, snr: 16.50
noise: Telephone_696_1, start: 214.3626 s end: 218.3203 s, duration: 3.9578 s, snr: 6.46
noise: Computer_279_1, start: 246.7496 s end: 252.8901 s, duration: 6.1405 s, snr: 9.27
noise: Writing_191_0, start: 284.4699 s end: 289.7221 s, duration: 5.2523 s, snr: 8.21
noise: Drawer_42_1, start: 291.5736 s end: 299.2602 s, duration: 7.6866 s, snr: 6.92
noise: Street_40_2, start: 315.3159 s end: 318.8434 s, duration: 3.5275 s, snr: 1.89
noise: Scissors_92_3, start: 323.6646 s end: 327.5331 s, duration: 3.8685 s, snr: 1.18
noise: Tool_3875_3, start: 338.3856 s end: 342.9179 s, duration: 4.5324 s, snr: -0.54
noise: Signalization_41_1, start: 425.2973 s end: 428.8427 s, duration: 3.5454 s, snr: 1.05
noise: Telephone_624_2, start: 427.8796 s end: 438.5294 s, duration: 10.6498 s, snr: 3.85
