EN2001b, length = 3451.88 s, percent_of_speech = 0.86, percent_of_noises = 0.51
noise: Telephone_416_3, start: 3.8501 s end: 54.6872 s, duration: 50.8371 s, snr: 3.34
noise: Writing_9_4, start: 25.5465 s end: 40.8341 s, duration: 15.2876 s, snr: 0.28
noise: Knock_1367_3, start: 39.7557 s end: 43.0149 s, duration: 3.2591 s, snr: 5.65
noise: Telephone_538_1, start: 69.3888 s end: 74.4856 s, duration: 5.0968 s, snr: 6.27
noise: Tool_3693_2, start: 83.2752 s end: 87.8094 s, duration: 4.5343 s, snr: 4.83
noise: Telephone_357_0, start: 162.7906 s end: 166.4933 s, duration: 3.7028 s, snr: 9.54
noise: Writing_226_3, start: 167.0954 s end: 188.5213 s, duration: 21.4259 s, snr: 7.22
noise: Gunshot_84_3, start: 173.5509 s end: 177.7892 s, duration: 4.2382 s, snr: 4.65
noise: Drawer_51_3, start: 208.4709 s end: 212.6169 s, duration: 4.1460 s, snr: 8.76
noise: Drawer_56_4, start: 244.9410 s end: 251.0691 s, duration: 6.1281 s, snr: 6.44
noise: Street_104_4, start: 255.4494 s end: 260.9948 s, duration: 5.5454 s, snr: 12.23
noise: Tool_3568_3, start: 283.4559 s end: 287.9824 s, duration: 4.5265 s, snr: -1.00
noise: Babble_150_2, start: 318.4199 s end: 321.5901 s, duration: 3.1703 s, snr: 16.42
noise: Telephone_412_1, start: 342.6555 s end: 393.4973 s, duration: 50.8417 s, snr: 5.78
noise: Computer_647_2, start: 343.3768 s end: 347.0632 s, duration: 3.6865 s, snr: 5.08
noise: Knock_1148_1, start: 350.2094 s end: 354.2362 s, duration: 4.0268 s, snr: 4.84
noise: Telephone_631_1, start: 456.0382 s end: 466.6222 s, duration: 10.5840 s, snr: 1.96
noise: Knock_631_3, start: 486.5106 s end: 490.2916 s, duration: 3.7810 s, snr: 3.81
noise: Scissors_78_4, start: 490.8128 s end: 519.7192 s, duration: 28.9064 s, snr: 5.46
noise: Babble_109_4, start: 507.3247 s end: 512.8531 s, duration: 5.5284 s, snr: 15.02
noise: Computer_187_1, start: 517.0553 s end: 521.1541 s, duration: 4.0989 s, snr: 6.64
noise: Squeak_291_1, start: 529.0442 s end: 533.6564 s, duration: 4.6123 s, snr: 9.10
noise: Computer_799_3, start: 556.6608 s end: 562.4180 s, duration: 5.7572 s, snr: 1.17
noise: Signalization_12_2, start: 564.3071 s end: 594.8438 s, duration: 30.5366 s, snr: 1.66
noise: Squeak_240_0, start: 564.6254 s end: 577.9339 s, duration: 13.3085 s, snr: -0.32
noise: Computer_223_0, start: 585.1220 s end: 590.3038 s, duration: 5.1818 s, snr: 2.19
noise: Writing_77_2, start: 672.5762 s end: 694.9424 s, duration: 22.3661 s, snr: 7.64
noise: Telephone_698_2, start: 697.3876 s end: 701.3374 s, duration: 3.9497 s, snr: 6.31
noise: Telephone_15_0, start: 717.1506 s end: 720.7354 s, duration: 3.5847 s, snr: 3.86
noise: Tool_3208_1, start: 721.3827 s end: 725.9089 s, duration: 4.5261 s, snr: 3.41
noise: Computer_889_2, start: 748.0578 s end: 752.9993 s, duration: 4.9415 s, snr: 9.74
noise: Signalization_116_3, start: 754.3347 s end: 764.8782 s, duration: 10.5435 s, snr: 5.03
