IB4011, length = 2417.07 s, percent_of_speech = 0.90, percent_of_noises = 0.59
noise: Telephone_5_4, start: 15.4603 s end: 20.9947 s, duration: 5.5345 s, snr: 9.52
noise: Scissors_9_1, start: 25.3344 s end: 36.7208 s, duration: 11.3864 s, snr: 3.77
noise: Door_634_2, start: 41.2365 s end: 46.0907 s, duration: 4.8543 s, snr: 4.39
noise: Computer_675_1, start: 68.3054 s end: 71.4783 s, duration: 3.1729 s, snr: 0.90
noise: Telephone_384_3, start: 113.1806 s end: 125.6716 s, duration: 12.4910 s, snr: 4.00
noise: Computer_228_4, start: 130.9572 s end: 135.2502 s, duration: 4.2930 s, snr: 5.02
noise: Writing_261_1, start: 155.1997 s end: 158.8920 s, duration: 3.6923 s, snr: 1.88
noise: Scissors_29_3, start: 162.3894 s end: 166.1163 s, duration: 3.7269 s, snr: 5.76
noise: Squeak_236_4, start: 164.1851 s end: 169.3714 s, duration: 5.1864 s, snr: 2.55
noise: Computer_810_0, start: 175.7051 s end: 179.5346 s, duration: 3.8295 s, snr: 4.66
noise: Knock_922_1, start: 190.3970 s end: 194.9118 s, duration: 4.5148 s, snr: 6.51
noise: Telephone_399_4, start: 202.7535 s end: 214.6139 s, duration: 11.8604 s, snr: 5.61
noise: Knock_1008_2, start: 209.4722 s end: 212.6477 s, duration: 3.1755 s, snr: 2.92
noise: Tool_3328_1, start: 211.7411 s end: 216.2735 s, duration: 4.5324 s, snr: 7.33
noise: Door_2118_0, start: 265.3651 s end: 268.7998 s, duration: 3.4346 s, snr: 5.34
noise: Tool_3310_3, start: 265.8513 s end: 270.3781 s, duration: 4.5267 s, snr: 10.94
noise: Computer_813_4, start: 268.1640 s end: 271.3018 s, duration: 3.1378 s, snr: 0.56
noise: Signalization_79_2, start: 271.1571 s end: 274.6896 s, duration: 3.5325 s, snr: 8.90
noise: Squeak_263_3, start: 274.3189 s end: 280.6094 s, duration: 6.2905 s, snr: 6.32
noise: Knock_170_0, start: 280.1537 s end: 283.5787 s, duration: 3.4250 s, snr: 6.76
noise: Writing_142_3, start: 290.5145 s end: 303.6223 s, duration: 13.1078 s, snr: 9.86
noise: Telephone_154_2, start: 293.0827 s end: 298.4457 s, duration: 5.3630 s, snr: 5.03
noise: Gunshot_36_3, start: 329.3916 s end: 333.8091 s, duration: 4.4175 s, snr: 8.59
noise: Telephone_684_1, start: 345.1961 s end: 349.2167 s, duration: 4.0206 s, snr: 9.33
noise: Babble_6_4, start: 357.2847 s end: 417.8172 s, duration: 60.5325 s, snr: 15.42
noise: Drawer_31_4, start: 384.6036 s end: 389.5368 s, duration: 4.9332 s, snr: 9.19
noise: Knock_1049_3, start: 432.9779 s end: 441.4558 s, duration: 8.4779 s, snr: 0.51
noise: Tool_3108_1, start: 436.6964 s end: 441.2233 s, duration: 4.5269 s, snr: 12.82
noise: Street_20_0, start: 445.0296 s end: 448.5687 s, duration: 3.5391 s, snr: 3.19
noise: Telephone_403_4, start: 454.1541 s end: 464.3461 s, duration: 10.1920 s, snr: 6.44
noise: Tool_2949_4, start: 521.0430 s end: 524.2730 s, duration: 3.2300 s, snr: 7.87
noise: Computer_1209_1, start: 529.2536 s end: 533.7397 s, duration: 4.4861 s, snr: 6.69
noise: Writing_165_0, start: 555.0116 s end: 568.7977 s, duration: 13.7861 s, snr: 0.66
noise: Knock_322_3, start: 568.3782 s end: 573.1492 s, duration: 4.7710 s, snr: 5.62
noise: Knock_14_2, start: 571.9578 s end: 575.7058 s, duration: 3.7480 s, snr: 8.53
noise: Computer_1037_4, start: 573.4272 s end: 583.0685 s, duration: 9.6413 s, snr: 2.93
noise: Telephone_308_0, start: 607.4509 s end: 612.2613 s, duration: 4.8104 s, snr: 4.46
noise: Telephone_304_4, start: 617.0612 s end: 621.6838 s, duration: 4.6225 s, snr: 6.58
noise: Babble_11_0, start: 635.9059 s end: 689.3526 s, duration: 53.4466 s, snr: 15.85
noise: Scissors_33_1, start: 641.5627 s end: 651.0101 s, duration: 9.4474 s, snr: 0.61
noise: Writing_70_1, start: 647.7263 s end: 661.2723 s, duration: 13.5460 s, snr: 2.46
noise: Computer_494_0, start: 655.5246 s end: 663.5253 s, duration: 8.0006 s, snr: 6.36
noise: Squeak_31_1, start: 663.0997 s end: 666.6360 s, duration: 3.5362 s, snr: 7.17
noise: Tool_3572_4, start: 670.0268 s end: 674.5608 s, duration: 4.5340 s, snr: 3.53
noise: Scissors_55_0, start: 702.5400 s end: 713.7064 s, duration: 11.1664 s, snr: 10.69
noise: Knock_1269_1, start: 732.7727 s end: 738.7305 s, duration: 5.9578 s, snr: 7.66
noise: Signalization_51_2, start: 756.8129 s end: 760.3581 s, duration: 3.5453 s, snr: 7.88
noise: Writing_251_4, start: 777.0348 s end: 781.3807 s, duration: 4.3459 s, snr: 3.33
noise: Signalization_147_0, start: 788.4752 s end: 804.0206 s, duration: 15.5454 s, snr: 1.29
noise: Squeak_196_2, start: 797.0114 s end: 815.5391 s, duration: 18.5276 s, snr: 5.38
