IS1003d, length = 2100.57 s, percent_of_speech = 0.89, percent_of_noises = 0.57
noise: Gunshot_122_2, start: 2.9266 s end: 6.7333 s, duration: 3.8068 s, snr: 3.37
noise: Computer_116_1, start: 24.3136 s end: 36.5196 s, duration: 12.2060 s, snr: 5.43
noise: Computer_484_3, start: 39.1704 s end: 49.5643 s, duration: 10.3939 s, snr: 3.58
noise: Door_2_4, start: 41.6874 s end: 46.7980 s, duration: 5.1106 s, snr: 6.33
noise: Drawer_95_3, start: 75.7081 s end: 82.1756 s, duration: 6.4675 s, snr: 10.64
noise: Telephone_619_1, start: 78.5465 s end: 89.1850 s, duration: 10.6385 s, snr: 7.59
noise: Squeak_239_0, start: 87.1663 s end: 93.1088 s, duration: 5.9425 s, snr: 9.11
noise: Drawer_0_1, start: 90.5376 s end: 94.7673 s, duration: 4.2296 s, snr: 3.95
noise: Telephone_645_2, start: 90.6122 s end: 100.6251 s, duration: 10.0129 s, snr: 9.38
noise: Babble_121_4, start: 113.0777 s end: 117.6751 s, duration: 4.5974 s, snr: 15.62
noise: Door_2002_2, start: 115.0692 s end: 118.7524 s, duration: 3.6833 s, snr: 7.95
noise: Signalization_18_0, start: 130.4533 s end: 133.7954 s, duration: 3.3421 s, snr: 8.34
noise: Telephone_747_1, start: 138.5414 s end: 169.0697 s, duration: 30.5282 s, snr: 4.00
noise: Signalization_95_3, start: 156.4788 s end: 162.0121 s, duration: 5.5333 s, snr: 8.21
noise: Knock_241_3, start: 167.5189 s end: 175.0069 s, duration: 7.4880 s, snr: 9.70
noise: Door_4458_2, start: 200.9226 s end: 207.1086 s, duration: 6.1860 s, snr: 4.67
noise: Door_807_3, start: 201.4789 s end: 207.1504 s, duration: 5.6715 s, snr: 12.56
noise: Drawer_147_1, start: 212.6163 s end: 232.1042 s, duration: 19.4879 s, snr: 11.33
noise: Signalization_97_0, start: 215.7047 s end: 221.2328 s, duration: 5.5281 s, snr: 5.13
noise: Drawer_137_1, start: 218.6730 s end: 222.3525 s, duration: 3.6795 s, snr: 1.59
noise: Babble_168_0, start: 225.0251 s end: 245.5557 s, duration: 20.5306 s, snr: 14.40
noise: Drawer_50_3, start: 240.3361 s end: 254.9043 s, duration: 14.5683 s, snr: 8.01
noise: Drawer_103_0, start: 253.4141 s end: 257.9868 s, duration: 4.5727 s, snr: -0.88
noise: Tool_3755_1, start: 272.8676 s end: 277.4000 s, duration: 4.5324 s, snr: 8.90
noise: Computer_205_4, start: 303.4753 s end: 307.6451 s, duration: 4.1699 s, snr: 9.71
noise: Drawer_80_2, start: 312.8679 s end: 340.8574 s, duration: 27.9895 s, snr: 1.70
noise: Door_717_4, start: 315.8247 s end: 320.4229 s, duration: 4.5983 s, snr: 4.71
noise: Gunshot_121_3, start: 328.2323 s end: 332.0977 s, duration: 3.8654 s, snr: 6.12
noise: Door_868_4, start: 337.8631 s end: 342.3281 s, duration: 4.4650 s, snr: 2.08
noise: Telephone_698_1, start: 348.9608 s end: 352.9208 s, duration: 3.9600 s, snr: 5.62
noise: Squeak_234_1, start: 349.2785 s end: 356.9709 s, duration: 7.6924 s, snr: 5.77
noise: Computer_125_3, start: 402.7807 s end: 410.1998 s, duration: 7.4191 s, snr: 5.14
noise: Writing_142_0, start: 411.6522 s end: 424.7596 s, duration: 13.1074 s, snr: 6.60
noise: Signalization_108_1, start: 422.1604 s end: 427.7058 s, duration: 5.5454 s, snr: 3.69
noise: Knock_1184_1, start: 433.5214 s end: 436.8274 s, duration: 3.3060 s, snr: 9.55
noise: Gunshot_92_0, start: 435.9206 s end: 442.8131 s, duration: 6.8925 s, snr: 5.29
noise: Writing_161_0, start: 450.8233 s end: 454.7099 s, duration: 3.8866 s, snr: 4.10
noise: Drawer_78_4, start: 457.0425 s end: 460.6157 s, duration: 3.5732 s, snr: 4.75
noise: Drawer_84_0, start: 463.2037 s end: 482.7326 s, duration: 19.5289 s, snr: 0.61
noise: Signalization_11_4, start: 463.6266 s end: 472.7829 s, duration: 9.1562 s, snr: 3.27
noise: Knock_198_2, start: 470.3894 s end: 475.6849 s, duration: 5.2955 s, snr: 7.30
noise: Drawer_27_0, start: 492.6685 s end: 510.4176 s, duration: 17.7491 s, snr: 4.71
noise: Knock_1688_4, start: 558.7796 s end: 562.6748 s, duration: 3.8951 s, snr: 1.77
noise: Signalization_149_4, start: 568.9826 s end: 575.3663 s, duration: 6.3836 s, snr: 9.81
noise: Computer_173_3, start: 572.9712 s end: 577.3631 s, duration: 4.3919 s, snr: 8.01
