IS1002b, length = 2367.83 s, percent_of_speech = 0.90, percent_of_noises = 0.56
noise: Knock_615_3, start: 50.0703 s end: 54.6797 s, duration: 4.6094 s, snr: 2.94
noise: Computer_1270_3, start: 55.7509 s end: 64.9937 s, duration: 9.2427 s, snr: 0.19
noise: Telephone_263_3, start: 68.6248 s end: 81.3221 s, duration: 12.6974 s, snr: 4.13
noise: Knock_94_2, start: 81.4566 s end: 84.5890 s, duration: 3.1324 s, snr: 8.86
noise: Knock_919_2, start: 86.4775 s end: 89.7725 s, duration: 3.2950 s, snr: 3.40
noise: Street_128_3, start: 98.6536 s end: 103.7496 s, duration: 5.0960 s, snr: 2.25
noise: Babble_190_0, start: 105.1895 s end: 133.8740 s, duration: 28.6845 s, snr: 12.46
noise: Knock_915_3, start: 124.1051 s end: 127.3281 s, duration: 3.2230 s, snr: 5.01
noise: Computer_1101_3, start: 126.3647 s end: 138.6249 s, duration: 12.2602 s, snr: 5.06
noise: Knock_1926_4, start: 129.5452 s end: 135.4647 s, duration: 5.9195 s, snr: 1.72
noise: Babble_100_4, start: 130.5386 s end: 136.0840 s, duration: 5.5454 s, snr: 19.67
noise: Door_2029_2, start: 141.8624 s end: 145.5408 s, duration: 3.6784 s, snr: 6.75
noise: Door_4293_4, start: 144.9137 s end: 148.3034 s, duration: 3.3896 s, snr: 6.83
noise: Door_1499_2, start: 151.0516 s end: 154.9001 s, duration: 3.8485 s, snr: 10.87
noise: Scissors_76_3, start: 166.9058 s end: 177.7117 s, duration: 10.8060 s, snr: 4.91
noise: Computer_244_0, start: 182.1632 s end: 192.1481 s, duration: 9.9849 s, snr: 5.17
noise: Computer_1075_3, start: 186.0812 s end: 195.5814 s, duration: 9.5002 s, snr: 5.82
noise: Signalization_116_0, start: 209.5134 s end: 220.0535 s, duration: 10.5401 s, snr: 5.79
noise: Squeak_234_1, start: 214.6299 s end: 222.3222 s, duration: 7.6924 s, snr: 11.80
noise: Squeak_36_2, start: 218.9717 s end: 222.5444 s, duration: 3.5726 s, snr: -0.23
noise: Street_43_3, start: 289.9389 s end: 293.4842 s, duration: 3.5454 s, snr: 6.22
