IS1009c, length = 1820.84 s, percent_of_speech = 0.84, percent_of_noises = 0.50
noise: Street_142_1, start: 1.7968 s end: 12.3293 s, duration: 10.5325 s, snr: 7.53
noise: Telephone_429_0, start: 35.6789 s end: 99.5458 s, duration: 63.8669 s, snr: 2.76
noise: Street_49_4, start: 42.3231 s end: 45.8684 s, duration: 3.5454 s, snr: 2.47
noise: Door_316_2, start: 48.7004 s end: 52.0984 s, duration: 3.3980 s, snr: 6.50
noise: Writing_242_2, start: 58.0421 s end: 61.1842 s, duration: 3.1421 s, snr: 2.09
noise: Gunshot_140_3, start: 104.0261 s end: 107.2823 s, duration: 3.2561 s, snr: 6.98
noise: Signalization_101_1, start: 108.1144 s end: 113.6598 s, duration: 5.5454 s, snr: -1.00
noise: Gunshot_33_1, start: 121.4279 s end: 133.7732 s, duration: 12.3454 s, snr: 6.33
noise: Drawer_127_1, start: 156.1601 s end: 166.0266 s, duration: 9.8665 s, snr: 5.79
noise: Computer_251_0, start: 162.8051 s end: 171.0591 s, duration: 8.2540 s, snr: 0.65
noise: Squeak_249_4, start: 173.8604 s end: 178.9251 s, duration: 5.0648 s, snr: 2.38
noise: Drawer_147_3, start: 184.2969 s end: 203.7859 s, duration: 19.4890 s, snr: -1.00
noise: Tool_2827_4, start: 187.3797 s end: 191.9097 s, duration: 4.5300 s, snr: 1.45
noise: Drawer_89_0, start: 192.9235 s end: 201.3719 s, duration: 8.4484 s, snr: 4.76
noise: Writing_80_0, start: 201.4608 s end: 227.0086 s, duration: 25.5478 s, snr: 7.23
noise: Telephone_316_0, start: 201.8244 s end: 206.7596 s, duration: 4.9352 s, snr: 8.03
noise: Babble_189_0, start: 204.9583 s end: 235.4913 s, duration: 30.5330 s, snr: 18.76
noise: Babble_203_1, start: 207.7596 s end: 238.3050 s, duration: 30.5454 s, snr: 14.72
noise: Telephone_286_0, start: 217.7347 s end: 234.3744 s, duration: 16.6397 s, snr: 5.40
noise: Computer_208_2, start: 235.7612 s end: 239.9441 s, duration: 4.1829 s, snr: 10.83
noise: Computer_584_3, start: 240.5896 s end: 245.2771 s, duration: 4.6875 s, snr: 6.93
noise: Squeak_10_2, start: 247.8171 s end: 254.3280 s, duration: 6.5109 s, snr: 10.39
noise: Writing_196_2, start: 247.9431 s end: 277.5298 s, duration: 29.5867 s, snr: 0.81
noise: Knock_1315_2, start: 254.1879 s end: 258.6169 s, duration: 4.4290 s, snr: 9.94
noise: Computer_1001_4, start: 271.4335 s end: 278.9006 s, duration: 7.4671 s, snr: 4.42
noise: Tool_3133_2, start: 274.5913 s end: 279.1222 s, duration: 4.5309 s, snr: 4.20
noise: Babble_78_3, start: 367.5070 s end: 373.0524 s, duration: 5.5454 s, snr: 17.43
