TS3007d, length = 2824.30 s, percent_of_speech = 0.83, percent_of_noises = 0.42
noise: Door_4566_3, start: 6.6806 s end: 10.1481 s, duration: 3.4675 s, snr: 4.05
noise: Street_128_1, start: 20.1597 s end: 25.2512 s, duration: 5.0915 s, snr: 5.47
noise: Computer_488_2, start: 24.3296 s end: 35.2012 s, duration: 10.8716 s, snr: 6.13
noise: Squeak_183_1, start: 60.3511 s end: 66.5170 s, duration: 6.1659 s, snr: 10.11
noise: Street_16_2, start: 72.3479 s end: 75.8823 s, duration: 3.5344 s, snr: 7.82
noise: Gunshot_3_1, start: 91.4646 s end: 96.2431 s, duration: 4.7785 s, snr: 8.53
noise: Writing_135_1, start: 105.1800 s end: 110.9260 s, duration: 5.7460 s, snr: 2.60
noise: Computer_824_2, start: 110.1264 s end: 115.7872 s, duration: 5.6608 s, snr: 6.54
noise: Computer_214_3, start: 111.9166 s end: 114.9373 s, duration: 3.0206 s, snr: 1.62
noise: Door_1_3, start: 121.0823 s end: 129.6950 s, duration: 8.6127 s, snr: 2.63
noise: Telephone_44_3, start: 126.5599 s end: 131.6701 s, duration: 5.1101 s, snr: 7.26
noise: Tool_3283_0, start: 140.5257 s end: 145.0528 s, duration: 4.5271 s, snr: 6.95
noise: Babble_66_1, start: 142.6340 s end: 148.1665 s, duration: 5.5325 s, snr: 17.59
noise: Tool_3452_4, start: 209.8530 s end: 214.3854 s, duration: 4.5324 s, snr: 9.04
noise: Drawer_123_2, start: 227.8124 s end: 241.6824 s, duration: 13.8700 s, snr: 6.73
noise: Tool_2641_1, start: 231.6766 s end: 236.2064 s, duration: 4.5299 s, snr: 5.24
noise: Computer_781_0, start: 251.4175 s end: 254.6602 s, duration: 3.2428 s, snr: 5.29
noise: Knock_1457_3, start: 294.7977 s end: 299.4429 s, duration: 4.6453 s, snr: 8.29
noise: Street_146_1, start: 297.8029 s end: 308.3337 s, duration: 10.5308 s, snr: 7.99
noise: Telephone_213_2, start: 300.1434 s end: 322.1178 s, duration: 21.9744 s, snr: 4.51
noise: Door_2455_1, start: 322.7776 s end: 326.1416 s, duration: 3.3640 s, snr: 1.23
