IS1009d, length = 1944.66 s, percent_of_speech = 0.82, percent_of_noises = 0.56
noise: Telephone_537_4, start: 13.4373 s end: 18.5218 s, duration: 5.0845 s, snr: 2.60
noise: Drawer_89_0, start: 28.1107 s end: 36.5591 s, duration: 8.4484 s, snr: 8.46
noise: Scissors_67_2, start: 44.1366 s end: 47.2684 s, duration: 3.1317 s, snr: 2.72
noise: Signalization_6_0, start: 61.3499 s end: 67.7283 s, duration: 6.3784 s, snr: 6.76
noise: Door_812_3, start: 83.4952 s end: 88.1987 s, duration: 4.7035 s, snr: 8.46
noise: Knock_1805_2, start: 83.8743 s end: 88.4018 s, duration: 4.5275 s, snr: 7.70
noise: Telephone_751_3, start: 147.4990 s end: 178.0295 s, duration: 30.5305 s, snr: 7.70
noise: Scissors_43_2, start: 166.7148 s end: 171.2820 s, duration: 4.5673 s, snr: 5.28
noise: Scissors_79_3, start: 167.3622 s end: 185.6303 s, duration: 18.2681 s, snr: 4.80
noise: Telephone_532_2, start: 173.9348 s end: 179.0258 s, duration: 5.0910 s, snr: 6.94
noise: Gunshot_12_3, start: 174.6557 s end: 178.9011 s, duration: 4.2454 s, snr: 5.59
noise: Writing_212_0, start: 185.8021 s end: 190.4684 s, duration: 4.6663 s, snr: 10.10
noise: Scissors_37_4, start: 190.4200 s end: 205.3660 s, duration: 14.9460 s, snr: 4.92
noise: Door_4352_2, start: 237.0083 s end: 241.5301 s, duration: 4.5219 s, snr: -0.33
noise: Telephone_112_1, start: 249.4727 s end: 254.9373 s, duration: 5.4645 s, snr: 6.05
noise: Street_10_3, start: 253.7788 s end: 284.3112 s, duration: 30.5325 s, snr: 3.53
noise: Scissors_19_1, start: 264.3082 s end: 274.7743 s, duration: 10.4661 s, snr: 2.14
noise: Computer_329_0, start: 287.5314 s end: 291.7920 s, duration: 4.2606 s, snr: 3.77
noise: Street_16_3, start: 309.9367 s end: 313.4821 s, duration: 3.5454 s, snr: 2.14
noise: Writing_215_0, start: 363.9874 s end: 369.8799 s, duration: 5.8925 s, snr: 12.18
noise: Computer_178_4, start: 368.5213 s end: 373.4158 s, duration: 4.8945 s, snr: 2.46
noise: Squeak_264_0, start: 434.0189 s end: 441.5461 s, duration: 7.5273 s, snr: 5.63
noise: Drawer_38_0, start: 440.2091 s end: 454.1556 s, duration: 13.9465 s, snr: 6.11
noise: Telephone_684_3, start: 464.4496 s end: 468.4696 s, duration: 4.0200 s, snr: 6.24
noise: Telephone_743_2, start: 492.6940 s end: 523.2325 s, duration: 30.5385 s, snr: 5.52
noise: Computer_354_1, start: 493.4986 s end: 524.8039 s, duration: 31.3052 s, snr: 5.92
noise: Signalization_109_4, start: 512.2061 s end: 517.7515 s, duration: 5.5454 s, snr: 6.84
noise: Door_119_1, start: 567.1073 s end: 570.6521 s, duration: 3.5448 s, snr: 3.54
noise: Computer_850_0, start: 568.2407 s end: 571.4403 s, duration: 3.1996 s, snr: 3.52
noise: Drawer_150_0, start: 577.2059 s end: 581.1387 s, duration: 3.9327 s, snr: 5.73
noise: Door_4650_0, start: 598.2319 s end: 603.1154 s, duration: 4.8835 s, snr: 4.88
noise: Knock_1794_2, start: 599.7252 s end: 604.2901 s, duration: 4.5649 s, snr: 3.83
noise: Writing_184_0, start: 602.5338 s end: 632.4604 s, duration: 29.9266 s, snr: 8.18
noise: Knock_512_2, start: 625.8916 s end: 630.7524 s, duration: 4.8609 s, snr: 4.96
noise: Telephone_635_1, start: 642.5839 s end: 653.1674 s, duration: 10.5835 s, snr: 7.74
noise: Scissors_11_3, start: 650.3747 s end: 662.3806 s, duration: 12.0059 s, snr: 3.97
