TS3010d, length = 1920.70 s, percent_of_speech = 0.66, percent_of_noises = 0.44
noise: Babble_115_3, start: 49.7188 s end: 55.2641 s, duration: 5.5454 s, snr: 15.09
noise: Babble_173_1, start: 57.9142 s end: 78.4467 s, duration: 20.5325 s, snr: 14.25
noise: Squeak_9_4, start: 81.0724 s end: 85.3523 s, duration: 4.2799 s, snr: 1.54
noise: Tool_2703_3, start: 97.0089 s end: 101.5427 s, duration: 4.5339 s, snr: 10.37
noise: Door_1369_1, start: 105.3298 s end: 110.3591 s, duration: 5.0292 s, snr: 0.64
noise: Babble_13_4, start: 134.2011 s end: 194.7336 s, duration: 60.5325 s, snr: 16.23
noise: Door_4873_2, start: 139.4273 s end: 145.1091 s, duration: 5.6817 s, snr: 5.39
noise: Door_1714_4, start: 140.2278 s end: 144.3359 s, duration: 4.1081 s, snr: 7.86
noise: Knock_882_3, start: 168.2999 s end: 174.0852 s, duration: 5.7852 s, snr: 1.72
noise: Signalization_86_0, start: 184.2596 s end: 189.7921 s, duration: 5.5325 s, snr: 1.76
noise: Computer_197_1, start: 194.4497 s end: 201.0749 s, duration: 6.6251 s, snr: 3.64
noise: Door_308_4, start: 219.2277 s end: 225.0834 s, duration: 5.8558 s, snr: 5.80
noise: Knock_1820_2, start: 293.5737 s end: 300.7628 s, duration: 7.1891 s, snr: 5.68
noise: Computer_431_2, start: 302.5632 s end: 317.8659 s, duration: 15.3027 s, snr: 7.11
noise: Door_291_2, start: 348.3577 s end: 352.2889 s, duration: 3.9312 s, snr: 1.37
noise: Street_142_4, start: 350.2299 s end: 360.7624 s, duration: 10.5325 s, snr: 11.04
noise: Telephone_586_0, start: 350.6798 s end: 356.9035 s, duration: 6.2237 s, snr: 0.09
noise: Knock_303_3, start: 364.8423 s end: 371.5174 s, duration: 6.6751 s, snr: 2.30
noise: Scissors_68_3, start: 372.9967 s end: 376.3781 s, duration: 3.3814 s, snr: -1.00
noise: Computer_39_3, start: 384.2427 s end: 407.9886 s, duration: 23.7459 s, snr: 2.10
noise: Writing_37_1, start: 416.2871 s end: 419.5011 s, duration: 3.2140 s, snr: -1.00
noise: Drawer_48_1, start: 417.6008 s end: 430.3478 s, duration: 12.7470 s, snr: 6.57
noise: Door_5074_3, start: 425.3267 s end: 429.4114 s, duration: 4.0847 s, snr: 0.04
noise: Scissors_78_3, start: 452.9608 s end: 481.8669 s, duration: 28.9061 s, snr: 9.76
noise: Telephone_253_1, start: 461.4596 s end: 474.5168 s, duration: 13.0571 s, snr: 5.89
noise: Squeak_172_4, start: 464.4867 s end: 468.5285 s, duration: 4.0418 s, snr: 3.95
noise: Squeak_67_1, start: 472.6562 s end: 476.2287 s, duration: 3.5725 s, snr: 3.53
noise: Computer_1102_0, start: 485.9694 s end: 499.9816 s, duration: 14.0122 s, snr: 7.66
noise: Signalization_136_1, start: 501.7987 s end: 512.3312 s, duration: 10.5325 s, snr: 5.05
noise: Squeak_107_4, start: 531.3701 s end: 535.2277 s, duration: 3.8576 s, snr: 9.33
noise: Drawer_47_2, start: 583.2749 s end: 590.3226 s, duration: 7.0476 s, snr: 3.21
noise: Drawer_51_1, start: 588.6001 s end: 592.7480 s, duration: 4.1479 s, snr: 4.31
noise: Scissors_68_3, start: 594.4014 s end: 597.7828 s, duration: 3.3814 s, snr: 5.87
noise: Computer_189_0, start: 613.2474 s end: 618.8684 s, duration: 5.6210 s, snr: 4.16
noise: Telephone_740_2, start: 613.4811 s end: 644.0077 s, duration: 30.5266 s, snr: 6.73
noise: Drawer_54_4, start: 631.8789 s end: 635.0982 s, duration: 3.2192 s, snr: 7.73
noise: Squeak_189_3, start: 655.7371 s end: 664.4046 s, duration: 8.6675 s, snr: 6.07
noise: Writing_41_1, start: 678.6316 s end: 703.2581 s, duration: 24.6265 s, snr: 6.62
noise: Signalization_128_3, start: 758.6414 s end: 762.2069 s, duration: 3.5655 s, snr: 2.35
noise: Squeak_166_2, start: 771.1334 s end: 782.9457 s, duration: 11.8124 s, snr: 3.92
