TS3003c, length = 2570.00 s, percent_of_speech = 0.74, percent_of_noises = 0.60
noise: Signalization_70_2, start: 14.6114 s end: 18.1451 s, duration: 3.5337 s, snr: 5.58
noise: Telephone_495_4, start: 41.1252 s end: 53.8366 s, duration: 12.7114 s, snr: 3.42
noise: Drawer_13_3, start: 70.3066 s end: 91.9131 s, duration: 21.6065 s, snr: 5.91
noise: Signalization_90_1, start: 104.2701 s end: 109.8154 s, duration: 5.5454 s, snr: 12.09
noise: Knock_538_1, start: 105.8399 s end: 111.2618 s, duration: 5.4219 s, snr: 2.71
noise: Telephone_484_4, start: 128.8609 s end: 140.1473 s, duration: 11.2864 s, snr: 6.94
noise: Drawer_136_1, start: 140.8576 s end: 144.5450 s, duration: 3.6874 s, snr: 7.16
noise: Telephone_105_3, start: 145.1577 s end: 151.0599 s, duration: 5.9022 s, snr: 6.52
noise: Telephone_307_3, start: 163.4878 s end: 168.4267 s, duration: 4.9390 s, snr: 8.01
noise: Squeak_201_4, start: 164.9956 s end: 171.8619 s, duration: 6.8664 s, snr: 3.92
noise: Computer_365_0, start: 180.4811 s end: 202.5310 s, duration: 22.0499 s, snr: -0.05
noise: Writing_129_1, start: 205.2701 s end: 219.0969 s, duration: 13.8269 s, snr: 8.45
noise: Telephone_806_0, start: 228.2117 s end: 233.9462 s, duration: 5.7345 s, snr: 10.32
noise: Scissors_58_4, start: 236.8102 s end: 261.3763 s, duration: 24.5661 s, snr: 5.36
noise: Squeak_200_2, start: 238.4465 s end: 244.2993 s, duration: 5.8528 s, snr: 2.35
noise: Writing_153_2, start: 241.7783 s end: 256.6042 s, duration: 14.8260 s, snr: 9.69
noise: Knock_828_0, start: 244.4466 s end: 248.0573 s, duration: 3.6106 s, snr: 6.83
noise: Door_911_3, start: 251.5458 s end: 255.5928 s, duration: 4.0470 s, snr: 5.36
noise: Babble_139_3, start: 252.0409 s end: 262.5815 s, duration: 10.5406 s, snr: 12.30
noise: Door_4881_3, start: 279.0215 s end: 282.6128 s, duration: 3.5913 s, snr: 4.34
noise: Drawer_47_4, start: 304.8045 s end: 311.8517 s, duration: 7.0472 s, snr: 8.02
noise: Gunshot_72_2, start: 308.5375 s end: 312.5482 s, duration: 4.0107 s, snr: 11.63
noise: Computer_488_3, start: 337.7033 s end: 348.5747 s, duration: 10.8715 s, snr: 6.04
noise: Telephone_499_2, start: 339.9178 s end: 343.1364 s, duration: 3.2186 s, snr: 5.10
noise: Tool_3808_1, start: 347.4548 s end: 351.9897 s, duration: 4.5349 s, snr: 3.40
noise: Computer_84_2, start: 358.9083 s end: 367.3744 s, duration: 8.4661 s, snr: 5.89
noise: Computer_908_2, start: 384.6570 s end: 390.1640 s, duration: 5.5070 s, snr: 6.26
noise: Computer_358_2, start: 397.9820 s end: 428.7904 s, duration: 30.8084 s, snr: 7.40
noise: Telephone_693_4, start: 428.2377 s end: 432.9028 s, duration: 4.6651 s, snr: 2.69
noise: Writing_99_4, start: 436.0381 s end: 441.2906 s, duration: 5.2525 s, snr: 9.12
noise: Writing_144_0, start: 440.3687 s end: 445.9751 s, duration: 5.6064 s, snr: 3.89
noise: Computer_697_4, start: 456.4808 s end: 459.7336 s, duration: 3.2527 s, snr: 0.42
noise: Door_2195_1, start: 479.2411 s end: 483.1556 s, duration: 3.9145 s, snr: 7.08
noise: Street_2_2, start: 498.9649 s end: 529.4922 s, duration: 30.5272 s, snr: 8.79
noise: Squeak_170_3, start: 504.0138 s end: 513.0021 s, duration: 8.9884 s, snr: 2.80
noise: Squeak_207_1, start: 521.0562 s end: 537.9222 s, duration: 16.8660 s, snr: 6.80
