ES2006a, length = 1284.34 s, percent_of_speech = 0.83, percent_of_noises = 0.56
noise: Tool_3364_2, start: 15.7741 s end: 20.3016 s, duration: 4.5275 s, snr: -1.00
noise: Telephone_363_3, start: 26.1914 s end: 29.7422 s, duration: 3.5508 s, snr: 9.39
noise: Signalization_130_0, start: 32.4723 s end: 43.0092 s, duration: 10.5369 s, snr: 5.38
noise: Telephone_813_2, start: 44.4571 s end: 50.4136 s, duration: 5.9565 s, snr: 3.90
noise: Gunshot_46_3, start: 53.9501 s end: 57.7176 s, duration: 3.7675 s, snr: 7.79
noise: Scissors_43_4, start: 56.8887 s end: 61.4548 s, duration: 4.5661 s, snr: -1.00
noise: Street_153_3, start: 69.2859 s end: 84.8131 s, duration: 15.5271 s, snr: 7.56
noise: Telephone_775_2, start: 74.8083 s end: 77.9751 s, duration: 3.1668 s, snr: 4.18
noise: Door_1626_3, start: 74.9756 s end: 78.3708 s, duration: 3.3953 s, snr: 1.53
noise: Computer_93_0, start: 80.1721 s end: 89.7382 s, duration: 9.5661 s, snr: 1.30
noise: Tool_4110_4, start: 138.2492 s end: 142.7830 s, duration: 4.5337 s, snr: 13.98
noise: Writing_227_0, start: 167.4784 s end: 175.8046 s, duration: 8.3262 s, snr: 2.90
noise: Signalization_132_4, start: 170.3099 s end: 180.8553 s, duration: 10.5454 s, snr: 3.15
noise: Scissors_0_3, start: 170.6993 s end: 180.1054 s, duration: 9.4061 s, snr: 6.67
noise: Computer_52_1, start: 174.3140 s end: 190.5200 s, duration: 16.2060 s, snr: 7.11
noise: Gunshot_107_4, start: 188.7186 s end: 196.1590 s, duration: 7.4404 s, snr: 4.87
noise: Computer_1034_0, start: 190.0045 s end: 199.6509 s, duration: 9.6464 s, snr: 2.71
noise: Signalization_61_0, start: 191.2496 s end: 194.7949 s, duration: 3.5454 s, snr: 2.56
noise: Gunshot_115_3, start: 201.9721 s end: 206.4851 s, duration: 4.5130 s, snr: 3.82
noise: Door_1400_0, start: 244.6507 s end: 248.2854 s, duration: 3.6347 s, snr: 1.44
noise: Scissors_10_0, start: 247.7746 s end: 256.4608 s, duration: 8.6861 s, snr: 6.10
noise: Knock_103_1, start: 265.4576 s end: 269.8023 s, duration: 4.3448 s, snr: 2.93
noise: Telephone_17_1, start: 276.2169 s end: 279.8762 s, duration: 3.6593 s, snr: 8.75
noise: Writing_136_4, start: 301.7428 s end: 305.7831 s, duration: 4.0403 s, snr: 6.38
noise: Squeak_0_3, start: 305.1001 s end: 311.8874 s, duration: 6.7874 s, snr: 4.06
noise: Gunshot_34_0, start: 312.8881 s end: 317.7666 s, duration: 4.8785 s, snr: 2.78
noise: Door_1189_1, start: 359.2607 s end: 363.0837 s, duration: 3.8230 s, snr: 7.41
noise: Knock_1112_3, start: 380.4071 s end: 387.1890 s, duration: 6.7819 s, snr: 2.19
noise: Knock_743_1, start: 407.7308 s end: 413.1545 s, duration: 5.4237 s, snr: 9.44
noise: Tool_2672_2, start: 409.9309 s end: 414.4628 s, duration: 4.5319 s, snr: 7.41
noise: Computer_783_2, start: 475.1299 s end: 480.7884 s, duration: 5.6585 s, snr: 1.85
noise: Telephone_198_4, start: 478.7808 s end: 484.1503 s, duration: 5.3695 s, snr: 5.60
noise: Computer_680_4, start: 479.9927 s end: 483.3059 s, duration: 3.3133 s, snr: 4.88
noise: Telephone_467_1, start: 481.3433 s end: 484.8994 s, duration: 3.5561 s, snr: 2.04
noise: Street_165_1, start: 511.7542 s end: 527.2863 s, duration: 15.5321 s, snr: 2.57
noise: Gunshot_114_0, start: 515.5352 s end: 518.7459 s, duration: 3.2107 s, snr: 4.81
